window_id,timestamp_ms,label,ax,ay,az,gx,gy,gz
1777651020713,1777651020737,Left,0.994,0.253,0.009,-4.183,2.473,-3.099
1777651020713,1777651020758,Left,0.962,0.249,0.009,-2.748,1.588,-2.427
1777651020713,1777651020778,Left,0.973,0.261,0.018,-0.794,1.206,-3.115
1777651020713,1777651020794,Left,0.984,0.284,0.001,-0.534,1.664,-2.718
1777651020713,1777651020805,Left,0.976,0.293,0.012,-1.069,1.71,-2.412
1777651020713,1777651020810,Left,0.975,0.308,0.008,-1.481,1.695,-3.42
1777651020713,1777651020823,Left,0.975,0.316,0.003,-3.496,1.939,-4.366
1777651020713,1777651020834,Left,0.971,0.301,-0.002,-3.74,2.153,-6.611
1777651020713,1777651020843,Left,0.968,0.293,-0.002,-4.321,2.198,-7.176
1777651020713,1777651020855,Left,0.963,0.279,0.002,-4.626,0.992,-6.931
1777651020713,1777651020859,Left,0.968,0.274,0.003,-4.137,0.55,-6.076
1777651020713,1777651020872,Left,0.981,0.267,0.008,-3.634,0.275,-4.565
1777651020713,1777651020884,Left,0.98,0.27,0.018,-3.176,0.641,-3.145
1777651020713,1777651020892,Left,0.977,0.288,0.021,-3.023,0.779,-2.412
1777651020713,1777651020905,Left,0.97,0.285,0.013,-3.13,0.626,-1.374
1777651020713,1777651020917,Left,0.969,0.307,0.01,-4.458,-0.168,-1.237
1777651020713,1777651020924,Left,0.966,0.304,0.013,-5.45,-0.763,-2.687
1777651020713,1777651020938,Left,0.966,0.297,0.009,-6.702,-1.252,-3.634
1777651020713,1777651020958,Left,0.984,0.262,0.012,-7.42,-2.443,-3.756
1777651020713,1777651020966,Left,0.991,0.249,0.015,-7.13,-2.275,-2.641
1777651020713,1777651020974,Left,1.003,0.245,0.018,-6.489,-1.42,-1.878
1777651020713,1777651020986,Left,1.004,0.242,0.034,-6.183,-0.534,-1.298
1777651020713,1777651020995,Left,1.004,0.234,0.01,-5.298,0.947,-1.802
1777651020713,1777651021006,Left,1.001,0.228,0.005,-4.229,1.511,-2.031
1777651020713,1777651021016,Left,0.989,0.229,-0.011,-3.298,1.237,-2.687
1777651020713,1777651021025,Left,0.976,0.238,-0.012,-2.305,0.321,-2.992
1777651020713,1777651021032,Left,0.984,0.235,-0.001,-1.969,-0.916,-2.58
1777651020713,1777651021048,Left,0.994,0.24,-0.003,-1.664,-1.252,-2.153
1777651020713,1777651021056,Left,1.013,0.234,-0.002,-1.908,-0.397,-1.71
1777651020713,1777651021068,Left,1.008,0.233,0.003,-1.588,0.214,-1.084
