DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.104,-0.186,-0.921,-3.878,-4.626,0.183,36.58
0.011447,0.096,-0.171,-0.924,-3.954,-5.450,-0.031,36.53
0.018922,0.078,-0.178,-0.909,-4.855,-4.580,-1.191,36.62
0.030956,0.089,-0.182,-0.926,-5.573,-2.183,-2.931,36.67
0.038009,0.105,-0.183,-0.927,-6.137,1.878,-4.443,36.62
0.050768,0.129,-0.195,-0.958,-6.580,3.649,-5.160,36.62
0.057626,0.146,-0.197,-0.958,-5.420,6.229,-4.168,36.58
0.069890,0.164,-0.202,-0.965,-5.160,8.672,-3.053,36.62
0.077132,0.163,-0.197,-0.988,-3.374,8.824,-0.901,36.58
0.089990,0.155,-0.183,-0.991,-0.595,8.260,0.931,36.62
0.097516,0.148,-0.136,-0.966,2.244,5.466,2.443,36.72
0.109263,0.141,-0.091,-0.937,2.260,0.733,2.290,36.58
0.117044,0.147,-0.083,-0.932,0.305,-1.588,1.160,36.62
0.129581,0.186,-0.120,-0.959,-2.061,1.023,-2.260,36.58
0.141138,0.242,-0.155,-1.001,-1.618,2.870,-3.053,36.58
0.148534,0.301,-0.152,-1.040,2.137,0.427,3.237,36.62
0.161062,0.291,-0.194,-0.998,2.779,-5.542,11.099,36.67
0.168049,0.229,-0.189,-1.001,2.947,-8.702,17.511,36.62
0.180647,0.151,-0.190,-0.980,1.588,-5.130,19.115,36.53
0.188364,0.098,-0.165,-0.992,-0.794,0.336,16.794,36.58
0.200141,0.053,-0.136,-1.013,-3.588,5.069,13.237,36.53
0.207133,0.025,-0.092,-1.010,-7.618,4.992,10.595,36.67
0.219994,0.019,-0.037,-1.024,-10.061,5.756,8.336,36.58
0.227433,-0.006,0.038,-1.005,-11.802,10.809,5.908,36.53
0.238726,-0.072,0.113,-1.044,-12.687,13.664,-0.061,36.67
0.250927,-0.111,0.196,-1.035,-11.664,8.061,-9.023,36.53
0.258064,-0.109,0.280,-1.000,-12.229,1.053,-20.412,36.72
0.270425,-0.065,0.355,-0.980,-13.099,-2.977,-36.031,36.58
0.277743,0.034,0.408,-0.985,-15.542,-11.267,-49.924,36.62
0.289274,0.153,0.406,-0.959,-14.947,-19.832,-58.076,36.67
0.301132,0.262,0.418,-0.961,-15.313,-26.473,-59.115,36.62
0.308284,0.354,0.421,-0.959,-14.656,-26.092,-52.626,36.62
0.320340,0.381,0.414,-0.976,-12.611,-16.779,-40.061,36.48
0.328299,0.353,0.394,-0.973,-8.809,0.489,-27.420,36.62
0.340264,0.319,0.360,-0.919,-6.000,20.260,-16.641,36.62
0.346974,0.246,0.343,-0.881,-5.206,36.611,-6.809,36.48
0.359545,0.146,0.284,-0.855,-5.405,46.779,-2.107,36.53
0.365714,0.066,0.246,-0.851,-3.206,49.969,-2.366,36.53
0.379247,0.012,0.250,-0.830,-3.344,45.863,-5.664,36.58
0.390846,0.009,0.237,-0.827,-4.794,38.397,-12.748,36.62
0.398019,0.040,0.202,-0.869,-5.588,27.771,-18.168,36.67
0.410599,0.079,0.157,-0.898,-4.626,13.298,-21.573,36.67
0.418164,0.129,0.105,-0.934,-1.740,-3.985,-20.947,36.62
0.430121,0.176,-0.018,-0.924,2.794,-19.649,-17.725,36.58
0.436708,0.235,-0.093,-0.887,6.153,-30.489,-11.115,36.72
0.450136,0.252,-0.168,-0.838,5.679,-35.145,-2.321,36.62
0.461240,0.265,-0.239,-0.822,4.275,-29.206,7.527,36.58
0.468291,0.260,-0.316,-0.847,2.779,-18.809,19.786,36.62
0.480859,0.213,-0.378,-0.852,3.740,-8.351,31.481,36.58
0.488032,0.163,-0.400,-0.836,4.015,3.725,40.397,36.62
0.500169,0.094,-0.421,-0.834,1.618,14.244,46.733,36.53
