DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.133,-0.186,-0.672,-29.069,7.221,-10.748,36.34
0.008189,0.151,-0.190,-0.673,-29.756,4.870,-9.038,36.48
0.020663,0.150,-0.177,-0.650,-29.939,1.710,-7.206,36.34
0.028261,0.144,-0.175,-0.601,-31.496,1.466,-5.511,36.53
0.039895,0.119,-0.167,-0.537,-34.870,5.450,-5.634,36.48
0.047064,0.108,-0.178,-0.487,-38.534,8.962,-5.511,36.53
0.058928,0.097,-0.152,-0.461,-44.595,8.763,-6.153,36.48
0.066452,0.119,-0.137,-0.472,-51.237,6.443,-8.534,36.53
0.078447,0.154,-0.142,-0.478,-55.359,5.084,-8.718,36.44
0.085580,0.189,-0.128,-0.487,-58.107,2.565,-6.885,36.39
0.097645,0.208,-0.121,-0.453,-60.550,2.427,-3.496,36.44
0.110160,0.180,-0.111,-0.440,-63.496,3.053,-0.519,36.53
0.117160,0.136,-0.111,-0.438,-65.160,-0.290,3.389,36.39
0.129666,0.076,-0.080,-0.426,-66.580,0.840,3.924,36.53
0.137260,0.022,-0.059,-0.449,-69.634,14.916,-4.473,36.39
0.148831,0.044,-0.043,-0.513,-67.420,30.763,-15.634,36.48
0.156724,0.120,0.049,-0.543,-67.206,40.229,-19.328,36.44
0.168795,0.170,0.085,-0.599,-73.008,40.763,-21.832,36.39
0.175806,0.173,0.110,-0.712,-73.298,30.153,-19.985,36.44
0.188107,0.153,0.118,-0.803,-71.573,1.160,-16.611,36.53
0.200024,0.104,0.082,-0.824,-67.252,-31.908,-7.298,36.48
0.207216,0.014,0.071,-0.804,-63.420,-49.328,-3.130,36.44
0.219386,-0.045,0.175,-0.816,-61.847,-50.046,-6.519,36.48
0.226323,-0.036,0.161,-0.841,-70.061,-33.420,-19.618,36.48
0.238430,0.019,0.235,-0.864,-71.466,-22.473,-26.427,36.44
0.245719,0.094,0.257,-0.954,-76.489,-15.695,-27.160,36.39
0.257929,0.148,0.280,-1.088,-81.832,-20.443,-26.183,36.53
0.269864,0.183,0.232,-1.229,-82.397,-30.672,-20.092,36.44
0.276749,0.189,0.199,-1.324,-78.153,-36.855,-14.550,36.58
0.289148,0.199,0.170,-1.400,-70.779,-36.595,-9.954,36.44
0.296634,0.226,0.168,-1.470,-62.763,-29.344,-6.962,36.39
0.308926,0.245,0.187,-1.546,-53.435,-25.756,-0.366,36.39
0.315958,0.253,0.189,-1.545,-43.725,-29.130,7.618,36.53
0.328154,0.210,0.209,-1.570,-34.321,-38.260,16.870,36.48
0.340195,0.141,0.214,-1.549,-25.771,-45.603,19.924,36.44
0.347207,0.111,0.221,-1.503,-20.397,-52.031,19.954,36.44
0.359373,0.088,0.212,-1.431,-16.092,-52.443,20.962,36.48
0.367097,0.044,0.211,-1.384,-14.931,-46.305,18.641,36.44
0.379118,0.039,0.215,-1.371,-15.466,-38.992,14.214,36.48
0.386044,0.020,0.268,-1.420,-15.588,-31.740,10.351,36.44
0.398158,0.058,0.178,-1.373,-14.901,-28.855,7.725,36.53
0.406282,0.061,0.161,-1.377,-8.351,-27.954,9.557,36.48
0.418267,0.062,0.176,-1.328,-6.321,-27.237,9.313,36.44
0.430245,0.065,0.177,-1.265,-5.496,-27.679,9.359,36.48
0.438132,0.050,0.154,-1.220,-5.374,-24.656,9.924,36.39
0.449767,0.044,0.135,-1.201,-3.695,-18.687,10.366,36.44
0.457794,0.026,0.126,-1.170,-1.389,-13.405,10.702,36.48
0.469569,0.009,0.142,-1.096,-1.237,-8.611,10.489,36.44
0.476947,-0.004,0.152,-1.059,-2.107,-3.939,8.656,36.44
0.489380,-0.017,0.141,-1.054,-2.962,-1.557,5.496,36.58
0.496479,-0.012,0.140,-1.048,-3.573,0.473,2.595,36.44
0.509056,-0.008,0.139,-1.051,-3.603,1.511,-0.580,36.48
