DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.071,-0.504,-0.996,-7.908,7.084,-9.084,36.53
0.012090,0.074,-0.543,-1.007,-5.496,6.229,-10.580,36.58
0.019279,0.096,-0.588,-0.980,-1.389,3.588,-9.542,36.53
0.031873,0.116,-0.608,-0.981,-0.061,4.336,-8.229,36.62
0.039041,0.129,-0.621,-0.987,1.115,3.450,-6.412,36.58
0.051399,0.108,-0.634,-0.981,2.977,2.122,-4.122,36.53
0.059203,0.107,-0.656,-0.976,6.855,0.489,-0.412,36.58
0.071729,0.088,-0.610,-0.965,9.542,-0.046,2.641,36.67
0.078550,0.052,-0.577,-0.937,10.214,-2.947,1.863,36.62
0.091278,0.047,-0.554,-0.883,8.779,-1.435,-0.565,36.58
0.098358,0.044,-0.524,-0.846,5.359,2.519,-4.641,36.62
0.111077,0.033,-0.491,-0.842,0.824,9.908,-11.985,36.53
0.117380,0.033,-0.478,-0.860,-3.832,17.557,-22.198,36.67
0.130679,0.090,-0.465,-0.905,-4.901,18.794,-28.901,36.62
0.142341,0.140,-0.444,-0.911,-6.641,16.015,-31.679,36.53
0.149513,0.182,-0.444,-0.898,-6.198,14.473,-33.130,36.67
0.161701,0.239,-0.425,-0.896,-2.718,20.015,-34.290,36.62
0.169115,0.277,-0.425,-0.938,6.061,35.313,-32.351,36.58
0.181462,0.291,-0.388,-0.960,22.672,50.443,-28.565,36.48
0.188604,0.276,-0.303,-0.966,41.450,60.061,-24.565,36.62
0.200828,0.237,-0.224,-0.938,58.779,65.924,-22.840,36.58
0.212866,0.211,-0.129,-0.898,69.908,52.076,-20.763,36.62
0.220596,0.185,-0.026,-0.809,70.244,20.168,-19.756,36.62
0.232277,0.237,0.073,-0.733,55.282,-32.260,-12.519,36.62
0.240014,0.258,0.127,-0.728,34.351,-94.351,3.771,36.53
0.251881,0.224,0.175,-0.768,15.679,-139.527,16.107,36.58
0.258845,0.202,0.223,-0.804,1.893,-162.046,28.473,36.58
0.271211,0.164,0.253,-0.838,-5.618,-147.405,37.176,36.62
0.278451,0.080,0.273,-0.889,-5.252,-90.779,36.122,36.58
0.291096,0.013,0.312,-0.874,-4.885,-27.756,29.664,36.62
0.302839,-0.018,0.320,-0.811,-12.061,26.031,20.412,36.53
0.310011,-0.006,0.314,-0.813,-24.458,61.817,16.000,36.67
0.322279,-0.030,0.267,-0.901,-35.389,74.824,14.183,36.62
0.329385,-0.054,0.220,-0.997,-39.847,67.130,13.160,36.58
0.341879,-0.048,0.253,-1.085,-43.649,46.351,7.832,36.58
0.349309,-0.052,0.226,-1.096,-37.893,15.115,12.321,36.53
0.361222,-0.049,0.216,-1.096,-36.092,-3.969,2.748,36.58
0.368694,0.007,0.193,-1.058,-32.214,-20.916,-2.244,36.53
0.380485,0.086,0.105,-1.014,-30.977,-30.519,-8.076,36.62
0.392567,0.148,0.134,-0.982,-25.679,-37.557,-1.771,36.48
0.399790,0.181,0.094,-0.935,-29.908,-29.863,-1.496,36.62
0.412123,0.213,0.077,-0.922,-28.336,-19.435,1.985,36.58
0.420417,0.222,0.045,-0.919,-27.786,-7.634,7.389,36.53
0.432271,0.204,0.050,-0.932,-26.336,2.305,12.092,36.53
0.439612,0.181,0.036,-0.944,-24.809,6.412,14.427,36.67
0.451628,0.150,0.018,-0.943,-20.947,8.443,15.924,36.62
0.458870,0.134,0.015,-0.944,-15.924,9.527,16.962,36.62
0.471443,0.103,0.021,-0.932,-11.405,8.290,18.153,36.48
0.478593,0.071,0.042,-0.911,-9.893,6.763,16.519,36.53
0.491322,0.048,0.061,-0.919,-10.183,5.863,13.206,36.48
0.499061,0.024,0.045,-0.922,-10.198,4.534,8.000,36.58
0.511594,0.020,0.009,-0.937,-8.550,1.237,2.641,36.62
