DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.405,-0.200,-0.916,-5.099,-15.206,-72.290,35.64
0.012358,-0.390,-0.177,-0.921,-5.359,-21.389,-77.252,35.68
0.023979,-0.401,-0.161,-0.918,-6.794,-26.901,-84.168,35.68
0.030894,-0.392,-0.157,-0.930,-6.168,-26.565,-93.786,35.64
0.043313,-0.356,-0.141,-0.951,-6.122,-19.344,-107.481,35.68
0.050533,-0.273,-0.142,-0.958,-3.939,-13.221,-119.053,35.64
0.062275,-0.182,-0.129,-0.977,-3.740,-9.954,-126.611,35.59
0.074245,-0.086,-0.138,-1.029,-3.115,-12.214,-133.053,35.64
0.080917,-0.010,-0.148,-1.041,-0.840,-23.954,-132.046,35.59
0.093321,0.030,-0.139,-0.994,1.053,-31.115,-131.389,35.68
0.099991,0.083,-0.114,-0.941,0.412,-33.374,-133.221,35.64
0.112445,0.135,-0.132,-0.902,-2.336,-32.260,-131.359,35.68
0.124421,0.148,-0.168,-0.907,-1.511,-24.641,-133.573,35.54
0.131233,0.219,-0.178,-0.921,0.107,-16.275,-133.206,35.73
0.143237,0.242,-0.198,-0.917,1.893,-10.962,-129.267,35.78
0.150504,0.269,-0.190,-0.937,2.855,-8.916,-125.557,35.64
0.162654,0.254,-0.203,-0.966,3.908,-11.924,-120.244,35.59
0.174639,0.243,-0.184,-0.993,5.725,-17.023,-119.450,35.59
0.181856,0.241,-0.181,-0.997,6.382,-24.779,-118.382,35.54
0.194140,0.234,-0.193,-1.007,7.817,-33.924,-116.748,35.68
0.201584,0.230,-0.185,-1.002,8.779,-40.626,-117.985,35.64
0.213269,0.258,-0.175,-0.971,9.023,-45.160,-117.847,35.68
0.221363,0.294,-0.186,-0.919,7.237,-43.527,-116.153,35.59
0.232304,0.316,-0.204,-0.931,6.748,-36.092,-112.229,35.64
0.244508,0.333,-0.187,-0.945,7.115,-29.756,-107.466,35.68
0.252107,0.341,-0.193,-0.924,7.557,-23.374,-100.580,35.73
0.263768,0.303,-0.230,-0.902,7.878,-16.046,-93.832,35.68
0.270964,0.301,-0.203,-0.944,7.786,-13.954,-87.298,35.68
0.283663,0.243,-0.207,-0.978,7.282,-21.802,-80.397,35.64
0.290649,0.207,-0.200,-0.983,8.504,-25.389,-82.397,35.68
0.302946,0.210,-0.194,-1.006,8.870,-28.015,-84.061,35.64
0.314669,0.229,-0.196,-1.013,9.389,-29.298,-85.359,35.73
0.321863,0.232,-0.214,-1.025,12.168,-28.534,-87.557,35.59
0.334199,0.258,-0.227,-1.015,14.687,-32.275,-85.099,35.64
0.343092,0.260,-0.231,-1.011,14.962,-39.267,-80.763,35.59
0.353295,0.280,-0.267,-0.973,13.679,-45.542,-74.855,35.64
0.361205,0.263,-0.288,-0.934,13.237,-48.947,-67.618,35.54
0.372702,0.237,-0.303,-0.932,13.725,-46.244,-61.206,35.68
0.384548,0.192,-0.309,-0.912,15.985,-40.473,-56.611,35.64
0.392100,0.154,-0.293,-0.900,17.298,-33.679,-54.366,35.68
0.403906,0.123,-0.268,-0.884,16.794,-27.389,-54.275,35.73
0.411464,0.106,-0.258,-0.887,14.122,-23.847,-56.305,35.59
0.423720,0.092,-0.267,-0.932,12.168,-23.435,-57.634,35.59
0.430082,0.067,-0.280,-0.948,14.351,-23.084,-60.366,35.64
0.442957,0.090,-0.284,-0.965,13.008,-24.824,-64.718,35.68
0.454341,0.111,-0.290,-0.956,14.244,-29.634,-63.649,35.64
0.461914,0.119,-0.308,-0.904,14.656,-32.443,-62.641,35.73
0.473703,0.139,-0.308,-0.854,14.412,-32.198,-60.901,35.59
0.480702,0.155,-0.306,-0.833,13.863,-28.779,-57.664,35.54
0.493168,0.132,-0.309,-0.811,12.901,-22.275,-56.107,35.59
0.498658,0.127,-0.291,-0.807,12.244,-12.824,-57.939,35.64
0.512635,0.128,-0.319,-0.811,11.893,-5.328,-60.031,35.64
