DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.052,-0.286,-0.891,-3.649,4.855,-1.756,35.54
0.011921,0.066,-0.283,-0.893,-3.985,5.771,-2.687,35.49
0.019119,0.085,-0.287,-0.900,-4.458,4.763,-0.992,35.54
0.031421,0.075,-0.292,-0.907,-4.244,2.580,1.038,35.45
0.038837,0.079,-0.278,-0.901,-4.687,2.397,1.908,35.59
0.051446,0.075,-0.288,-0.906,-5.359,3.023,2.427,35.54
0.059265,0.076,-0.284,-0.923,-5.023,2.290,3.542,35.49
0.071191,0.062,-0.270,-0.915,-3.450,1.282,4.061,35.54
0.079187,0.052,-0.261,-0.909,-3.191,1.267,4.046,35.45
0.091036,0.034,-0.252,-0.901,-3.374,2.611,2.229,35.59
0.098489,0.038,-0.251,-0.898,-3.802,3.588,1.267,35.54
0.111048,0.022,-0.263,-0.919,-3.756,3.450,1.115,35.49
0.118693,0.030,-0.244,-0.905,-3.618,4.412,-0.824,35.49
0.130553,0.029,-0.238,-0.891,-4.290,4.382,-2.244,35.59
0.138325,0.037,-0.231,-0.892,-6.122,4.611,-4.092,35.49
0.150953,0.058,-0.239,-0.916,-7.206,5.145,-6.275,35.45
0.158491,0.074,-0.248,-0.928,-6.748,3.969,-6.244,35.49
0.170386,0.104,-0.260,-0.956,-5.099,3.237,-4.473,35.49
0.177294,0.135,-0.267,-0.940,-2.794,4.168,-1.130,35.54
0.189887,0.140,-0.261,-0.936,-2.504,4.015,1.664,35.49
0.197253,0.117,-0.244,-0.940,-2.473,4.763,1.740,35.45
0.209741,0.117,-0.256,-0.964,-3.282,-0.031,0.122,35.49
0.221677,0.114,-0.235,-0.969,-5.221,-8.061,-4.504,35.59
0.228880,0.148,-0.234,-0.986,-7.939,-12.107,-15.924,35.45
0.241062,0.265,-0.249,-0.984,-11.176,-14.015,-23.573,35.49
0.248506,0.382,-0.267,-0.975,-13.344,-8.718,-26.427,35.54
0.260307,0.497,-0.296,-0.996,-13.328,3.496,-25.664,35.59
0.267612,0.633,-0.324,-0.992,-10.473,20.855,-20.092,35.49
0.279606,0.716,-0.333,-0.969,-6.046,48.718,-15.023,35.54
0.291833,0.811,-0.334,-0.911,-2.351,82.992,-10.305,35.59
0.299401,0.856,-0.315,-0.873,-0.260,120.473,-8.977,35.54
0.311022,0.944,-0.342,-0.837,2.580,150.611,-10.840,35.45
0.318542,1.038,-0.335,-0.799,-2.214,147.313,-1.557,35.40
0.330375,1.058,-0.325,-0.747,-10.153,122.305,12.000,35.54
0.338113,1.047,-0.302,-0.707,-22.275,70.809,26.687,35.59
0.350147,1.033,-0.261,-0.644,-38.061,13.863,46.855,35.49
0.362052,0.955,-0.209,-0.556,-52.962,-23.069,59.802,35.54
0.369328,0.877,-0.139,-0.510,-65.252,-25.695,61.710,35.40
0.381426,0.815,-0.088,-0.501,-75.832,-5.527,58.015,35.45
0.388860,0.793,-0.054,-0.563,-85.221,15.450,54.534,35.49
0.400763,0.807,-0.052,-0.673,-90.947,33.130,61.282,35.59
0.407878,0.768,-0.029,-0.820,-94.763,32.779,74.168,35.54
0.420161,0.699,-0.043,-0.974,-93.649,19.267,96.947,35.49
0.426599,0.718,-0.107,-1.190,-84.840,0.595,122.763,35.54
0.439149,0.673,-0.154,-1.316,-65.313,-30.580,160.580,35.49
0.451431,0.622,-0.078,-1.328,-45.756,-66.931,207.817,35.59
0.458790,0.443,0.053,-1.318,-31.756,-94.702,241.832,35.49
0.470306,0.264,0.106,-1.197,-16.901,-99.817,264.275,35.49
0.477535,0.102,0.228,-1.122,-13.649,-79.282,269.511,35.54
0.489988,-0.041,0.274,-1.083,-7.496,-30.061,253.679,35.49
0.501683,-0.078,0.270,-1.033,-0.244,35.328,228.321,35.49
