DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.016,-0.056,-1.313,1,1.847,2.885,35.87
0.012077,0.006,-0.063,-1.369,20.046,-1.267,3.954,35.78
0.019951,0.023,-0.086,-1.383,25.985,-2.183,4.718,35.87
0.031570,0.024,-0.081,-1.380,31.573,-1.374,7.420,35.82
0.039217,0.018,-0.084,-1.380,36.656,0.305,10.397,35.68
0.051397,-0.017,-0.085,-1.384,41.344,3.359,12.198,35.87
0.058845,-0.065,-0.064,-1.372,46.168,8.412,12.885,35.73
0.070707,-0.105,-0.052,-1.344,50.550,12.733,11.664,35.87
0.078474,-0.158,-0.026,-1.344,52.275,15.282,9.695,35.82
0.090549,-0.172,-0.037,-1.313,57.527,13.817,6.641,35.82
0.097871,-0.171,-0.066,-1.314,58.855,18.931,2.412,35.87
0.110007,-0.172,-0.067,-1.299,62.489,20.550,-0.672,35.92
0.121916,-0.160,-0.073,-1.276,65.649,21.710,-3.756,35.87
0.129573,-0.144,-0.082,-1.223,67.008,24.092,-4.550,35.87
0.141128,-0.135,-0.089,-1.204,68.183,27.817,-5.893,35.78
0.148460,-0.127,-0.110,-1.155,69.725,32.244,-7.053,35.78
0.160651,-0.122,-0.116,-1.139,70.397,36.992,-8.015,35.73
0.167617,-0.115,-0.121,-1.122,71.786,40.962,-10.198,35.82
0.180874,-0.098,-0.133,-1.121,72.031,37.527,-10.977,35.87
0.191965,-0.088,-0.148,-1.115,72.122,32.580,-12.595,35.92
0.199020,-0.049,-0.185,-1.108,73.450,29.023,-12.901,35.78
0.211177,-0.024,-0.199,-1.072,75.344,29.008,-12.046,35.73
0.218060,-0.008,-0.198,-1.041,75.389,33.435,-11.130,35.92
0.230673,0.004,-0.214,-1.014,77.954,41.130,-8.458,35.87
0.238451,-0.019,-0.211,-0.997,78.305,47.557,-5.679,35.82
0.249716,-0.059,-0.229,-0.982,79.099,53.221,-4.183,35.87
0.256419,-0.084,-0.232,-0.925,76.565,59.481,-6.198,35.78
0.269297,-0.099,-0.274,-0.915,74.763,63.725,-9.069,35.82
0.281377,-0.116,-0.324,-0.930,73.008,67.618,-11.130,35.78
0.288995,-0.133,-0.288,-0.971,71.084,66.885,-17.191,35.82
0.300462,-0.094,-0.263,-1.080,70.015,60.122,-24.321,35.92
0.308300,-0.025,-0.266,-1.154,74.977,51.176,-27.893,35.78
0.319756,0.069,-0.215,-1.184,77.969,40.489,-28.443,35.82
0.325758,0.152,-0.223,-1.207,82.076,31.344,-25.603,35.78
0.339789,0.229,-0.258,-1.207,89.313,28.626,-17.115,35.87
0.351393,0.250,-0.306,-1.146,99.710,28.519,-5.496,35.82
0.359043,0.191,-0.290,-1.050,105.252,30.412,6.702,35.87
0.371096,0.091,-0.267,-0.988,108.366,34.046,10.107,35.82
0.378160,0.030,-0.270,-0.899,109.893,39.374,10.076,35.92
0.390177,-0.031,-0.273,-0.864,111.313,44.458,6.412,35.78
0.397873,-0.048,-0.274,-0.829,111.908,43.527,0.260,35.82
0.409893,-0.043,-0.257,-0.760,108.733,39.221,-4.412,35.78
0.421602,-0.034,-0.267,-0.736,104.916,37.328,-12.198,35.92
0.428766,0.016,-0.315,-0.763,105.069,35.969,-17.130,35.82
0.440919,0.091,-0.280,-0.775,104.351,27.618,-17.176,35.87
0.448026,0.107,-0.311,-0.784,105.817,22.107,-16.931,35.82
0.460276,0.154,-0.323,-0.782,108.214,19.084,-14.809,35.78
0.467137,0.177,-0.342,-0.737,111.344,20.626,-11.847,35.78
0.479651,0.172,-0.337,-0.684,113.832,25.588,-7.786,35.82
0.491699,0.151,-0.360,-0.624,116.305,31.557,-4.656,35.78
0.499020,0.131,-0.359,-0.578,117.496,38.687,-2.290,35.92
0.510910,0.097,-0.355,-0.525,117.389,48.061,-3.145,35.87
