DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.162,0.048,-0.780,-23.756,5.252,12.641,30.41
0.012003,0.120,0.062,-0.812,-27.802,6.458,11.679,30.37
0.019402,0.075,0.090,-0.837,-26.168,13.740,5.679,30.55
0.031690,0.115,0.096,-0.864,-19.267,23.160,-1.328,30.51
0.038863,0.142,0.075,-0.873,-20.031,24.687,-0.427,30.46
0.051192,0.111,0.094,-0.894,-20.794,21.542,-1.496,30.51
0.058371,0.095,0.108,-0.875,-20.122,16.794,-4.855,30.37
0.071041,0.102,0.095,-0.890,-20.733,3.939,-5.328,30.41
0.077988,0.084,0.111,-0.867,-14.885,-0.977,-9.954,30.46
0.090237,0.122,0.079,-0.850,-11.282,1.603,-14.107,30.55
0.097452,0.134,0.112,-0.806,-12.473,4.107,-15.771,30.41
0.109774,0.164,0.101,-0.803,-11.908,10.580,-17.679,30.55
0.121879,0.169,0.112,-0.825,-12.885,14.473,-21.008,30.51
0.129066,0.195,0.094,-0.839,-13.038,15.603,-23.237,30.55
0.141664,0.250,0.103,-0.829,-13.023,9.740,-22.992,30.41
0.148601,0.292,0.108,-0.828,-20.427,-1.145,-19.145,30.55
0.160771,0.257,0.111,-0.859,-28.595,-12.275,-17.252,30.46
0.167639,0.211,0.108,-0.907,-31.176,-19.282,-19.969,30.51
0.179824,0.192,0.115,-0.922,-25.588,-18.168,-23.573,30.37
0.191864,0.190,0.128,-0.910,-18.366,-15.924,-28.824,30.51
0.199030,0.217,0.141,-0.886,-10.962,-9.282,-32.656,30.51
0.211484,0.247,0.149,-0.857,-6.550,-1.405,-35.282,30.55
0.219177,0.271,0.156,-0.851,-3.313,4.977,-36.718,30.46
0.231183,0.310,0.141,-0.826,-3.557,6.687,-34.595,30.55
0.238888,0.337,0.146,-0.810,-8.153,0.733,-31.618,30.41
0.251141,0.336,0.127,-0.822,-14.885,-7.115,-25.756,30.55
0.257662,0.299,0.138,-0.847,-17.298,-11.084,-21.542,30.46
0.269756,0.251,0.147,-0.868,-15.038,-13.176,-20.885,30.51
0.282114,0.215,0.146,-0.917,-9.725,-9.863,-24.427,30.46
0.289883,0.205,0.164,-0.932,-1.267,-6.565,-29.069,30.51
0.301738,0.215,0.177,-0.894,5.084,-3.679,-33.023,30.46
0.309067,0.241,0.166,-0.878,5.008,-5.954,-35.099,30.51
0.321647,0.246,0.142,-0.866,1.557,-11.267,-35.573,30.51
0.328609,0.231,0.151,-0.846,1.206,-14.641,-36.611,30.55
0.340952,0.247,0.141,-0.818,2.290,-13.069,-35.832,30.51
0.348154,0.262,0.136,-0.787,3.252,-8.962,-32.397,30.46
0.360698,0.256,0.152,-0.788,2.840,-4.947,-29.954,30.41
0.367961,0.230,0.162,-0.812,3.374,3.618,-28.794,30.46
0.380532,0.227,0.151,-0.836,6.534,9.939,-29.481,30.55
0.387940,0.237,0.170,-0.863,7.924,9.374,-30.672,30.41
0.400245,0.246,0.160,-0.876,5.878,1.252,-28.733,30.55
0.407665,0.250,0.160,-0.885,2.901,-9.817,-28.351,30.51
0.419765,0.237,0.151,-0.880,1.771,-17.084,-28.763,30.37
0.432122,0.230,0.137,-0.902,1.863,-21.939,-28.336,30.41
0.439732,0.218,0.134,-0.899,3.160,-25.924,-28.534,30.41
0.451772,0.211,0.136,-0.883,7.802,-20.565,-29.053,30.46
0.458879,0.210,0.137,-0.865,11.267,-14.916,-28.504,30.51
0.471230,0.211,0.128,-0.836,14.870,-8.260,-28.718,30.55
0.478378,0.224,0.123,-0.804,18.351,-0.015,-27.481,30.41
0.490817,0.238,0.128,-0.795,18.718,6.824,-25.359,30.37
0.498003,0.234,0.124,-0.799,17.069,10.794,-22.015,30.46
0.510551,0.194,0.136,-0.817,14.107,11.588,-19.542,30.41
0.517669,0.173,0.146,-0.839,11.740,8.931,-21.618,30.46
0.530507,0.163,0.140,-0.854,10.046,3.130,-22.595,30.41
0.536152,0.140,0.147,-0.859,8.168,-3.969,-23.527,30.46
0.549555,0.133,0.152,-0.852,7.252,-9.527,-25.435,30.51
0.561895,0.133,0.141,-0.853,7.756,-11.893,-27.282,30.55
0.569780,0.159,0.142,-0.832,10.046,-10.489,-27.160,30.46
0.581695,0.166,0.114,-0.851,12.351,-2.687,-26.168,30.41
0.588916,0.186,0.184,-0.874,19.176,2.870,-21.435,30.55
0.601052,0.243,0.098,-0.785,12.947,19.405,-22.183,30.60
0.608166,0.255,0.115,-0.829,18.901,22.061,-13.145,30.46
0.620531,0.207,0.093,-0.848,21.527,26.779,-11.542,30.46
0.627727,0.186,0.121,-0.844,20.580,32.534,-15.191,30.46
0.640620,0.179,0.118,-0.855,18.809,26.595,-16.229,30.37
0.646291,0.168,0.130,-0.852,16.626,20.824,-20.733,30.51
0.659609,0.195,0.131,-0.840,15.191,17.359,-23.832,30.46
0.672111,0.205,0.129,-0.839,14.626,13.084,-25.298,30.51
0.679104,0.203,0.111,-0.839,12.473,9.985,-26.840,30.46
0.691513,0.198,0.103,-0.843,13.130,7.878,-28.611,30.46
0.698875,0.215,0.104,-0.816,14.748,5.878,-28.275,30.37
0.711205,0.267,0.058,-0.823,13.786,3.313,-23.374,30.46
0.718658,0.250,0.060,-0.786,15.008,4.321,-18.550,30.41
0.730849,0.232,0.069,-0.776,18.931,16.794,-15.359,30.46
0.738187,0.200,0.096,-0.788,22.107,28.809,-13.847,30.41
0.750720,0.183,0.113,-0.794,23.557,31.847,-15.466,30.41
0.757770,0.179,0.103,-0.819,20.183,26.412,-16.687,30.37
0.769791,0.184,0.126,-0.817,13.053,13.863,-17.695,30.46
0.776088,0.147,0.118,-0.850,9.466,7.374,-24.275,30.37
0.789846,0.165,0.093,-0.843,9.893,5.756,-29.145,30.41
0.802211,0.232,0.101,-0.814,10.824,2.198,-30.000,30.46
0.809424,0.321,0.070,-0.802,12.977,3.145,-28.046,30.51
0.821672,0.385,0.015,-0.807,14.046,11.618,-19.450,30.51
0.829241,0.371,0.021,-0.829,17.252,24.931,-11.573,30.55
0.841269,0.326,0.039,-0.860,25.588,44.519,-7.344,30.46
0.848716,0.258,0.073,-0.888,30.092,47.206,-7.573,30.37
0.861072,0.176,0.102,-0.891,30.305,39.542,-12.977,30.41
0.868230,0.138,0.126,-0.867,27.863,25.573,-21.863,30.46
0.880606,0.160,0.130,-0.820,22.870,9.008,-29.664,30.46
0.888206,0.194,0.114,-0.767,15.832,-3.634,-34.855,30.51
0.900106,0.202,0.110,-0.745,10.641,-8.519,-38.656,30.46
0.907808,0.213,0.119,-0.737,6.947,-8.870,-44.412,30.32
0.920078,0.284,0.077,-0.738,5.634,-4.351,-48.595,30.37
0.932217,0.333,0.048,-0.758,5.542,3.847,-49.038,30.51
0.939625,0.377,0.034,-0.802,5.924,11.511,-48.947,30.46
0.952101,0.451,0.019,-0.811,6.015,12.962,-48.672,30.46
0.959360,0.503,-0.005,-0.815,-0.687,6.229,-42.183,30.51
0.971201,0.460,-0.007,-0.887,-6.107,-2.595,-34.855,30.46
0.979148,0.408,0.013,-0.927,-4.183,-5.939,-33.237,30.41
0.990787,0.379,0.030,-0.906,-1.496,-11.588,-31.634,30.46
0.998338,0.347,0.045,-0.886,1.008,-16.595,-29.298,30.32
1.010419,0.283,0.074,-0.844,7.817,-10.611,-29.908,30.41
