DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.994,-0.306,-0.786,-29.786,4.351,34.534,30.13
0.007529,0.922,-0.257,-0.724,-34.168,-3.282,40.076,30.08
0.019057,0.925,-0.231,-0.659,-38.809,-14.580,42.931,30.13
0.031105,0.892,-0.192,-0.593,-43.374,-14.183,47.206,30.18
0.038151,0.783,-0.114,-0.540,-48.550,-4.336,47.450,30.22
0.050482,0.671,-0.023,-0.476,-55.344,7.282,41.710,30.13
0.057683,0.502,0.058,-0.448,-60.672,24.321,28.656,30.18
0.070340,0.375,0.138,-0.450,-62.412,46.229,9.786,30.13
0.077279,0.282,0.231,-0.485,-63.817,52.534,-16.626,29.99
0.089309,0.322,0.275,-0.565,-58.458,57.145,-50.473,30.13
0.095743,0.444,0.362,-0.641,-64.229,29.252,-68.794,30.18
0.109263,0.514,0.391,-0.752,-72.061,-25.069,-69.939,30.13
0.121027,0.669,0.406,-0.880,-80.565,-81.893,-74.473,30.04
0.127920,0.781,0.376,-1.042,-88.718,-106.840,-72.641,30.08
0.140176,0.988,0.346,-1.177,-84.458,-111.893,-49.618,30.13
0.146986,1.191,0.216,-1.317,-65.557,-94.229,-4.870,30.08
0.159489,1.201,0.131,-1.354,-33.374,-34.244,49.771,30.04
0.166755,1.000,0.194,-1.233,9.466,55.710,88.534,30.18
0.178932,0.597,0.402,-0.814,49.847,149.969,91.618,30.13
0.191179,0.204,0.665,-0.664,61.267,228.153,75.573,30.13
0.198952,-0.148,0.726,-0.714,40.733,222.046,55.511,30.18
0.210741,-0.425,0.812,-0.795,-17.573,173.588,34.198,30.13
0.217966,-0.510,0.776,-0.923,-76.962,95.817,11.099,30.18
0.230101,-0.435,0.631,-1.074,-86.137,-17.130,-3.267,30.13
0.236745,-0.326,0.568,-1.180,-89.115,-97.771,-13.374,30.18
0.249302,-0.140,0.444,-1.277,-70.794,-154.763,-9.740,30.22
0.261098,0.209,0.332,-1.259,-49.420,-203.939,-1.374,30.18
0.268315,0.653,0.160,-1.023,-24.122,-225.893,31.527,30.18
0.280482,0.771,0.219,-0.631,23.588,-174.321,78.565,30.13
0.287448,0.627,0.353,-0.423,73.405,-83.298,122.366,30.18
0.299881,0.346,0.457,-0.425,16.870,61.603,150.427,30.13
0.306973,-0.066,0.580,-0.614,2.458,106.031,162.809,30.18
0.318919,-0.459,0.590,-0.799,-18.611,122.122,158.290,30.13
