DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.058,0.137,-0.498,-181.588,-96.962,-43.344,25.05
0.008092,-0.014,0.187,-0.635,-171.588,-93.298,-41.145,25.05
0.018525,-0.051,0.193,-0.767,-174.519,-92.473,-40.901,25.09
0.025602,-0.009,0.229,-0.807,-175.374,-84.397,-39.985,25.05
0.037649,0.010,0.296,-0.877,-177.939,-69.618,-43.985,25.00
0.048998,0.029,0.382,-1.081,-178.595,-59.725,-53.573,25.05
0.056957,0.087,0.381,-1.241,-171.878,-60.916,-55.771,25.05
0.068230,0.086,0.294,-1.503,-152.336,-66.397,-46.290,25.09
0.076100,0.232,0.107,-1.666,-105.252,-68.931,-36.947,24.95
0.087578,0.222,0.412,-1.748,-86.809,-76.015,-23.847,25.00
0.099065,0.362,0.195,-1.912,-66.626,-81.756,-11.481,25.05
0.107364,0.311,0.251,-1.699,-39.267,-52.366,-6.275,24.95
0.118571,0.240,0.301,-1.580,-44.885,-35.359,3.450,25.00
0.126398,0.110,0.153,-1.517,-55.252,6.733,-1.023,25.05
0.138035,0.117,0.158,-1.603,-53.420,25.527,-5.496,25.00
0.145531,-0.034,0.080,-1.673,-53.267,17.588,-9.771,25.05
0.157393,-0.151,0.107,-1.453,-35.939,-0.687,-19.618,25.05
0.169171,-0.118,-0.364,-1.505,-2.336,-7.878,-12.183,25.00
0.176805,-0.100,0.117,-1.394,-29.679,-14.809,-22.229,24.95
0.188644,0.340,0.190,-1.996,-79.786,58.748,-104.183,25.09
0.196127,1.535,0.997,-2.917,-128.183,56.046,-281.908,25.05
0.208029,0.397,0.461,-1.651,97.328,44.076,13.298,25.09
0.215521,-0.580,0.064,-0.625,168.550,30.931,84.840,25.09
0.227582,-0.295,0.084,-0.434,73.405,19.969,46.000,24.95
0.236056,-0.212,0.040,-0.571,34.931,-40.947,36.534,25.00
0.247138,-0.028,-0.083,-0.762,11.740,-15.130,4.855,25.05
0.259569,0.039,0.005,-0.728,-16.244,18.672,-28.504,25.09
0.268336,0.147,0.038,-0.795,-43.237,17.130,-27.496,25.09
0.278740,0.180,0.070,-0.777,-30.412,0.260,-24.153,25.05
0.286903,0.212,0.077,-0.803,-20.198,-13.954,-17.267,24.91
0.298158,0.227,0.125,-0.780,-20.626,-22.947,-4.595,25.05
0.306266,0.232,0.128,-0.766,-33.649,-6.565,-10.611,25.00
0.318686,0.207,0.144,-0.801,-45.557,2.229,-19.740,25.09
0.329302,0.171,0.147,-0.814,-53.023,7.908,-22.473,25.05
0.337570,0.144,0.216,-0.878,-53.344,2.031,-20.718,25.09
0.348963,0.145,0.161,-0.862,-26.275,6.885,-18.214,24.95
0.356876,0.146,0.174,-0.821,-21.267,-1.542,-13.023,25.00
0.368694,0.193,0.172,-0.853,-22.672,-6.458,-9.405,24.95
0.376591,0.170,0.168,-0.843,-16.275,-7.267,-7.328,25.05
0.388625,0.158,0.138,-0.848,-14.443,-1.863,-5.634,25.00
0.396474,0.133,0.162,-0.808,-14.977,-8.351,-1.542,25.05
0.407975,0.139,0.184,-0.802,-14.092,-4.443,-1.313,25.09
0.415633,0.147,0.145,-0.862,-11.542,-5.466,-1.725,24.95
0.427990,0.122,0.156,-0.849,-7.649,-2.855,0.550,25.05
0.436224,0.110,0.158,-0.832,-3.603,-2.870,1.878,25.00
0.448197,0.102,0.166,-0.809,-0.962,-1.954,2.458,25.05
0.454560,0.108,0.170,-0.810,-1.038,0.458,2.443,25.00
0.467362,0.111,0.179,-0.833,-3.191,3.649,2.076,24.95
0.474285,0.112,0.179,-0.828,-3.969,6.595,3.221,25.00
0.488099,0.101,0.187,-0.814,-3.573,7.099,3.237,25.00
0.494451,0.106,0.188,-0.810,-3.511,6.489,1.817,25.05
0.507703,0.107,0.188,-0.816,-4.061,6.031,-0.275,24.91
0.519916,0.111,0.190,-0.836,-3.237,4.977,-0.565,24.95
0.527303,0.114,0.179,-0.838,-1.160,3.832,-0.412,25.05
0.539504,0.127,0.173,-0.816,0.137,2.748,-0.885,25.00
0.547343,0.107,0.199,-0.794,-2.763,0.718,-2.107,24.95
