DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.199,0.178,-1.279,-19.328,35.756,-15.725,29.89
0.007700,0.197,0.173,-1.350,-19.542,37.511,-20.092,29.75
0.019827,0.291,0.156,-1.387,-17.985,37.160,-22.092,29.89
0.026493,0.334,0.168,-1.401,-10.824,22.550,-18.382,29.85
0.039160,0.334,0.160,-1.437,-4.061,8.229,-17.466,29.89
0.051007,0.289,0.201,-1.427,-1.496,-6.458,-17.802,29.89
0.058755,0.247,0.213,-1.389,-0.901,-26.489,-16.656,29.85
0.070818,0.186,0.227,-1.344,1.634,-42.550,-14.244,29.89
0.078029,0.128,0.245,-1.322,7.496,-56.901,-16.397,29.85
0.090634,0.119,0.223,-1.260,17.176,-54.656,-17.863,29.80
0.097288,0.137,0.226,-1.208,31.832,-48.443,-18.519,29.94
0.109840,0.147,0.239,-1.221,28.092,-19.634,-14.840,29.80
0.117104,0.138,0.227,-1.218,17.695,14.290,-7.313,29.75
0.129388,0.063,0.247,-1.285,17.053,33.634,0.947,29.85
0.136679,0.019,0.284,-1.343,28.519,34.931,2.473,29.89
0.149249,-0.021,0.278,-1.361,44.458,23.496,-7.939,29.85
0.156904,0.024,0.283,-1.269,60.870,9.756,-9.878,29.89
0.168999,0.029,0.282,-1.152,69.542,-0.443,-7.008,29.94
0.181143,0.029,0.267,-1.053,74.244,-3.160,-5.802,29.89
0.188566,0.021,0.256,-0.977,74.504,-4.076,-4.763,29.75
0.200916,0.016,0.243,-0.946,66.962,5.771,-2.992,29.89
0.207899,-0.007,0.219,-0.953,64.779,12.901,-4.137,29.85
0.220520,0.006,0.216,-0.934,62.550,17.023,-5.221,29.80
0.227891,0.031,0.173,-0.900,58.702,20.137,-7.695,29.80
0.240227,0.072,0.170,-0.879,54.901,16.092,-0.046,29.85
0.247853,0.043,0.167,-0.912,52.656,18.427,2.931,29.80
0.259766,0.014,0.165,-0.980,51.588,24.733,2.107,29.85
0.267187,0.001,0.160,-1.060,53.756,24.855,2.947,29.89
0.279805,-0.003,0.142,-1.107,59.389,19.206,-0.183,29.85
0.286694,0.015,0.122,-1.074,66.412,10.718,-3.924,29.89
0.299393,0.032,0.104,-1.005,75.893,-2.641,-5.496,29.94
0.306493,0.046,0.079,-0.904,81.405,-9.542,-5.969,29.89
0.319178,0.083,0.053,-0.801,83.069,-12.595,-6.000,29.89
0.324873,0.120,0.026,-0.730,79.511,-6.076,-2.962,29.89
0.339035,0.134,-0.006,-0.712,75.298,3.511,0.137,29.89
0.351013,0.142,-0.020,-0.707,72.351,12.489,6.489,29.85
0.358128,0.137,-0.046,-0.733,71.084,17.649,9.725,29.80
0.370700,0.103,-0.058,-0.753,71.679,20.595,10.565,29.85
0.377763,0.098,-0.074,-0.797,72.504,21.771,12.412,29.80
0.390117,0.080,-0.087,-0.852,74.275,21.847,14.840,29.75
0.397740,0.053,-0.089,-0.877,77.954,24.092,16.092,29.80
0.409564,0.012,-0.068,-0.915,82.947,28.153,14.611,29.85
0.416794,0.011,-0.047,-0.940,87.038,26.748,11.756,29.75
0.429397,0.040,-0.033,-0.914,91.359,21.771,8.794,29.80
0.436497,0.067,-0.058,-0.907,92.916,14.168,10.458,29.85
0.449203,0.045,-0.051,-0.853,90.397,0.824,12.748,29.80
0.460939,0.032,-0.068,-0.794,89.847,-9.038,15.038,29.85
0.468559,0.021,-0.096,-0.734,87.802,-13.115,14.550,29.89
0.480665,0.038,-0.130,-0.669,83.084,-15.099,13.710,29.75
0.488518,0.090,-0.183,-0.626,79.023,-12.183,14.366,29.80
0.499995,0.133,-0.226,-0.576,73.832,-3.130,17.618,29.75
0.507203,0.175,-0.282,-0.527,68.168,9.389,20.656,29.71
0.519894,0.189,-0.321,-0.506,61.298,23.863,26.092,29.75
0.526741,0.201,-0.325,-0.465,52.061,38.046,30.611,29.85
0.539577,0.175,-0.330,-0.462,39.023,48.366,33.069,29.89
0.546284,0.178,-0.312,-0.478,27.008,53.588,34.626,29.80
0.558717,0.142,-0.318,-0.572,18.198,58.153,28.931,29.80
0.570850,0.143,-0.255,-0.620,14.305,50.534,30.092,29.85
