DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.124000,-0.012000,-0.133000,-10.992000,30.992000,-32.031000,0.000000
0.011000,1.107000,0.001000,-0.145000,-12.595000,33.481000,-35.954000,0.000000
0.027000,1.062000,-0.019000,-0.126000,-19.023000,34.565000,-32.519000,0.000000
0.037000,1.028000,-0.047000,-0.114000,-15.603000,33.863000,-25.084000,0.000000
0.044000,1.011000,-0.038000,-0.133000,-16.595000,33.679000,-17.450000,0.000000
0.060000,1.018000,-0.034000,-0.128000,-17.542000,34.992000,-9.374000,0.000000
0.077000,1.071000,0.001000,-0.126000,-18.229000,39.786000,-8.122000,0.000000
0.085000,1.068000,0.017000,-0.132000,-17.038000,40.595000,-12.229000,0.000000
0.094000,1.040000,0.018000,-0.137000,-17.313000,39.725000,-16.931000,0.000000
0.111000,0.962000,-0.006000,-0.153000,-17.511000,35.649000,-16.198000,0.000000
0.126000,0.850000,-0.042000,-0.159000,-15.084000,21.924000,-7.740000,0.000000
0.134000,0.837000,-0.075000,-0.161000,-13.053000,15.328000,-0.794000,0.000000
0.158000,1.016000,-0.011000,-0.135000,-15.771000,9.969000,5.344000,0.000000
0.181000,1.153000,0.026000,-0.007000,-21.328000,19.191000,-8.718000,0.000000
0.200000,1.117000,0.034000,-0.032000,-20.061000,29.099000,-22.198000,0.000000
0.207000,1.057000,0.004000,-0.086000,-19.832000,29.527000,-27.710000,0.000000
0.219000,0.975000,-0.040000,-0.127000,-19.511000,26.000000,-26.794000,0.000000
0.224000,0.958000,-0.053000,-0.144000,-19.664000,24.015000,-17.542000,0.000000
0.237000,0.968000,-0.058000,-0.144000,-23.863000,25.221000,-5.618000,0.000000
0.242000,0.988000,-0.056000,-0.099000,-28.763000,25.969000,1.710000,0.000000
0.256000,1.030000,-0.044000,-0.023000,-31.527000,27.802000,3.664000,0.000000
0.269000,1.043000,-0.036000,0.011000,-31.298000,29.878000,0.534000,0.000000
0.278000,1.024000,-0.054000,0.042000,-26.473000,29.420000,-5.466000,0.000000
0.299000,0.980000,-0.036000,0.046000,-19.878000,29.359000,-6.855000,0.000000
0.314000,0.945000,-0.034000,0.010000,-14.763000,27.863000,-3.969000,0.000000
0.326000,0.967000,-0.034000,0.017000,-13.115000,26.763000,-5.481000,0.000000
0.338000,0.957000,-0.030000,0.035000,-12.947000,23.771000,-11.374000,0.000000
0.351000,0.967000,0.004000,0.069000,-15.878000,22.580000,-14.015000,0.000000
0.370000,0.916000,0.004000,0.129000,-21.053000,19.496000,-12.382000,0.000000
0.378000,0.907000,-0.014000,0.160000,-22.260000,18.076000,-6.733000,0.000000
0.390000,0.902000,-0.040000,0.204000,-18.397000,15.603000,-3.832000,0.000000
0.401000,0.861000,-0.076000,0.202000,-12.122000,12.092000,-3.496000,0.000000
0.417000,0.877000,-0.031000,0.186000,-6.382000,6.412000,-2.427000,0.000000
0.427000,0.922000,-0.023000,0.189000,-7.756000,7.847000,0.061000,0.000000
0.439000,0.953000,-0.014000,0.195000,-8.824000,9.939000,0.824000,0.000000
0.456000,0.979000,0.009000,0.204000,0.015000,6.183000,-1.817000,0.000000
0.466000,0.965000,0.023000,0.172000,1.466000,6.122000,-6.595000,0.000000
0.480000,0.995000,0.051000,0.175000,-0.779000,8.977000,-6.702000,0.000000
0.498000,0.971000,0.033000,0.158000,-8.641000,15.282000,-3.435000,0.000000
0.518000,0.982000,0.027000,0.167000,-4.168000,8.015000,-5.298000,0.000000
0.539000,0.980000,0.025000,0.150000,-4.458000,7.557000,-6.305000,0.000000
0.559000,0.990000,0.010000,0.123000,-6.977000,10.565000,-8.718000,0.000000
0.571000,1.012000,0.022000,0.138000,-4.351000,7.634000,-13.481000,0.000000
0.591000,0.972000,0.057000,0.098000,1.099000,2.214000,-29.359000,0.000000
0.610000,0.924000,0.036000,0.056000,-3.878000,5.176000,-19.527000,0.000000
0.616000,0.875000,0.022000,0.037000,-5.618000,6.992000,-11.924000,0.000000
0.629000,0.885000,0.028000,0.048000,-6.244000,7.679000,-3.237000,0.000000
0.637000,0.890000,0.053000,0.031000,-5.359000,5.756000,-2.000000,0.000000
0.648000,0.893000,0.072000,0.009000,-4.748000,1.725000,-4.061000,0.000000
0.661000,0.937000,0.069000,0.003000,-3.359000,-1.893000,-4.779000,0.000000
0.667000,0.989000,0.040000,0.034000,-1.130000,-0.580000,-8.962000,0.000000
0.675000,1.041000,0.031000,0.016000,-4.885000,-3.573000,-15.481000,0.000000
0.685000,1.051000,-0.015000,0.033000,-7.084000,-3.542000,-21.939000,0.000000
0.700000,1.019000,-0.023000,0.049000,-7.954000,-3.649000,-23.389000,0.000000
0.706000,0.986000,-0.019000,0.046000,-12.076000,-4.107000,-15.038000,0.000000
