DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.851000,-0.056000,0.309000,-2.763000,-16.870000,-2.168000,0.000000
0.010000,0.842000,-0.023000,0.294000,-4.351000,-16.214000,-5.237000,0.000000
0.033000,0.802000,-0.047000,0.276000,-9.893000,-21.878000,-8.443000,0.000000
0.049000,0.875000,-0.164000,0.324000,-13.099000,-27.313000,-7.405000,0.000000
0.061000,0.922000,-0.181000,0.355000,-10.031000,-27.511000,-8.901000,0.000000
0.066000,0.913000,-0.193000,0.344000,-6.550000,-25.679000,-8.855000,0.000000
0.082000,0.890000,-0.188000,0.324000,-2.489000,-24.458000,-7.725000,0.000000
0.090000,0.902000,-0.162000,0.330000,0.992000,-24.000000,-7.130000,0.000000
0.099000,0.899000,-0.116000,0.273000,3.374000,-22.916000,-7.374000,0.000000
0.107000,0.914000,-0.053000,0.254000,2.550000,-22.763000,-9.008000,0.000000
0.123000,0.921000,-0.032000,0.236000,0.763000,-22.412000,-12.626000,0.000000
0.131000,0.874000,-0.033000,0.235000,-1.511000,-23.115000,-17.038000,0.000000
0.139000,0.819000,-0.064000,0.227000,-3.237000,-25.298000,-19.252000,0.000000
0.154000,0.787000,-0.104000,0.242000,-3.939000,-27.237000,-16.351000,0.000000
0.171000,0.809000,-0.119000,0.277000,-0.962000,-30.687000,-11.328000,0.000000
0.183000,0.853000,-0.124000,0.261000,1.389000,-31.237000,-12.443000,0.000000
0.191000,0.886000,-0.111000,0.233000,5.344000,-30.443000,-15.359000,0.000000
0.204000,0.921000,-0.065000,0.200000,6.321000,-28.458000,-17.191000,0.000000
0.221000,0.910000,-0.015000,0.176000,4.366000,-25.863000,-28.504000,0.000000
0.229000,0.861000,0.009000,0.177000,2.122000,-26.702000,-34.382000,0.000000
0.237000,0.797000,0.012000,0.152000,-1.160000,-28.977000,-36.855000,0.000000
0.254000,0.781000,-0.015000,0.158000,-4.427000,-32.290000,-34.840000,0.000000
0.262000,0.794000,-0.075000,0.203000,-6.595000,-34.290000,-31.023000,0.000000
0.271000,0.808000,-0.142000,0.224000,-2.931000,-36.718000,-28.382000,0.000000
0.278000,0.824000,-0.157000,0.222000,3.695000,-37.664000,-24.427000,0.000000
0.286000,0.842000,-0.137000,0.192000,8.947000,-36.641000,-18.733000,0.000000
0.299000,0.877000,-0.104000,0.169000,13.084000,-36.656000,-13.542000,0.000000
0.311000,0.925000,-0.046000,0.131000,15.588000,-35.313000,-10.122000,0.000000
0.319000,0.971000,0.006000,0.116000,15.069000,-33.893000,-9.740000,0.000000
0.330000,0.990000,0.041000,0.095000,13.084000,-34.000000,-13.008000,0.000000
0.343000,0.990000,0.060000,0.079000,10.366000,-34.565000,-15.817000,0.000000
0.351000,0.972000,0.041000,0.088000,6.885000,-35.511000,-16.092000,0.000000
0.361000,0.961000,0.011000,0.122000,5.573000,-36.595000,-14.275000,0.000000
0.367000,0.973000,0.000000,0.141000,6.458000,-36.260000,-14.611000,0.000000
0.382000,0.973000,0.020000,0.127000,7.756000,-36.168000,-15.985000,0.000000
0.393000,0.978000,0.041000,0.105000,7.634000,-36.779000,-16.977000,0.000000
0.401000,1.005000,0.028000,0.106000,6.443000,-36.092000,-17.740000,0.000000
0.412000,1.061000,0.022000,0.108000,5.481000,-34.443000,-18.550000,0.000000
0.417000,1.107000,0.012000,0.122000,7.145000,-34.214000,-21.832000,0.000000
0.433000,1.134000,0.033000,0.118000,8.229000,-29.466000,-21.328000,0.000000
0.439000,1.127000,0.033000,0.114000,10.137000,-26.565000,-21.863000,0.000000
0.450000,1.094000,0.068000,0.101000,11.237000,-24.366000,-20.595000,0.000000
0.461000,1.065000,0.101000,0.090000,11.863000,-23.450000,-17.634000,0.000000
0.467000,1.003000,0.097000,0.070000,11.267000,-23.740000,-12.595000,0.000000
0.483000,0.956000,0.101000,0.038000,10.733000,-26.412000,-3.466000,0.000000
0.491000,0.976000,0.104000,0.060000,9.038000,-27.527000,6.870000,0.000000
0.503000,1.113000,0.134000,0.088000,6.351000,-28.137000,8.473000,0.000000
0.509000,1.285000,0.221000,0.126000,6.107000,-25.786000,-11.679000,0.000000
0.522000,1.064000,0.207000,-0.031000,5.160000,-25.710000,-7.832000,0.000000
0.532000,1.216000,0.219000,0.029000,-2.977000,-27.802000,-28.168000,0.000000
0.540000,1.178000,0.202000,0.010000,-8.656000,-22.489000,-32.672000,0.000000
0.551000,1.197000,0.143000,0.065000,-14.183000,-18.885000,-42.809000,0.000000
0.560000,1.143000,0.068000,0.109000,-11.008000,-16.260000,-49.832000,0.000000
0.573000,1.059000,0.027000,0.089000,-7.786000,-16.489000,-50.000000,0.000000
0.578000,0.980000,-0.011000,0.090000,-4.840000,-14.870000,-40.229000,0.000000
0.591000,0.935000,-0.023000,0.077000,0.565000,-15.450000,-29.618000,0.000000
0.603000,0.898000,-0.021000,0.061000,6.595000,-18.580000,-17.084000,0.000000
0.611000,0.914000,-0.000000,0.040000,10.275000,-18.489000,-2.885000,0.000000
