DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.027000,0.055000,0.253000,-0.336000,4.427000,-2.733000,0.000000
0.019000,0.917000,0.083000,0.056000,-29.130000,20.336000,-13.710000,0.000000
0.039000,0.937000,0.177000,0.486000,47.603000,8.260000,-18.794000,0.000000
0.059000,0.882000,0.343000,0.293000,-18.260000,6.779000,6.656000,0.000000
0.082000,0.921000,0.259000,0.309000,-24.947000,-0.122000,4.382000,0.000000
0.102000,0.946000,0.173000,0.320000,-20.122000,-0.656000,8.137000,0.000000
0.121000,0.949000,0.169000,0.305000,-13.053000,-0.931000,4.870000,0.000000
0.141000,0.988000,0.210000,0.302000,-7.893000,-2.427000,-1.725000,0.000000
0.160000,0.995000,0.257000,0.283000,-8.092000,-1.954000,-1.786000,0.000000
0.180000,0.996000,0.210000,0.307000,-6.626000,-0.168000,3.649000,0.000000
0.200000,0.996000,0.227000,0.292000,-1.435000,2.412000,0.992000,0.000000
0.220000,0.920000,0.304000,0.256000,-1.893000,3.328000,-0.397000,0.000000
0.239000,0.901000,0.297000,0.267000,-7.313000,-3.664000,8.748000,0.000000
0.260000,1.053000,0.265000,0.330000,-14.382000,-6.061000,22.656000,0.000000
0.291000,1.083000,0.137000,0.359000,-11.099000,14.092000,19.344000,0.000000
0.303000,0.978000,0.140000,0.336000,-3.130000,14.061000,12.122000,0.000000
0.323000,0.880000,0.293000,0.287000,2.168000,6.763000,8.824000,0.000000
0.342000,0.882000,0.345000,0.285000,-4.412000,-2.718000,17.969000,0.000000
0.362000,0.883000,0.337000,0.319000,-9.298000,-7.908000,18.122000,0.000000
0.381000,0.940000,0.348000,0.352000,-14.260000,-11.405000,16.489000,0.000000
0.400000,0.953000,0.389000,0.384000,-20.427000,-12.336000,13.115000,0.000000
0.419000,0.965000,0.346000,0.411000,-28.748000,-12.015000,10.244000,0.000000
0.451000,0.972000,0.313000,0.447000,-36.870000,-13.206000,8.244000,0.000000
0.471000,1.046000,0.301000,0.458000,-44.015000,-7.527000,7.450000,0.000000
0.483000,1.002000,0.261000,0.441000,-46.656000,-4.305000,5.969000,0.000000
0.502000,0.953000,0.177000,0.396000,-47.023000,-3.618000,6.519000,0.000000
0.522000,0.892000,0.172000,0.377000,-45.893000,-6.824000,7.145000,0.000000
0.542000,0.898000,0.198000,0.403000,-48.611000,-13.893000,12.275000,0.000000
0.561000,0.969000,0.176000,0.470000,-51.145000,-15.542000,16.458000,0.000000
0.580000,0.949000,0.141000,0.432000,-46.275000,-10.534000,7.527000,0.000000
