DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.927000,0.313000,0.400000,-0.260000,1.328000,2.885000,0.000000
0.019000,0.931000,0.333000,0.389000,-1.115000,2.122000,2.321000,0.000000
0.039000,0.920000,0.328000,0.387000,-2.031000,2.244000,2.458000,0.000000
0.059000,0.938000,0.324000,0.395000,-1.542000,2.137000,1.191000,0.000000
0.084000,0.930000,0.317000,0.383000,-0.397000,2.519000,0.916000,0.000000
0.104000,0.917000,0.319000,0.379000,-1.282000,2.412000,1.695000,0.000000
0.124000,0.921000,0.333000,0.397000,-1.328000,2.061000,2.061000,0.000000
0.144000,0.912000,0.313000,0.395000,-0.840000,1.221000,1.359000,0.000000
0.164000,0.929000,0.328000,0.394000,-1.160000,2.748000,0.718000,0.000000
0.183000,0.926000,0.314000,0.408000,-0.916000,1.649000,0.962000,0.000000
0.203000,0.914000,0.317000,0.388000,-0.718000,1.313000,1.771000,0.000000
0.223000,0.926000,0.326000,0.391000,-1.542000,2.443000,2.122000,0.000000
0.243000,0.912000,0.314000,0.390000,-0.809000,2.214000,1.008000,0.000000
0.263000,0.931000,0.332000,0.394000,-1.405000,2.214000,0.855000,0.000000
0.283000,0.916000,0.313000,0.387000,-0.687000,1.191000,0.733000,0.000000
0.303000,0.920000,0.327000,0.380000,-1.374000,2.397000,2.137000,0.000000
0.323000,0.924000,0.324000,0.391000,-0.916000,1.664000,0.687000,0.000000
0.343000,0.913000,0.310000,0.393000,-0.351000,1.115000,1.481000,0.000000
0.362000,0.931000,0.320000,0.393000,0.763000,2.015000,2.901000,0.000000
0.382000,0.913000,0.329000,0.386000,-0.031000,2.397000,2.504000,0.000000
0.402000,0.925000,0.323000,0.372000,-0.763000,2.489000,2.794000,0.000000
0.422000,0.928000,0.326000,0.393000,-1.282000,2.809000,2.885000,0.000000
0.442000,0.922000,0.318000,0.386000,-1.481000,2.870000,3.328000,0.000000
0.462000,0.932000,0.325000,0.387000,-0.626000,2.183000,1.298000,0.000000
0.482000,0.923000,0.312000,0.390000,-0.992000,2.229000,1.740000,0.000000
0.501000,0.914000,0.315000,0.392000,-0.626000,2.168000,2.382000,0.000000
0.522000,0.933000,0.326000,0.376000,-0.855000,2.198000,2.305000,0.000000
0.541000,0.915000,0.329000,0.387000,-1.756000,2.534000,2.427000,0.000000
0.561000,0.930000,0.329000,0.396000,-1.725000,2.076000,1.954000,0.000000
0.581000,0.912000,0.320000,0.396000,-0.779000,1.740000,1.405000,0.000000
0.601000,0.936000,0.315000,0.398000,-0.412000,1.328000,1.099000,0.000000
0.621000,0.920000,0.321000,0.386000,-1.115000,2.519000,3.603000,0.000000
0.641000,0.922000,0.331000,0.383000,-1.542000,2.550000,2.931000,0.000000
0.660000,0.915000,0.312000,0.383000,-0.916000,1.573000,3.084000,0.000000
0.680000,0.928000,0.312000,0.386000,0.107000,1.374000,1.725000,0.000000
0.705000,0.921000,0.323000,0.380000,-0.519000,1.069000,0.382000,0.000000
0.725000,0.933000,0.315000,0.388000,-0.702000,1.450000,0.473000,0.000000
0.745000,0.924000,0.332000,0.392000,-0.733000,1.847000,2.641000,0.000000
0.764000,0.927000,0.335000,0.377000,-2.000000,2.885000,4.779000,0.000000
0.785000,0.910000,0.315000,0.385000,-1.664000,3.817000,3.740000,0.000000
0.804000,0.952000,0.318000,0.400000,-0.336000,3.832000,4.153000,0.000000
0.824000,0.899000,0.327000,0.385000,0.275000,2.214000,3.374000,0.000000
0.844000,0.924000,0.336000,0.385000,-0.046000,0.427000,2.687000,0.000000
0.864000,0.908000,0.326000,0.395000,-0.534000,-0.321000,3.374000,0.000000
0.883000,0.958000,0.346000,0.378000,-2.550000,-2.382000,5.496000,0.000000
0.903000,0.919000,0.306000,0.380000,-1.618000,1.527000,2.672000,0.000000
0.923000,0.925000,0.311000,0.377000,-1.771000,3.786000,4.290000,0.000000
0.943000,0.934000,0.318000,0.387000,0.122000,2.611000,0.779000,0.000000
0.963000,0.917000,0.317000,0.384000,-1.084000,2.031000,2.855000,0.000000
0.983000,0.927000,0.328000,0.368000,-1.389000,1.328000,2.275000,0.000000
1.003000,0.916000,0.305000,0.379000,-1.313000,2.443000,2.458000,0.000000
1.022000,0.925000,0.324000,0.389000,-1.649000,3.542000,2.031000,0.000000
1.042000,0.922000,0.312000,0.387000,-0.580000,1.573000,0.580000,0.000000
