DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.962000,0.136000,0.094000,-4.061000,-2.244000,0.504000,0.000000
0.021000,0.994000,0.143000,0.104000,-4.962000,-1.863000,2.107000,0.000000
0.037000,0.972000,0.137000,0.095000,-4.901000,-3.466000,-2.076000,0.000000
0.045000,0.998000,0.144000,0.080000,-6.656000,-4.397000,-0.977000,0.000000
0.060000,1.005000,0.136000,0.092000,-6.824000,-5.038000,-2.962000,0.000000
0.063000,1.016000,0.131000,0.084000,-7.496000,-5.115000,-2.977000,0.000000
0.078000,1.011000,0.115000,0.084000,-7.267000,-5.053000,-3.466000,0.000000
0.087000,1.012000,0.122000,0.083000,-6.626000,-4.595000,-2.244000,0.000000
0.094000,1.001000,0.110000,0.071000,-6.015000,-4.687000,-2.015000,0.000000
0.107000,0.998000,0.118000,0.067000,-6.779000,-5.206000,0.565000,0.000000
0.119000,1.003000,0.133000,0.057000,-8.229000,-4.947000,2.198000,0.000000
0.127000,1.013000,0.131000,0.057000,-10.260000,-4.443000,3.664000,0.000000
0.139000,1.019000,0.125000,0.074000,-11.695000,-3.985000,3.908000,0.000000
0.143000,1.035000,0.111000,0.086000,-12.748000,-3.634000,3.679000,0.000000
0.158000,1.037000,0.052000,0.124000,-10.275000,-2.534000,1.908000,0.000000
0.171000,1.027000,0.014000,0.134000,-4.885000,-2.260000,2.382000,0.000000
0.191000,1.037000,0.021000,0.127000,3.008000,1.740000,7.893000,0.000000
0.198000,1.013000,0.029000,0.110000,5.771000,3.298000,9.603000,0.000000
0.211000,1.012000,0.054000,0.093000,6.977000,3.969000,10.504000,0.000000
0.231000,1.016000,0.073000,0.083000,5.771000,2.947000,10.397000,0.000000
0.238000,1.026000,0.078000,0.098000,5.405000,3.298000,9.740000,0.000000
0.245000,1.023000,0.055000,0.086000,6.855000,2.321000,6.015000,0.000000
0.259000,1.019000,0.061000,0.082000,9.420000,0.351000,2.397000,0.000000
0.271000,1.016000,0.075000,0.076000,10.611000,-1.313000,-0.336000,0.000000
0.278000,1.040000,0.102000,0.070000,10.229000,-0.763000,-2.229000,0.000000
0.291000,1.043000,0.114000,0.076000,8.992000,0.168000,-4.763000,0.000000
0.299000,1.024000,0.116000,0.055000,8.107000,0.015000,-7.160000,0.000000
0.311000,1.005000,0.142000,0.050000,4.153000,-1.588000,-8.351000,0.000000
0.318000,0.971000,0.109000,0.019000,0.855000,-2.076000,-6.901000,0.000000
0.331000,0.959000,0.078000,0.024000,-2.901000,-2.122000,-3.466000,0.000000
0.337000,0.967000,0.056000,0.053000,-2.168000,-1.832000,-1.069000,0.000000
0.349000,0.988000,0.062000,0.059000,-1.954000,-2.870000,1.206000,0.000000
0.358000,1.023000,0.077000,0.071000,-2.504000,-0.748000,1.725000,0.000000
0.370000,1.020000,0.083000,0.064000,-0.595000,0.611000,-0.122000,0.000000
0.377000,1.029000,0.090000,0.077000,7.679000,-2.397000,0.702000,0.000000
0.390000,1.015000,0.108000,0.051000,11.191000,-3.817000,-0.382000,0.000000
0.398000,0.989000,0.126000,0.034000,10.015000,-3.740000,1.634000,0.000000
0.410000,0.995000,0.145000,0.014000,5.908000,-0.595000,7.359000,0.000000
0.417000,1.017000,0.170000,0.023000,1.405000,3.038000,12.229000,0.000000
0.429000,1.024000,0.177000,0.013000,-2.931000,2.412000,16.656000,0.000000
0.437000,1.032000,0.184000,0.042000,-7.435000,-1.160000,16.565000,0.000000
0.449000,1.032000,0.100000,0.061000,-1.603000,-2.244000,14.626000,0.000000
0.456000,1.044000,0.073000,0.083000,4.153000,-2.412000,10.137000,0.000000
0.468000,1.062000,0.094000,0.086000,6.122000,-2.733000,18.076000,0.000000
0.476000,1.077000,-0.019000,0.152000,16.137000,-0.580000,13.405000,0.000000
0.488000,1.075000,-0.015000,0.152000,22.718000,2.931000,18.198000,0.000000
0.497000,1.062000,0.017000,0.130000,28.748000,6.733000,21.115000,0.000000
0.508000,1.048000,0.067000,0.079000,32.168000,8.824000,23.863000,0.000000
0.517000,1.039000,0.101000,0.038000,30.824000,9.725000,25.344000,0.000000
0.528000,1.018000,0.161000,0.005000,28.748000,7.603000,22.198000,0.000000
0.532000,1.046000,0.189000,0.019000,24.137000,8.244000,20.046000,0.000000
0.549000,1.050000,0.182000,0.030000,21.405000,7.634000,13.084000,0.000000
0.560000,1.046000,0.177000,0.031000,19.023000,6.885000,6.901000,0.000000
0.569000,1.035000,0.133000,0.038000,18.260000,5.328000,1.374000,0.000000
0.581000,1.024000,0.103000,0.073000,20.336000,1.939000,-0.885000,0.000000
0.601000,1.021000,0.092000,0.086000,22.580000,3.481000,2.244000,0.000000
0.609000,1.012000,0.084000,0.100000,24.000000,5.084000,6.137000,0.000000
0.620000,0.971000,0.088000,0.068000,25.328000,5.664000,9.893000,0.000000
0.629000,0.944000,0.153000,0.036000,22.840000,4.611000,19.328000,0.000000
0.641000,0.944000,0.094000,0.063000,20.015000,5.740000,20.626000,0.000000
0.660000,1.029000,0.103000,0.105000,16.855000,8.137000,18.046000,0.000000
