DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.854000,0.155000,0.549000,-60.168000,-44.534000,-44.977000,0.000000
0.001000,0.895000,0.120000,0.621000,-47.603000,-45.191000,-48.855000,0.000000
0.001000,0.945000,0.142000,0.689000,-42.275000,-39.313000,-43.435000,0.000000
0.002000,0.966000,0.147000,0.701000,-39.542000,-29.725000,-34.290000,0.000000
0.002000,0.913000,0.122000,0.654000,-32.992000,-22.626000,-28.015000,0.000000
0.003000,0.839000,0.169000,0.615000,-26.565000,-20.076000,-24.824000,0.000000
0.003000,0.835000,0.179000,0.601000,-23.053000,-18.763000,-21.511000,0.000000
0.004000,0.852000,0.125000,0.622000,-20.198000,-16.305000,-13.695000,0.000000
0.004000,0.834000,0.063000,0.638000,-12.183000,-11.786000,-8.443000,0.000000
0.005000,0.794000,0.060000,0.601000,-2.061000,-11.008000,-6.046000,0.000000
0.006000,0.781000,0.149000,0.575000,2.076000,-9.450000,0.473000,0.000000
0.006000,0.796000,0.190000,0.542000,2.733000,-6.427000,7.756000,0.000000
0.007000,0.808000,0.242000,0.477000,4.031000,-4.656000,12.076000,0.000000
0.007000,0.789000,0.310000,0.426000,4.229000,-5.252000,13.924000,0.000000
0.008000,0.828000,0.383000,0.351000,6.153000,-9.145000,11.893000,0.000000
0.008000,0.864000,0.516000,0.322000,2.901000,-12.931000,10.473000,0.000000
0.009000,0.941000,0.603000,0.328000,-5.847000,-14.443000,11.588000,0.000000
0.009000,0.963000,0.617000,0.350000,-18.336000,-12.672000,16.443000,0.000000
0.010000,1.023000,0.550000,0.412000,-29.237000,-8.763000,26.229000,0.000000
0.010000,1.062000,0.509000,0.485000,-38.840000,1.695000,38.855000,0.000000
0.011000,1.068000,0.489000,0.514000,-50.305000,15.817000,59.191000,0.000000
0.011000,1.016000,0.448000,0.511000,-57.420000,26.870000,67.450000,0.000000
0.011000,0.891000,0.319000,0.483000,-50.031000,28.397000,65.313000,0.000000
0.012000,0.809000,0.236000,0.481000,-37.649000,15.069000,45.924000,0.000000
0.012000,0.776000,0.267000,0.505000,-25.069000,2.458000,28.672000,0.000000
0.013000,0.786000,0.299000,0.528000,-17.053000,-7.985000,13.176000,0.000000
0.013000,0.832000,0.286000,0.545000,-12.382000,-13.115000,8.275000,0.000000
0.014000,0.882000,0.267000,0.581000,-8.672000,-13.435000,13.588000,0.000000
0.014000,0.893000,0.264000,0.606000,-7.130000,-8.870000,17.176000,0.000000
0.015000,0.877000,0.250000,0.608000,-10.458000,-4.855000,14.702000,0.000000
0.015000,0.890000,0.260000,0.631000,-6.992000,-2.168000,15.466000,0.000000
0.015000,0.860000,0.302000,0.587000,-4.855000,0.061000,15.969000,0.000000
0.016000,0.871000,0.324000,0.586000,-3.328000,-0.687000,14.580000,0.000000
0.016000,0.899000,0.357000,0.593000,-1.969000,-0.198000,12.336000,0.000000
0.017000,0.893000,0.352000,0.575000,-1.481000,1.481000,10.855000,0.000000
0.017000,0.894000,0.363000,0.558000,-0.656000,2.580000,9.344000,0.000000
0.018000,0.864000,0.390000,0.548000,-1.878000,2.626000,9.496000,0.000000
0.018000,0.856000,0.374000,0.539000,-1.359000,1.878000,7.939000,0.000000
0.018000,0.837000,0.345000,0.532000,0.824000,0.534000,4.305000,0.000000
0.019000,0.832000,0.338000,0.529000,3.649000,-0.443000,1.725000,0.000000
0.019000,0.828000,0.363000,0.539000,5.008000,-0.519000,0.122000,0.000000
0.019000,0.823000,0.365000,0.539000,5.618000,0.458000,0.397000,0.000000
0.020000,0.804000,0.363000,0.534000,6.534000,0.550000,1.511000,0.000000
0.020000,0.828000,0.373000,0.551000,7.710000,0.763000,1.847000,0.000000
0.021000,0.826000,0.413000,0.534000,6.565000,1.511000,1.542000,0.000000
0.021000,0.835000,0.415000,0.525000,4.397000,1.084000,1.466000,0.000000
0.021000,0.811000,0.396000,0.523000,2.397000,-0.168000,1.786000,0.000000
0.022000,0.841000,0.393000,0.527000,2.305000,-1.313000,0.458000,0.000000
0.022000,0.833000,0.371000,0.530000,4.031000,-2.885000,-3.725000,0.000000
0.022000,0.828000,0.382000,0.517000,4.885000,-3.893000,-5.130000,0.000000
0.023000,0.839000,0.393000,0.533000,4.779000,-4.198000,-5.160000,0.000000
0.023000,0.837000,0.401000,0.537000,3.023000,-4.000000,-3.618000,0.000000
0.023000,1.868000,-0.282000,0.514000,113.969000,63.328000,-63.481000,0.000000
0.024000,1.920000,-0.495000,0.603000,122.229000,82.168000,-63.206000,0.000000
0.024000,1.962000,-0.638000,0.668000,130.641000,110.656000,-52.458000,0.000000
0.025000,1.940000,-0.770000,0.629000,145.466000,143.863000,-35.893000,0.000000
0.025000,1.838000,-0.729000,0.517000,165.130000,178.748000,-16.412000,0.000000
0.025000,1.540000,-0.545000,0.383000,177.206000,206.840000,5.603000,0.000000
0.026000,1.143000,-0.416000,0.237000,182.702000,222.214000,29.221000,0.000000
0.026000,0.754000,-0.366000,0.125000,192.122000,219.053000,41.191000,0.000000
0.026000,0.490000,-0.374000,0.060000,211.313000,208.809000,43.099000,0.000000
0.027000,0.249000,-0.113000,-0.024000,225.008000,197.832000,60.733000,0.000000
0.027000,0.192000,0.292000,-0.113000,224.641000,192.763000,93.756000,0.000000
