DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.097000,0.129000,-0.022000,-2.534000,-6.550000,-2.031000,0.000000
0.016000,1.119000,0.129000,-0.017000,-3.359000,-6.718000,-4.458000,0.000000
0.043000,1.144000,0.132000,-0.021000,-6.214000,-6.000000,-8.122000,0.000000
0.059000,1.194000,0.110000,-0.019000,-11.359000,-5.634000,-2.611000,0.000000
0.068000,1.251000,0.087000,0.012000,-12.718000,-3.405000,2.534000,0.000000
0.076000,1.296000,0.062000,0.015000,-13.221000,-1.527000,5.053000,0.000000
0.085000,1.332000,0.049000,0.029000,-12.305000,0.992000,7.695000,0.000000
0.101000,1.365000,0.052000,0.035000,-11.710000,5.618000,9.771000,0.000000
0.109000,1.360000,0.048000,0.034000,-11.252000,10.153000,10.656000,0.000000
0.119000,1.356000,0.056000,0.037000,-9.389000,14.779000,11.786000,0.000000
0.132000,1.359000,0.081000,0.032000,-8.534000,19.313000,12.000000,0.000000
0.134000,1.354000,0.106000,0.019000,-8.427000,21.664000,10.290000,0.000000
0.151000,1.335000,0.133000,-0.003000,-9.405000,23.420000,6.031000,0.000000
0.157000,1.308000,0.158000,-0.018000,-12.550000,23.878000,1.496000,0.000000
0.167000,1.290000,0.161000,-0.003000,-16.626000,25.466000,-1.893000,0.000000
0.176000,1.256000,0.142000,-0.007000,-20.198000,27.634000,-3.954000,0.000000
0.191000,1.223000,0.112000,0.011000,-22.015000,28.046000,-5.908000,0.000000
0.199000,1.212000,0.079000,0.035000,-23.099000,29.191000,-7.374000,0.000000
0.207000,1.195000,0.046000,0.057000,-21.649000,29.344000,-9.389000,0.000000
0.217000,1.168000,0.037000,0.069000,-18.137000,29.328000,-12.198000,0.000000
0.224000,1.122000,0.034000,0.060000,-14.748000,29.756000,-9.908000,0.000000
0.240000,1.086000,0.038000,0.053000,-11.802000,31.710000,-4.519000,0.000000
0.249000,1.073000,0.056000,0.048000,-10.641000,33.252000,3.740000,0.000000
0.260000,1.036000,0.069000,0.033000,-8.504000,33.496000,10.992000,0.000000
0.265000,1.053000,0.095000,0.030000,-7.496000,33.939000,19.115000,0.000000
0.281000,1.055000,0.121000,0.026000,-8.107000,34.427000,25.023000,0.000000
0.292000,1.076000,0.134000,0.029000,-8.794000,34.947000,28.656000,0.000000
0.297000,1.099000,0.151000,0.039000,-10.595000,38.229000,30.687000,0.000000
0.305000,1.100000,0.166000,0.027000,-11.802000,39.038000,27.389000,0.000000
0.317000,1.080000,0.177000,0.000000,-14.137000,37.832000,21.649000,0.000000
0.331000,1.076000,0.187000,0.002000,-18.031000,35.878000,15.084000,0.000000
0.339000,1.079000,0.181000,0.015000,-21.695000,32.229000,9.221000,0.000000
0.350000,1.068000,0.151000,0.040000,-23.359000,30.031000,0.779000,0.000000
0.355000,1.049000,0.140000,0.046000,-23.069000,28.107000,-5.069000,0.000000
0.366000,1.033000,0.114000,0.062000,-23.496000,28.855000,-6.504000,0.000000
0.382000,0.985000,0.077000,0.072000,-22.275000,28.977000,-5.099000,0.000000
0.388000,0.934000,0.063000,0.079000,-19.634000,27.649000,1.954000,0.000000
0.399000,0.914000,0.054000,0.090000,-18.473000,28.275000,13.664000,0.000000
0.405000,0.953000,0.057000,0.104000,-17.740000,32.046000,26.000000,0.000000
0.422000,0.966000,0.063000,0.102000,-14.260000,33.588000,33.130000,0.000000
0.429000,0.958000,0.074000,0.081000,-10.427000,32.947000,36.244000,0.000000
0.437000,0.983000,0.101000,0.070000,-10.534000,33.160000,38.580000,0.000000
0.445000,0.981000,0.095000,0.072000,-11.878000,33.832000,38.260000,0.000000
0.455000,1.015000,0.116000,0.086000,-13.496000,34.519000,35.725000,0.000000
0.470000,1.011000,0.132000,0.090000,-14.214000,33.099000,25.115000,0.000000
0.478000,0.958000,0.122000,0.088000,-13.557000,29.099000,15.130000,0.000000
0.486000,0.932000,0.106000,0.080000,-14.824000,26.443000,9.832000,0.000000
0.495000,0.920000,0.082000,0.084000,-17.725000,25.374000,10.458000,0.000000
0.512000,0.940000,0.074000,0.121000,-19.496000,26.260000,13.710000,0.000000
0.515000,0.944000,0.068000,0.120000,-17.969000,26.855000,13.649000,0.000000
0.529000,0.912000,0.060000,0.107000,-17.053000,25.115000,13.160000,0.000000
0.543000,0.901000,0.053000,0.095000,-18.763000,24.183000,14.733000,0.000000
0.562000,0.914000,0.026000,0.140000,-21.847000,22.901000,14.962000,0.000000
0.569000,0.918000,0.005000,0.150000,-21.527000,21.603000,14.260000,0.000000
0.582000,0.942000,-0.013000,0.163000,-21.374000,21.573000,12.168000,0.000000
0.589000,0.961000,-0.030000,0.174000,-21.221000,20.947000,8.504000,0.000000
0.597000,0.957000,-0.057000,0.193000,-18.183000,20.885000,5.344000,0.000000
0.606000,0.934000,-0.080000,0.189000,-13.328000,22.000000,6.656000,0.000000
0.618000,0.925000,-0.089000,0.184000,-9.542000,23.695000,12.168000,0.000000
0.633000,0.897000,-0.083000,0.172000,-4.672000,24.687000,19.359000,0.000000
0.642000,0.908000,-0.056000,0.172000,-2.397000,27.405000,29.618000,0.000000
0.649000,0.906000,-0.038000,0.159000,1.038000,27.863000,37.038000,0.000000
0.658000,0.980000,0.016000,0.143000,-1.908000,28.626000,41.420000,0.000000
0.668000,1.074000,0.048000,0.182000,-5.908000,30.366000,34.702000,0.000000
0.691000,1.064000,0.051000,0.157000,-11.374000,27.603000,7.466000,0.000000
0.706000,0.999000,-0.040000,0.177000,-15.221000,25.649000,-6.397000,0.000000
0.723000,0.977000,-0.085000,0.197000,-16.076000,26.382000,-3.298000,0.000000
0.742000,1.007000,-0.125000,0.254000,-11.221000,29.359000,3.435000,0.000000
0.751000,1.017000,-0.115000,0.254000,-6.412000,31.603000,5.740000,0.000000
0.756000,1.003000,-0.095000,0.241000,-3.527000,32.855000,8.168000,0.000000
0.767000,1.014000,-0.057000,0.228000,-2.519000,34.473000,8.260000,0.000000
0.782000,1.000000,-0.042000,0.208000,-2.244000,34.779000,6.275000,0.000000
0.789000,0.998000,-0.021000,0.213000,-4.397000,35.344000,2.702000,0.000000
0.799000,0.987000,-0.022000,0.237000,-6.901000,36.595000,-1.450000,0.000000
0.808000,0.970000,-0.036000,0.235000,-7.664000,35.863000,-6.183000,0.000000
0.815000,0.971000,-0.047000,0.254000,-7.878000,35.847000,-10.198000,0.000000
0.832000,0.957000,-0.042000,0.257000,-8.626000,36.702000,-13.450000,0.000000
0.838000,0.921000,-0.044000,0.247000,-8.046000,36.260000,-16.260000,0.000000
0.850000,0.880000,-0.053000,0.247000,-10.260000,35.527000,-15.130000,0.000000
0.863000,0.859000,-0.080000,0.274000,-10.519000,35.084000,-13.542000,0.000000
0.881000,0.868000,-0.086000,0.315000,-9.802000,33.649000,-6.809000,0.000000
0.889000,0.869000,-0.074000,0.328000,-6.290000,32.015000,-8.779000,0.000000
0.898000,0.830000,-0.050000,0.286000,-2.779000,28.809000,-10.809000,0.000000
0.905000,0.803000,-0.019000,0.257000,-4.702000,27.450000,-7.878000,0.000000
0.914000,0.801000,-0.034000,0.291000,-8.183000,26.809000,-3.023000,0.000000
0.938000,0.835000,-0.059000,0.335000,-8.107000,25.450000,3.832000,0.000000
0.953000,0.850000,-0.065000,0.333000,-7.328000,26.305000,5.328000,0.000000
0.958000,0.838000,-0.083000,0.348000,-5.466000,25.985000,5.878000,0.000000
0.971000,0.830000,-0.063000,0.331000,-3.603000,25.893000,8.687000,0.000000
0.979000,0.835000,-0.044000,0.321000,-5.008000,27.191000,13.802000,0.000000
0.999000,0.835000,-0.034000,0.313000,-7.084000,27.634000,19.160000,0.000000
1.010000,0.873000,-0.013000,0.328000,-9.023000,27.954000,17.267000,0.000000
1.029000,0.855000,-0.039000,0.327000,-11.176000,23.389000,7.237000,0.000000
1.042000,0.839000,-0.070000,0.327000,-14.565000,21.405000,5.344000,0.000000
1.060000,0.867000,-0.162000,0.399000,-14.321000,18.458000,5.740000,0.000000
1.068000,0.902000,-0.197000,0.415000,-11.328000,18.595000,5.740000,0.000000
1.079000,0.933000,-0.194000,0.451000,-6.229000,19.878000,3.435000,0.000000
1.089000,0.935000,-0.194000,0.434000,-0.595000,21.908000,1.435000,0.000000
1.100000,0.925000,-0.174000,0.414000,2.550000,24.580000,0.840000,0.000000
1.109000,0.924000,-0.145000,0.383000,4.382000,26.168000,-0.412000,0.000000
