DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.940000,0.132000,0.541000,-1.878000,-0.672000,3.802000,0.000000
0.019000,0.787000,0.102000,0.740000,-21.588000,31.588000,-0.733000,0.000000
0.039000,1.066000,0.091000,0.416000,50.794000,-32.198000,20.214000,0.000000
0.065000,1.007000,0.035000,0.385000,0.565000,5.557000,2.092000,0.000000
0.085000,0.985000,0.018000,0.377000,2.137000,4.611000,3.145000,0.000000
0.105000,0.985000,0.065000,0.375000,1.542000,5.588000,3.954000,0.000000
0.125000,0.957000,0.061000,0.345000,-1.802000,4.977000,-0.473000,0.000000
0.145000,0.949000,0.034000,0.326000,0.107000,2.244000,-3.023000,0.000000
0.164000,1.007000,0.036000,0.322000,2.840000,0.336000,0.046000,0.000000
0.184000,1.023000,0.123000,0.280000,6.809000,1.328000,-5.450000,0.000000
0.204000,1.001000,0.135000,0.236000,-1.359000,-1.496000,-0.183000,0.000000
0.224000,1.065000,0.152000,0.204000,-6.992000,-8.382000,2.687000,0.000000
0.249000,1.172000,0.146000,0.211000,-10.977000,-9.969000,-4.336000,0.000000
0.269000,1.243000,0.119000,0.209000,-6.992000,-8.656000,-19.924000,0.000000
0.287000,1.270000,0.203000,0.238000,-12.336000,3.954000,-31.160000,0.000000
0.306000,1.085000,0.119000,0.101000,-23.664000,9.267000,-26.443000,0.000000
0.325000,1.010000,-0.082000,0.135000,-25.206000,5.954000,-22.580000,0.000000
0.345000,0.915000,-0.197000,0.092000,10.473000,9.374000,-41.847000,0.000000
0.364000,1.209000,0.178000,0.126000,29.679000,19.908000,-39.924000,0.000000
0.389000,1.104000,0.503000,0.005000,-7.252000,45.313000,-17.191000,0.000000
0.408000,0.979000,0.294000,-0.091000,-31.206000,41.664000,-27.542000,0.000000
0.427000,1.064000,0.229000,-0.024000,-23.985000,41.420000,-76.443000,0.000000
0.446000,0.897000,0.247000,0.043000,-58.351000,30.885000,-52.595000,0.000000
