DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.734000,0.186000,0.253000,-41.481000,75.252000,-7.634000,0.000000
0.001000,0.752000,0.186000,0.269000,-38.885000,73.771000,-12.611000,0.000000
0.001000,0.723000,0.191000,0.271000,-36.183000,74.168000,-17.832000,0.000000
0.002000,0.639000,0.169000,0.292000,-36.198000,72.275000,-17.008000,0.000000
0.002000,0.602000,0.164000,0.305000,-34.947000,68.336000,-9.969000,0.000000
0.003000,0.654000,0.188000,0.331000,-36.290000,64.748000,-3.160000,0.000000
0.003000,0.666000,0.180000,0.368000,-36.565000,63.160000,-1.893000,0.000000
0.004000,0.675000,0.187000,0.391000,-35.664000,61.374000,-3.099000,0.000000
0.004000,0.697000,0.196000,0.417000,-33.924000,60.336000,-7.389000,0.000000
0.005000,0.696000,0.198000,0.402000,-32.885000,57.466000,-14.061000,0.000000
0.005000,0.648000,0.135000,0.406000,-31.099000,52.031000,-18.214000,0.000000
0.005000,0.694000,0.132000,0.471000,-28.168000,50.336000,-16.656000,0.000000
0.007000,0.707000,0.134000,0.502000,-27.359000,52.901000,-14.260000,0.000000
0.007000,0.702000,0.104000,0.488000,-24.885000,53.053000,-11.679000,0.000000
0.008000,0.642000,0.108000,0.489000,-25.084000,53.267000,-14.076000,0.000000
0.009000,0.660000,0.079000,0.518000,-21.176000,49.618000,-11.359000,0.000000
0.009000,0.655000,0.088000,0.521000,-15.221000,46.718000,-14.947000,0.000000
0.010000,0.713000,0.172000,0.536000,-11.160000,45.649000,-20.672000,0.000000
0.010000,0.669000,0.213000,0.526000,-15.023000,44.595000,-23.069000,0.000000
0.010000,0.625000,0.178000,0.530000,-18.611000,41.985000,-16.885000,0.000000
0.011000,0.593000,0.117000,0.534000,-20.855000,37.634000,-8.198000,0.000000
0.011000,0.621000,0.101000,0.571000,-19.069000,35.069000,-4.687000,0.000000
0.012000,0.597000,0.081000,0.577000,-16.473000,33.466000,-2.626000,0.000000
0.012000,0.560000,0.060000,0.568000,-12.534000,30.870000,-0.473000,0.000000
0.013000,0.559000,0.070000,0.573000,-8.901000,27.115000,4.611000,0.000000
0.013000,0.542000,0.102000,0.557000,-7.389000,23.847000,9.618000,0.000000
0.014000,0.520000,0.148000,0.564000,-10.931000,19.924000,20.550000,0.000000
0.014000,0.540000,0.141000,0.564000,-14.382000,15.771000,29.817000,0.000000
0.015000,0.578000,0.118000,0.582000,-13.435000,11.374000,28.489000,0.000000
0.015000,0.590000,0.123000,0.592000,-10.015000,7.420000,21.298000,0.000000
0.016000,0.606000,0.131000,0.586000,-7.649000,3.328000,15.328000,0.000000
0.016000,0.640000,0.125000,0.590000,-5.466000,0.244000,9.298000,0.000000
0.016000,0.651000,0.126000,0.608000,-3.847000,-1.221000,4.550000,0.000000
0.017000,0.642000,0.108000,0.622000,-1.542000,-2.244000,3.023000,0.000000
0.017000,0.641000,0.074000,0.617000,1.939000,-2.153000,2.763000,0.000000
0.018000,0.639000,0.072000,0.633000,5.145000,-1.740000,6.137000,0.000000
0.018000,0.664000,0.068000,0.639000,8.641000,0.000000,8.840000,0.000000
0.018000,0.669000,0.079000,0.630000,13.313000,0.870000,7.924000,0.000000
0.019000,0.651000,0.102000,0.615000,16.137000,0.275000,9.511000,0.000000
0.019000,0.640000,0.132000,0.609000,17.099000,-0.626000,10.916000,0.000000
0.020000,0.570000,0.150000,0.591000,15.878000,-4.580000,16.214000,0.000000
0.020000,0.617000,0.181000,0.600000,12.672000,-9.328000,23.298000,0.000000
0.020000,0.715000,0.202000,0.614000,8.794000,-11.557000,26.794000,0.000000
0.021000,0.805000,0.228000,0.628000,6.733000,-12.489000,22.519000,0.000000
0.021000,0.886000,0.192000,0.648000,8.046000,-12.489000,12.168000,0.000000
0.021000,0.913000,0.196000,0.657000,10.382000,-12.122000,-0.336000,0.000000
0.022000,0.936000,0.185000,0.675000,11.802000,-10.565000,-8.595000,0.000000
0.022000,0.922000,0.189000,0.671000,14.901000,-9.664000,-15.374000,0.000000
0.023000,0.909000,0.187000,0.675000,17.008000,-8.397000,-18.519000,0.000000
0.023000,0.884000,0.198000,0.651000,15.756000,-7.237000,-15.023000,0.000000
0.023000,0.841000,0.181000,0.640000,14.504000,-7.191000,-7.847000,0.000000
0.024000,0.851000,0.190000,0.649000,15.145000,-6.672000,-0.580000,0.000000
0.024000,-1.626000,-0.262000,-0.068000,-38.947000,-17.008000,10.595000,0.000000
0.025000,-1.751000,-0.451000,-0.044000,-25.145000,-38.870000,20.076000,0.000000
0.025000,-1.703000,-0.548000,-0.132000,1.115000,-59.160000,6.366000,0.000000
0.025000,-1.475000,-0.399000,-0.233000,24.763000,-73.176000,-17.893000,0.000000
0.026000,-1.212000,-0.222000,-0.334000,38.321000,-85.679000,-30.473000,0.000000
0.026000,-1.203000,-0.287000,-0.610000,51.802000,-113.206000,-30.412000,0.000000
0.026000,-1.053000,-0.186000,-0.945000,60.397000,-162.137000,8.565000,0.000000
0.027000,-0.250000,0.240000,-0.991000,34.794000,-199.237000,77.313000,0.000000
0.027000,0.779000,0.186000,-0.935000,17.038000,-214.870000,108.183000,0.000000
0.027000,1.657000,0.174000,-0.765000,17.847000,-221.160000,98.672000,0.000000
0.028000,2.559000,0.361000,-0.486000,18.031000,-213.527000,83.450000,0.000000
0.028000,3.239000,0.346000,-0.366000,15.542000,-195.023000,56.595000,0.000000
0.028000,3.927000,0.314000,-0.091000,11.160000,-164.641000,36.870000,0.000000
0.029000,4.000000,0.368000,0.170000,14.076000,-120.443000,2.458000,0.000000
0.029000,4.000000,0.279000,0.106000,19.695000,-85.908000,-44.336000,0.000000
0.029000,3.963000,0.288000,0.178000,24.702000,-62.702000,-78.534000,0.000000
0.030000,3.641000,0.329000,0.234000,20.305000,-37.450000,-87.817000,0.000000
0.030000,3.308000,0.299000,0.195000,8.931000,-17.328000,-85.405000,0.000000
0.030000,3.144000,0.203000,0.268000,-4.656000,0.137000,-71.084000,0.000000
0.031000,2.990000,0.076000,0.314000,-9.893000,22.443000,-62.046000,0.000000
0.031000,2.772000,0.014000,0.329000,-8.656000,46.687000,-61.023000,0.000000
0.031000,2.432000,0.012000,0.232000,-7.313000,64.534000,-50.565000,0.000000
0.032000,2.107000,0.043000,0.109000,-12.198000,69.756000,-28.244000,0.000000
0.032000,1.818000,-0.000000,0.011000,-23.099000,60.870000,6.916000,0.000000
0.032000,1.773000,-0.067000,0.042000,-32.504000,56.366000,33.634000,0.000000
0.033000,1.654000,-0.159000,0.070000,-31.756000,55.908000,41.481000,0.000000
0.033000,1.627000,-0.178000,0.074000,-22.137000,58.046000,30.931000,0.000000
0.034000,1.510000,-0.152000,0.040000,-11.771000,59.725000,16.260000,0.000000
0.034000,1.362000,-0.147000,-0.004000,-1.237000,59.053000,7.511000,0.000000
0.034000,1.240000,-0.127000,-0.035000,4.351000,56.916000,9.496000,0.000000
0.035000,1.158000,-0.072000,-0.066000,9.221000,55.435000,16.321000,0.000000
0.035000,1.135000,0.002000,-0.068000,11.359000,53.771000,22.763000,0.000000
0.035000,1.083000,0.070000,-0.080000,11.313000,51.802000,26.214000,0.000000
0.036000,1.073000,0.137000,-0.083000,8.397000,46.855000,24.840000,0.000000
0.036000,1.168000,0.087000,-0.025000,10.015000,46.977000,19.710000,0.000000
0.036000,1.213000,0.076000,0.017000,13.985000,50.290000,12.916000,0.000000
0.036000,1.227000,0.060000,0.013000,17.664000,54.992000,8.718000,0.000000
0.037000,1.211000,0.069000,0.031000,21.969000,58.992000,3.832000,0.000000
0.037000,1.216000,0.087000,0.023000,27.099000,63.389000,-5.847000,0.000000
0.037000,1.139000,0.148000,-0.000000,29.099000,65.176000,-15.588000,0.000000
0.038000,1.124000,0.152000,0.005000,28.305000,65.115000,-18.427000,0.000000
0.038000,1.037000,0.072000,0.024000,27.267000,64.122000,-16.962000,0.000000
