DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.066000,0.085000,0.157000,-2.870000,2.107000,-0.107000,0.000000
0.019000,1.072000,0.159000,0.074000,-2.840000,6.290000,-4.702000,0.000000
0.039000,0.852000,-0.091000,0.475000,6.198000,50.458000,23.450000,0.000000
0.059000,0.948000,0.195000,0.377000,4.275000,11.267000,-32.672000,0.000000
0.092000,0.986000,0.261000,0.281000,-2.550000,0.763000,1.954000,0.000000
0.111000,0.973000,0.255000,0.285000,-2.183000,0.168000,3.725000,0.000000
0.131000,0.969000,0.262000,0.284000,-2.382000,1.695000,3.573000,0.000000
0.151000,0.945000,0.252000,0.280000,-2.351000,1.695000,0.183000,0.000000
0.170000,0.943000,0.260000,0.275000,-2.382000,1.695000,-3.496000,0.000000
0.183000,0.936000,0.242000,0.278000,-1.863000,-0.366000,-3.298000,0.000000
0.202000,0.930000,0.237000,0.295000,-2.137000,-1.481000,-0.489000,0.000000
0.222000,0.960000,0.240000,0.291000,-2.305000,-3.344000,0.137000,0.000000
0.242000,0.963000,0.260000,0.307000,-3.084000,-3.328000,-2.000000,0.000000
0.261000,1.005000,0.247000,0.352000,-2.992000,-3.237000,-1.145000,0.000000
0.281000,0.997000,0.257000,0.402000,-1.328000,-0.962000,-1.191000,0.000000
0.301000,1.005000,0.337000,0.432000,-4.885000,-0.305000,4.824000,0.000000
0.320000,0.979000,0.405000,0.434000,-14.061000,-2.611000,5.328000,0.000000
0.339000,0.998000,0.455000,0.468000,-30.046000,-3.908000,8.519000,0.000000
0.359000,1.003000,0.326000,0.528000,-41.344000,-2.992000,6.656000,0.000000
0.391000,0.920000,0.164000,0.548000,-52.504000,0.931000,10.718000,0.000000
0.403000,0.896000,0.157000,0.511000,-49.130000,-1.985000,8.183000,0.000000
0.423000,0.851000,0.171000,0.500000,-49.359000,-9.313000,6.519000,0.000000
0.442000,0.862000,0.167000,0.482000,-51.237000,-16.595000,6.412000,0.000000
0.461000,0.885000,0.064000,0.501000,-47.374000,-17.863000,-5.710000,0.000000
0.481000,0.923000,-0.029000,0.537000,-33.618000,-19.847000,-7.511000,0.000000
0.500000,1.008000,-0.003000,0.551000,-15.496000,-11.710000,10.031000,0.000000
0.519000,0.979000,0.294000,0.417000,-12.550000,0.015000,20.824000,0.000000
0.551000,0.920000,0.448000,0.360000,-33.374000,-2.824000,5.786000,0.000000
0.563000,0.914000,0.409000,0.354000,-38.351000,-4.947000,-2.519000,0.000000
0.582000,0.973000,0.308000,0.352000,-43.573000,-5.008000,-5.832000,0.000000
0.602000,0.980000,0.235000,0.371000,-39.420000,-3.374000,-5.756000,0.000000
0.621000,0.995000,0.297000,0.352000,-38.015000,-5.908000,-1.954000,0.000000
0.640000,1.068000,0.342000,0.328000,-36.641000,-3.649000,-16.794000,0.000000
0.660000,1.042000,0.304000,0.284000,-37.130000,-1.863000,-18.076000,0.000000
0.679000,1.000000,0.213000,0.313000,-29.817000,-1.740000,-17.252000,0.000000
0.703000,0.993000,0.279000,0.291000,-24.534000,-0.229000,-17.695000,0.000000
0.722000,0.973000,0.341000,0.220000,-17.344000,-2.656000,-39.099000,0.000000
0.741000,0.961000,0.378000,0.212000,-18.061000,-11.695000,-40.382000,0.000000
0.761000,1.031000,0.329000,0.195000,-19.603000,-8.794000,-27.206000,0.000000
0.781000,1.044000,0.284000,0.205000,-25.252000,-5.817000,7.206000,0.000000
0.800000,1.042000,0.212000,0.218000,-15.878000,-2.687000,5.603000,0.000000
0.819000,1.034000,0.277000,0.193000,-6.275000,-1.069000,-7.679000,0.000000
0.839000,1.000000,0.330000,0.138000,-13.664000,-7.328000,5.237000,0.000000
0.863000,0.962000,0.219000,0.168000,-10.870000,-9.725000,3.908000,0.000000
0.883000,0.938000,0.197000,0.196000,-10.519000,-12.733000,22.534000,0.000000
0.902000,0.964000,0.116000,0.252000,-2.977000,-11.939000,25.053000,0.000000
0.921000,0.942000,0.129000,0.282000,8.672000,-4.275000,13.099000,0.000000
0.941000,0.740000,0.053000,0.203000,17.191000,-3.954000,8.779000,0.000000
0.960000,0.893000,0.194000,0.190000,17.115000,-18.962000,14.992000,0.000000
0.980000,0.947000,0.115000,0.202000,14.137000,-23.863000,23.939000,0.000000
0.999000,1.000000,0.042000,0.202000,26.198000,-20.840000,18.351000,0.000000
1.030000,1.032000,0.124000,0.107000,36.473000,-10.015000,24.427000,0.000000
1.043000,0.990000,0.136000,0.117000,35.511000,-7.710000,25.481000,0.000000
1.062000,1.053000,0.099000,0.143000,41.252000,-7.450000,26.824000,0.000000
1.082000,1.074000,0.310000,0.100000,47.817000,-0.122000,4.794000,0.000000
1.102000,1.092000,0.417000,0.052000,24.122000,6.595000,10.397000,0.000000
1.121000,0.923000,0.221000,0.040000,11.023000,2.763000,-0.855000,0.000000
1.141000,0.933000,0.098000,0.097000,14.275000,-7.252000,6.229000,0.000000
1.160000,1.051000,0.204000,0.148000,11.328000,-0.275000,36.626000,0.000000
1.180000,1.158000,0.168000,0.091000,12.397000,17.725000,38.748000,0.000000
1.200000,0.812000,0.330000,-0.027000,20.870000,9.832000,11.313000,0.000000
1.219000,0.752000,0.332000,-0.042000,-11.298000,-15.115000,41.344000,0.000000
1.250000,1.125000,0.192000,-0.032000,-13.420000,-40.458000,62.718000,0.000000
1.263000,1.323000,0.097000,0.096000,-12.382000,-37.725000,41.389000,0.000000
1.282000,1.324000,0.222000,0.140000,-16.534000,-11.008000,3.817000,0.000000
1.302000,1.265000,0.039000,0.148000,-12.885000,0.458000,-11.023000,0.000000
1.321000,1.318000,0.142000,0.068000,-3.344000,29.649000,-31.221000,0.000000
1.340000,1.085000,0.197000,0.035000,1.023000,41.725000,-45.176000,0.000000
1.360000,0.811000,0.063000,-0.016000,12.550000,37.252000,-65.008000,0.000000
1.381000,0.672000,0.058000,-0.045000,23.099000,13.542000,-23.954000,0.000000
1.399000,0.770000,0.173000,-0.034000,22.473000,-8.565000,17.924000,0.000000
1.423000,1.059000,0.243000,0.019000,13.267000,-12.916000,29.511000,0.000000
1.442000,1.153000,0.247000,0.083000,7.832000,-9.008000,13.115000,0.000000
1.462000,1.052000,0.119000,0.078000,8.244000,5.496000,-26.641000,0.000000
1.482000,0.992000,0.047000,0.064000,8.794000,1.206000,1.115000,0.000000
