DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.912000,0.203000,0.454000,-1.725000,-0.168000,1.573000,0.000000
0.001000,0.936000,0.211000,0.455000,-1.420000,-0.122000,1.695000,0.000000
0.001000,0.940000,0.213000,0.447000,-1.359000,0.000000,1.664000,0.000000
0.002000,0.942000,0.221000,0.442000,-1.389000,0.092000,1.878000,0.000000
0.002000,0.944000,0.215000,0.450000,-1.710000,0.443000,3.160000,0.000000
0.003000,0.955000,0.212000,0.450000,-1.496000,1.099000,3.313000,0.000000
0.003000,0.947000,0.208000,0.448000,-0.794000,1.740000,2.977000,0.000000
0.004000,0.946000,0.205000,0.447000,-0.275000,2.015000,2.840000,0.000000
0.004000,0.944000,0.212000,0.454000,0.214000,2.260000,3.206000,0.000000
0.005000,0.947000,0.219000,0.459000,0.687000,2.580000,1.985000,0.000000
0.006000,0.938000,0.238000,0.440000,1.084000,2.336000,0.443000,0.000000
0.007000,0.941000,0.245000,0.452000,0.595000,1.725000,-0.504000,0.000000
0.007000,0.952000,0.251000,0.445000,-0.656000,1.618000,0.214000,0.000000
0.008000,0.949000,0.233000,0.450000,-1.832000,1.679000,1.420000,0.000000
0.008000,0.957000,0.228000,0.444000,-2.092000,1.863000,2.519000,0.000000
0.009000,0.958000,0.229000,0.462000,-2.366000,1.939000,2.824000,0.000000
0.009000,0.956000,0.211000,0.454000,-2.397000,2.168000,2.519000,0.000000
0.009000,0.951000,0.209000,0.455000,-1.908000,1.939000,2.244000,0.000000
0.010000,0.970000,0.216000,0.455000,-1.634000,2.046000,1.618000,0.000000
0.010000,0.955000,0.215000,0.438000,-1.710000,2.107000,1.389000,0.000000
0.011000,0.970000,0.213000,0.458000,-1.847000,2.534000,1.771000,0.000000
0.011000,0.957000,0.214000,0.451000,-1.908000,2.840000,1.725000,0.000000
0.012000,0.945000,0.199000,0.462000,-1.496000,2.702000,2.595000,0.000000
0.012000,0.962000,0.199000,0.456000,-1.206000,3.084000,3.466000,0.000000
0.013000,0.960000,0.210000,0.449000,-0.992000,3.847000,3.221000,0.000000
0.013000,0.955000,0.219000,0.445000,-0.962000,4.092000,2.656000,0.000000
0.013000,0.926000,0.216000,0.439000,-1.511000,3.344000,1.847000,0.000000
0.014000,0.939000,0.194000,0.453000,-1.130000,2.412000,3.511000,0.000000
0.014000,0.962000,0.191000,0.466000,-0.565000,3.817000,4.168000,0.000000
0.015000,0.946000,0.202000,0.451000,0.244000,4.229000,4.137000,0.000000
0.015000,0.938000,0.210000,0.446000,0.321000,3.954000,4.962000,0.000000
0.016000,0.948000,0.212000,0.461000,0.351000,4.137000,5.450000,0.000000
0.016000,0.946000,0.232000,0.452000,0.031000,4.214000,4.427000,0.000000
0.016000,0.932000,0.236000,0.437000,-0.641000,3.802000,3.084000,0.000000
0.017000,0.932000,0.235000,0.449000,-0.489000,3.252000,2.809000,0.000000
0.017000,0.937000,0.234000,0.449000,-0.550000,3.328000,2.305000,0.000000
0.017000,0.939000,0.236000,0.443000,-1.053000,3.359000,2.061000,0.000000
