DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.535000,0.652000,0.346000,-89.450000,-105.191000,-38.702000,0.000000
0.001000,0.596000,0.587000,0.421000,-81.786000,-104.015000,-48.076000,0.000000
0.002000,0.644000,0.562000,0.438000,-73.924000,-101.924000,-54.565000,0.000000
0.002000,0.653000,0.570000,0.453000,-67.740000,-99.740000,-56.824000,0.000000
0.002000,0.632000,0.598000,0.458000,-63.908000,-97.802000,-56.061000,0.000000
0.003000,0.624000,0.636000,0.458000,-62.534000,-97.313000,-53.832000,0.000000
0.004000,0.592000,0.691000,0.432000,-65.969000,-97.466000,-52.351000,0.000000
0.004000,0.574000,0.673000,0.401000,-68.351000,-101.191000,-48.992000,0.000000
0.006000,0.574000,0.850000,0.431000,-70.718000,-103.298000,-37.878000,0.000000
0.007000,0.627000,0.807000,0.411000,-84.397000,-107.908000,-31.405000,0.000000
0.007000,0.704000,0.725000,0.398000,-87.588000,-107.969000,-27.115000,0.000000
0.007000,0.804000,0.632000,0.445000,-86.137000,-105.191000,-27.863000,0.000000
0.008000,0.903000,0.513000,0.490000,-76.763000,-95.954000,-34.718000,0.000000
0.009000,0.940000,0.438000,0.525000,-64.244000,-84.565000,-38.412000,0.000000
0.009000,0.972000,0.378000,0.562000,-48.382000,-72.534000,-39.374000,0.000000
0.010000,0.968000,0.399000,0.565000,-33.176000,-58.794000,-37.939000,0.000000
0.010000,0.910000,0.438000,0.581000,-22.198000,-46.168000,-33.817000,0.000000
0.011000,0.865000,0.493000,0.547000,-15.023000,-35.863000,-26.656000,0.000000
0.011000,0.767000,0.556000,0.492000,-11.542000,-31.023000,-21.832000,0.000000
0.011000,0.802000,0.594000,0.529000,-13.420000,-26.214000,-10.046000,0.000000
0.012000,0.746000,0.583000,0.513000,-13.832000,-22.916000,-14.748000,0.000000
0.013000,0.796000,0.632000,0.496000,-14.565000,-22.168000,-4.870000,0.000000
0.014000,0.818000,0.571000,0.512000,-12.962000,-19.847000,-3.786000,0.000000
0.014000,0.850000,0.543000,0.530000,-8.656000,-15.160000,-5.679000,0.000000
0.015000,0.852000,0.545000,0.519000,-3.649000,-9.130000,-5.481000,0.000000
0.015000,0.828000,0.576000,0.509000,-0.107000,-3.206000,-2.794000,0.000000
0.015000,0.793000,0.603000,0.499000,2.000000,1.481000,1.053000,0.000000
0.016000,0.733000,0.604000,0.484000,4.153000,4.427000,3.969000,0.000000
0.016000,0.703000,0.631000,0.463000,5.344000,5.191000,5.053000,0.000000
0.016000,0.680000,0.667000,0.460000,5.603000,6.061000,5.756000,0.000000
0.017000,0.667000,0.682000,0.462000,5.313000,6.229000,5.221000,0.000000
0.017000,0.642000,0.693000,0.442000,4.992000,5.252000,5.939000,0.000000
0.017000,0.661000,0.698000,0.452000,4.824000,4.809000,7.023000,0.000000
0.018000,0.657000,0.704000,0.452000,4.000000,5.115000,6.992000,0.000000
0.018000,0.654000,0.696000,0.444000,3.878000,4.901000,6.397000,0.000000
0.019000,0.645000,0.692000,0.457000,4.061000,5.252000,6.412000,0.000000
0.019000,0.630000,0.708000,0.461000,3.939000,5.603000,6.092000,0.000000
0.019000,0.623000,0.708000,0.449000,4.015000,5.374000,5.573000,0.000000
0.020000,0.620000,0.707000,0.446000,4.397000,5.466000,5.573000,0.000000
0.020000,0.618000,0.716000,0.462000,4.473000,5.420000,5.313000,0.000000
0.020000,0.624000,0.726000,0.457000,4.137000,5.557000,5.130000,0.000000
0.021000,0.627000,0.732000,0.458000,3.389000,5.893000,4.779000,0.000000
0.021000,0.619000,0.719000,0.450000,2.962000,6.290000,4.092000,0.000000
0.021000,0.614000,0.717000,0.456000,3.817000,6.519000,2.626000,0.000000
0.022000,0.606000,0.730000,0.453000,3.695000,6.137000,1.527000,0.000000
0.022000,0.595000,0.731000,0.446000,2.489000,5.252000,1.802000,0.000000
0.022000,0.594000,0.732000,0.441000,0.901000,4.214000,3.695000,0.000000
0.022000,0.602000,0.723000,0.457000,-0.107000,4.046000,4.718000,0.000000
0.023000,0.610000,0.698000,0.461000,0.183000,3.969000,5.130000,0.000000
0.023000,0.622000,0.677000,0.466000,1.420000,4.351000,4.244000,0.000000
0.023000,0.618000,0.681000,0.459000,2.641000,4.718000,3.145000,0.000000
0.024000,0.604000,0.694000,0.451000,3.053000,4.763000,2.412000,0.000000
0.024000,0.598000,0.700000,0.458000,2.641000,4.412000,3.221000,0.000000
0.025000,0.594000,0.700000,0.454000,2.473000,3.740000,3.954000,0.000000
0.025000,1.649000,-0.366000,0.458000,50.504000,71.298000,-5.450000,0.000000
0.025000,1.554000,-0.352000,0.406000,58.534000,79.038000,-11.466000,0.000000
0.025000,1.490000,-0.389000,0.318000,66.962000,83.924000,-18.031000,0.000000
0.026000,1.396000,-0.295000,0.305000,69.282000,88.794000,-16.321000,0.000000
