DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.686000,0.430000,0.167000,91.099000,19.908000,19.267000,0.000000
0.000000,0.695000,0.461000,0.156000,84.443000,13.053000,31.878000,0.000000
0.001000,0.805000,0.436000,0.176000,80.290000,8.198000,36.382000,0.000000
0.001000,0.902000,0.431000,0.186000,81.771000,8.229000,35.374000,0.000000
0.002000,0.976000,0.427000,0.193000,88.718000,8.885000,32.244000,0.000000
0.002000,1.083000,0.405000,0.250000,98.504000,18.702000,30.534000,0.000000
0.003000,1.096000,0.421000,0.256000,114.504000,34.076000,29.298000,0.000000
0.003000,1.072000,0.472000,0.268000,130.000000,44.122000,25.695000,0.000000
0.003000,1.024000,0.628000,0.252000,136.931000,51.634000,26.321000,0.000000
0.004000,0.968000,0.765000,0.231000,136.137000,55.435000,29.328000,0.000000
0.004000,0.898000,0.903000,0.209000,128.840000,54.626000,25.954000,0.000000
0.006000,0.860000,0.976000,0.235000,116.473000,50.336000,22.229000,0.000000
0.006000,0.785000,1.014000,0.262000,102.809000,46.611000,20.962000,0.000000
0.006000,0.790000,0.982000,0.302000,89.802000,43.420000,23.145000,0.000000
0.007000,0.783000,0.941000,0.292000,81.267000,40.290000,24.076000,0.000000
0.007000,0.839000,0.932000,0.269000,73.863000,37.573000,24.901000,0.000000
0.007000,0.866000,0.918000,0.222000,68.321000,37.221000,20.977000,0.000000
0.008000,0.853000,0.911000,0.169000,61.679000,34.550000,18.458000,0.000000
0.008000,0.865000,0.916000,0.161000,54.275000,32.901000,16.351000,0.000000
0.008000,0.858000,0.905000,0.142000,44.794000,29.817000,12.916000,0.000000
0.009000,0.826000,0.868000,0.132000,36.382000,27.496000,10.305000,0.000000
0.009000,0.808000,0.841000,0.147000,29.008000,25.313000,7.832000,0.000000
0.010000,0.776000,0.795000,0.153000,21.771000,22.351000,6.809000,0.000000
0.010000,0.745000,0.732000,0.158000,16.000000,20.031000,8.382000,0.000000
0.011000,0.735000,0.691000,0.182000,12.214000,18.137000,10.595000,0.000000
0.011000,0.738000,0.670000,0.188000,7.710000,15.573000,10.489000,0.000000
0.011000,0.739000,0.594000,0.198000,6.046000,12.916000,9.756000,0.000000
0.012000,0.746000,0.592000,0.219000,4.840000,10.122000,8.092000,0.000000
0.012000,0.753000,0.594000,0.241000,2.031000,7.924000,6.351000,0.000000
0.013000,0.739000,0.586000,0.248000,-1.649000,4.305000,5.069000,0.000000
0.013000,0.760000,0.567000,0.260000,-5.267000,0.336000,3.618000,0.000000
0.014000,0.798000,0.519000,0.283000,-8.611000,-3.206000,1.679000,0.000000
0.014000,0.846000,0.474000,0.292000,-9.481000,-4.198000,0.061000,0.000000
0.015000,0.851000,0.448000,0.304000,-9.802000,-4.931000,1.374000,0.000000
0.015000,0.870000,0.452000,0.305000,-11.786000,-4.672000,4.611000,0.000000
0.016000,0.884000,0.440000,0.329000,-13.405000,-3.939000,7.405000,0.000000
0.016000,0.880000,0.436000,0.334000,-14.244000,-3.634000,8.809000,0.000000
0.016000,0.863000,0.432000,0.327000,-13.893000,-3.893000,9.557000,0.000000
0.017000,0.885000,0.454000,0.334000,-13.710000,-4.763000,7.771000,0.000000
0.017000,0.885000,0.470000,0.318000,-15.115000,-6.901000,6.290000,0.000000
0.017000,0.927000,0.400000,0.355000,-15.634000,-8.901000,5.008000,0.000000
0.018000,1.005000,0.364000,0.387000,-13.313000,-7.496000,2.321000,0.000000
0.018000,1.031000,0.340000,0.419000,-11.710000,-4.824000,1.832000,0.000000
0.019000,1.031000,0.304000,0.437000,-8.840000,-1.023000,1.771000,0.000000
0.019000,1.021000,0.285000,0.441000,-4.198000,2.962000,1.557000,0.000000
0.019000,0.997000,0.298000,0.431000,1.389000,6.489000,0.366000,0.000000
0.020000,0.959000,0.366000,0.388000,1.924000,6.168000,-0.504000,0.000000
0.020000,0.879000,0.464000,0.374000,-4.748000,2.733000,-0.550000,0.000000
0.020000,0.998000,0.320000,0.404000,-7.191000,2.504000,-4.565000,0.000000
0.021000,0.998000,0.286000,0.396000,-7.695000,1.832000,-0.611000,0.000000
0.021000,1.013000,0.263000,0.414000,-5.053000,3.588000,-1.130000,0.000000
0.022000,1.005000,0.237000,0.395000,-1.573000,6.290000,-1.496000,0.000000
0.022000,0.983000,0.280000,0.377000,-0.962000,7.664000,3.405000,0.000000
0.022000,0.973000,0.268000,0.371000,0.076000,9.282000,5.664000,0.000000
0.023000,0.961000,0.265000,0.357000,2.351000,10.427000,6.168000,0.000000
0.023000,0.814000,2.874000,-2.051000,-423.664000,-193.588000,-91.450000,0.000000
0.024000,1.184000,1.844000,-2.073000,-463.176000,-206.473000,-90.382000,0.000000
0.024000,1.482000,0.919000,-1.925000,-483.542000,-212.672000,-94.122000,0.000000
0.024000,2.010000,-0.284000,-1.559000,-483.084000,-208.916000,-85.328000,0.000000
0.025000,-2.172000,-2.864000,-2.974000,-284.885000,-65.344000,-179.466000,0.000000
0.025000,3.226000,-1.202000,-0.841000,-3.481000,-341.084000,-500.275000,0.000000
0.025000,0.964000,2.836000,-0.825000,-339.664000,-178.595000,98.962000,0.000000
0.026000,2.109000,-0.338000,-1.549000,-500.275000,-121.130000,500.260000,0.000000
0.026000,1.581000,-3.935000,-0.624000,-500.275000,-78.168000,300.183000,0.000000
0.026000,1.820000,-3.997000,0.093000,-267.435000,-108.626000,-21.206000,0.000000
0.027000,1.921000,-2.452000,0.328000,-152.427000,-93.511000,-97.939000,0.000000
0.027000,1.693000,-1.810000,0.253000,-139.832000,-83.405000,-78.107000,0.000000
0.027000,1.609000,-2.211000,0.255000,-112.794000,-66.168000,-43.313000,0.000000
0.028000,1.528000,-2.208000,0.283000,-49.710000,-50.427000,-44.763000,0.000000
0.028000,1.468000,-1.681000,0.353000,-7.298000,-40.702000,-35.954000,0.000000
0.028000,1.438000,-1.475000,0.429000,16.718000,-34.244000,-26.489000,0.000000
0.029000,1.405000,-1.323000,0.461000,46.412000,-29.374000,-28.687000,0.000000
0.029000,1.240000,-0.995000,0.354000,65.496000,-18.809000,-31.023000,0.000000
0.029000,1.185000,-0.654000,0.292000,74.565000,-9.527000,-12.702000,0.000000
0.030000,1.089000,-0.379000,0.234000,85.740000,-7.924000,-4.137000,0.000000
0.030000,1.145000,-0.154000,0.211000,90.351000,-4.702000,5.618000,0.000000
0.031000,1.185000,0.019000,0.305000,87.008000,5.160000,15.435000,0.000000
0.031000,1.111000,0.062000,0.407000,83.863000,16.718000,32.916000,0.000000
0.031000,1.035000,0.117000,0.427000,87.603000,24.824000,44.885000,0.000000
0.032000,1.014000,0.303000,0.354000,93.496000,28.351000,44.550000,0.000000
0.032000,0.932000,0.460000,0.197000,96.015000,24.962000,38.641000,0.000000
0.032000,1.027000,0.595000,0.115000,93.084000,21.878000,34.656000,0.000000
0.033000,1.108000,0.710000,0.065000,85.588000,23.771000,34.153000,0.000000
0.033000,1.151000,0.809000,0.038000,72.122000,23.649000,31.557000,0.000000
0.033000,1.130000,0.823000,0.034000,53.206000,19.069000,24.962000,0.000000
0.033000,1.163000,0.666000,0.078000,40.321000,15.450000,15.252000,0.000000
0.034000,1.121000,0.511000,0.138000,32.305000,12.763000,7.954000,0.000000
0.034000,1.145000,0.369000,0.211000,24.626000,14.962000,10.641000,0.000000
0.034000,1.135000,0.172000,0.279000,23.420000,20.061000,16.748000,0.000000
0.034000,1.126000,0.050000,0.319000,31.344000,24.763000,13.710000,0.000000
0.035000,1.062000,-0.066000,0.312000,50.580000,24.931000,2.290000,0.000000
0.035000,1.026000,-0.037000,0.323000,70.779000,19.817000,-12.061000,0.000000
0.035000,1.085000,0.057000,0.342000,80.702000,20.931000,-14.931000,0.000000
0.036000,1.137000,0.078000,0.354000,86.977000,25.893000,-12.763000,0.000000
0.036000,1.113000,0.078000,0.432000,96.260000,34.183000,-5.969000,0.000000
0.037000,1.136000,0.214000,0.427000,103.969000,42.260000,0.153000,0.000000
0.037000,1.131000,0.371000,0.375000,105.267000,49.969000,8.275000,0.000000
0.037000,1.157000,0.471000,0.303000,102.840000,53.588000,13.405000,0.000000
0.038000,1.209000,0.527000,0.267000,99.145000,59.176000,15.603000,0.000000
0.038000,1.217000,0.558000,0.258000,92.366000,64.076000,14.931000,0.000000
