DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.161000,0.249000,0.796000,22.855000,-56.122000,29.023000,0.000000
0.001000,1.147000,0.280000,0.768000,29.771000,-54.809000,7.496000,0.000000
0.001000,1.124000,0.343000,0.741000,32.137000,-54.046000,-11.252000,0.000000
0.001000,1.094000,0.356000,0.726000,29.191000,-52.458000,-17.710000,0.000000
0.002000,1.066000,0.309000,0.736000,25.878000,-49.466000,-13.786000,0.000000
0.002000,1.089000,0.293000,0.714000,24.718000,-44.794000,-4.458000,0.000000
0.002000,1.071000,0.337000,0.699000,20.870000,-39.695000,7.191000,0.000000
0.002000,1.066000,0.354000,0.672000,13.298000,-35.130000,20.443000,0.000000
0.003000,1.057000,0.332000,0.662000,5.405000,-30.260000,34.672000,0.000000
0.003000,1.061000,0.263000,0.645000,3.282000,-27.695000,37.557000,0.000000
0.003000,1.095000,0.269000,0.645000,7.511000,-26.931000,26.076000,0.000000
0.004000,1.085000,0.308000,0.626000,10.244000,-25.588000,11.725000,0.000000
0.004000,1.045000,0.323000,0.611000,9.725000,-24.443000,3.511000,0.000000
0.005000,1.005000,0.319000,0.585000,7.817000,-23.695000,0.992000,0.000000
0.006000,0.980000,0.306000,0.579000,4.916000,-22.962000,2.733000,0.000000
0.006000,1.023000,0.282000,0.584000,1.756000,-20.550000,8.168000,0.000000
0.007000,1.031000,0.254000,0.594000,-0.122000,-16.855000,12.351000,0.000000
0.007000,1.025000,0.242000,0.591000,-0.702000,-14.076000,14.947000,0.000000
0.007000,0.976000,0.228000,0.558000,-1.802000,-12.458000,17.634000,0.000000
0.008000,0.930000,0.204000,0.549000,-2.824000,-11.954000,21.786000,0.000000
0.008000,0.949000,0.170000,0.560000,-0.519000,-11.832000,21.160000,0.000000
0.008000,0.980000,0.185000,0.556000,4.962000,-11.145000,11.725000,0.000000
0.008000,0.965000,0.250000,0.530000,7.252000,-11.038000,1.771000,0.000000
0.009000,0.962000,0.255000,0.526000,7.893000,-11.786000,-8.000000,0.000000
0.009000,0.954000,0.266000,0.509000,6.153000,-11.481000,-5.664000,0.000000
0.009000,0.974000,0.270000,0.508000,1.969000,-10.290000,6.107000,0.000000
0.009000,0.977000,0.247000,0.503000,-2.305000,-9.038000,16.229000,0.000000
0.010000,1.024000,0.229000,0.520000,-2.626000,-7.634000,17.435000,0.000000
0.010000,1.029000,0.255000,0.507000,-0.229000,-6.641000,9.985000,0.000000
0.010000,1.029000,0.305000,0.500000,0.656000,-9.802000,-3.298000,0.000000
0.011000,1.031000,0.352000,0.485000,-1.008000,-11.023000,-16.000000,0.000000
0.011000,1.003000,0.309000,0.460000,-3.985000,-11.313000,-22.748000,0.000000
0.011000,0.937000,0.244000,0.459000,-4.718000,-12.641000,-23.832000,0.000000
0.011000,0.930000,0.209000,0.479000,-6.748000,-10.901000,-16.198000,0.000000
0.012000,0.917000,0.174000,0.483000,-7.496000,-8.382000,-7.145000,0.000000
0.012000,0.905000,0.133000,0.496000,-6.107000,-5.237000,1.817000,0.000000
0.012000,0.896000,0.149000,0.478000,-3.145000,-2.809000,6.443000,0.000000
0.012000,0.877000,0.188000,0.461000,-1.389000,-2.977000,7.130000,0.000000
0.013000,0.874000,0.225000,0.452000,-1.298000,-4.809000,6.580000,0.000000
0.013000,0.901000,0.231000,0.452000,-2.351000,-6.260000,4.977000,0.000000
0.014000,0.917000,0.205000,0.456000,-1.954000,-6.382000,3.023000,0.000000
0.014000,0.917000,0.203000,0.457000,-0.779000,-6.962000,2.000000,0.000000
0.014000,0.932000,0.193000,0.460000,0.107000,-6.656000,3.008000,0.000000
0.014000,0.936000,0.189000,0.468000,1.878000,-5.679000,5.954000,0.000000
0.015000,0.949000,0.202000,0.466000,4.244000,-5.084000,7.008000,0.000000
0.015000,0.958000,0.238000,0.461000,5.344000,-4.733000,5.817000,0.000000
0.015000,0.951000,0.260000,0.457000,4.947000,-5.145000,4.885000,0.000000
0.015000,0.949000,0.267000,0.453000,3.649000,-5.771000,5.359000,0.000000
0.016000,0.968000,0.255000,0.466000,3.069000,-5.618000,5.130000,0.000000
0.016000,0.978000,0.254000,0.454000,2.916000,-4.794000,4.626000,0.000000
0.016000,0.954000,0.250000,0.456000,2.809000,-4.565000,3.939000,0.000000
0.017000,0.948000,0.260000,0.446000,1.969000,-4.962000,3.679000,0.000000
0.017000,4.000000,1.275000,1.130000,-1.420000,240.809000,-38.809000,0.000000
0.017000,4.000000,1.410000,0.959000,-32.687000,295.008000,-58.840000,0.000000
0.018000,3.530000,1.210000,0.693000,-68.412000,342.733000,-63.618000,0.000000
0.018000,3.028000,0.881000,0.417000,-89.618000,384.947000,-54.122000,0.000000
0.019000,2.567000,0.692000,0.102000,-101.359000,428.870000,-39.466000,0.000000
0.020000,1.783000,0.516000,-0.356000,-110.412000,456.473000,-20.962000,0.000000
0.021000,0.883000,0.258000,-0.686000,-108.168000,451.802000,0.901000,0.000000
0.021000,0.467000,0.221000,-0.761000,-100.962000,438.718000,20.473000,0.000000
0.021000,0.150000,0.188000,-0.843000,-94.595000,427.511000,26.565000,0.000000
0.021000,-0.303000,0.161000,-0.929000,-89.099000,405.908000,24.779000,0.000000
0.022000,-0.699000,0.146000,-0.926000,-84.031000,370.519000,25.298000,0.000000
0.022000,-0.932000,0.172000,-0.823000,-81.313000,329.786000,20.718000,0.000000
0.022000,-1.064000,0.176000,-0.740000,-80.931000,287.771000,11.450000,0.000000
0.023000,-1.189000,0.161000,-0.654000,-79.389000,244.183000,-2.183000,0.000000
0.023000,-1.311000,0.115000,-0.576000,-79.206000,197.710000,-11.542000,0.000000
0.024000,-1.301000,0.046000,-0.463000,-78.275000,152.901000,-16.916000,0.000000
0.024000,-1.265000,-0.067000,-0.347000,-73.893000,114.473000,-18.321000,0.000000
0.024000,-1.259000,-0.158000,-0.263000,-66.000000,77.618000,-16.397000,0.000000
0.025000,-1.232000,-0.219000,-0.182000,-57.038000,43.206000,-11.542000,0.000000
0.025000,-1.199000,-0.257000,-0.110000,-46.473000,9.160000,-8.504000,0.000000
0.025000,-1.144000,-0.263000,-0.069000,-34.626000,-24.824000,-7.267000,0.000000
0.026000,-1.074000,-0.245000,-0.046000,-24.977000,-57.420000,-10.855000,0.000000
0.027000,-0.978000,-0.251000,-0.013000,-16.641000,-89.298000,-15.481000,0.000000
0.027000,-0.843000,-0.283000,0.047000,-4.962000,-121.267000,-18.122000,0.000000
0.027000,-0.628000,-0.252000,0.112000,7.756000,-146.824000,-21.817000,0.000000
0.028000,-0.452000,-0.230000,0.184000,17.771000,-168.076000,-21.466000,0.000000
0.028000,-0.242000,-0.175000,0.241000,24.931000,-185.374000,-18.183000,0.000000
0.028000,-0.032000,-0.174000,0.338000,30.840000,-198.763000,-15.710000,0.000000
0.028000,0.197000,-0.189000,0.444000,39.939000,-205.924000,-18.443000,0.000000
0.029000,0.415000,-0.175000,0.533000,52.107000,-208.290000,-20.427000,0.000000
0.029000,0.598000,-0.111000,0.615000,64.031000,-205.878000,-19.557000,0.000000
0.029000,0.764000,0.009000,0.655000,73.588000,-200.855000,-15.557000,0.000000
0.030000,0.922000,0.159000,0.697000,78.168000,-193.878000,-13.527000,0.000000
0.030000,1.015000,0.317000,0.713000,75.359000,-185.389000,-11.038000,0.000000
0.030000,1.054000,0.358000,0.750000,70.641000,-177.802000,-11.237000,0.000000
0.030000,1.075000,0.384000,0.772000,69.282000,-171.832000,-16.962000,0.000000
0.031000,1.100000,0.413000,0.792000,67.206000,-167.023000,-19.679000,0.000000
0.031000,1.212000,0.569000,0.808000,58.763000,-160.305000,-9.053000,0.000000
0.031000,1.151000,0.421000,0.887000,56.779000,-151.450000,-7.481000,0.000000
0.032000,1.278000,0.485000,0.925000,52.916000,-141.145000,-0.901000,0.000000
0.032000,1.279000,0.521000,0.927000,41.679000,-128.702000,12.015000,0.000000
0.032000,1.299000,0.446000,0.948000,34.153000,-116.000000,15.145000,0.000000
0.032000,1.229000,0.406000,0.951000,31.786000,-105.420000,11.298000,0.000000
0.033000,1.184000,0.384000,0.949000,30.473000,-96.427000,7.649000,0.000000
0.033000,1.115000,0.354000,0.897000,30.779000,-91.374000,-0.198000,0.000000
0.033000,1.099000,0.385000,0.890000,28.718000,-85.466000,-2.687000,0.000000
0.034000,1.044000,0.360000,0.882000,21.542000,-78.275000,3.298000,0.000000
0.034000,0.992000,0.292000,0.871000,15.725000,-72.595000,14.153000,0.000000
