DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.175000,0.177000,-0.217000,3.099000,-1.298000,-25.588000,0.000000
0.020000,1.086000,0.103000,-0.208000,-7.023000,0.595000,-22.489000,0.000000
0.032000,1.065000,0.081000,-0.210000,-13.008000,1.191000,-14.137000,0.000000
0.050000,1.068000,0.045000,-0.174000,-21.344000,4.947000,0.824000,0.000000
0.058000,1.100000,0.031000,-0.151000,-21.527000,6.855000,4.031000,0.000000
0.066000,1.102000,0.012000,-0.131000,-19.435000,8.473000,4.473000,0.000000
0.074000,1.091000,0.000000,-0.142000,-17.191000,9.603000,5.557000,0.000000
0.091000,1.096000,0.016000,-0.169000,-14.870000,10.046000,4.794000,0.000000
0.099000,1.095000,0.053000,-0.185000,-16.565000,10.855000,1.267000,0.000000
0.109000,1.106000,0.058000,-0.172000,-18.198000,12.397000,0.092000,0.000000
0.118000,1.072000,0.046000,-0.193000,-20.061000,12.504000,-0.733000,0.000000
0.125000,1.046000,0.009000,-0.188000,-20.504000,11.603000,0.183000,0.000000
0.141000,1.032000,-0.032000,-0.189000,-17.023000,7.725000,0.840000,0.000000
0.149000,1.046000,-0.059000,-0.178000,-11.282000,2.687000,-0.687000,0.000000
0.161000,1.073000,-0.049000,-0.159000,-6.260000,0.198000,-2.351000,0.000000
0.169000,1.115000,-0.015000,-0.128000,-4.458000,3.603000,1.221000,0.000000
0.180000,1.157000,0.046000,-0.107000,-5.786000,11.985000,5.618000,0.000000
0.191000,1.166000,0.067000,-0.119000,-9.008000,22.534000,6.351000,0.000000
0.199000,1.115000,0.103000,-0.140000,-14.641000,27.496000,4.947000,0.000000
0.205000,1.082000,0.087000,-0.170000,-21.496000,28.076000,6.107000,0.000000
0.219000,1.045000,0.051000,-0.186000,-23.649000,26.565000,3.053000,0.000000
0.226000,0.973000,0.002000,-0.219000,-21.130000,21.252000,-2.748000,0.000000
0.235000,0.959000,-0.001000,-0.221000,-17.664000,11.634000,-9.435000,0.000000
0.249000,0.990000,0.022000,-0.192000,-14.916000,4.809000,-15.664000,0.000000
0.263000,1.024000,0.044000,-0.160000,-11.679000,1.298000,-22.870000,0.000000
0.281000,1.072000,0.079000,-0.069000,-7.740000,2.947000,-31.679000,0.000000
0.299000,1.006000,0.059000,-0.098000,-17.344000,17.573000,-14.550000,0.000000
0.320000,1.006000,-0.013000,-0.100000,-21.725000,23.160000,0.687000,0.000000
0.331000,1.064000,0.022000,-0.069000,-17.634000,23.099000,0.137000,0.000000
0.350000,1.070000,0.099000,0.000000,-12.168000,26.748000,-8.824000,0.000000
0.367000,0.966000,0.114000,-0.031000,-12.901000,22.672000,-14.901000,0.000000
0.380000,0.952000,0.120000,-0.023000,-15.176000,21.374000,-10.046000,0.000000
0.388000,0.992000,0.154000,-0.004000,-16.809000,20.000000,-3.725000,0.000000
0.396000,1.004000,0.127000,-0.015000,-19.374000,21.725000,-1.176000,0.000000
0.405000,0.992000,0.104000,-0.022000,-19.038000,21.389000,-2.824000,0.000000
0.421000,1.019000,0.094000,-0.027000,-17.817000,21.557000,-5.649000,0.000000
0.432000,0.999000,0.110000,0.050000,-17.313000,22.641000,-12.321000,0.000000
0.450000,0.967000,0.108000,0.069000,-17.298000,25.527000,-10.687000,0.000000
0.458000,0.937000,0.089000,0.084000,-15.160000,26.336000,-9.802000,0.000000
0.470000,0.897000,0.080000,0.081000,-14.641000,26.702000,-5.511000,0.000000
0.478000,0.920000,0.062000,0.116000,-14.275000,28.443000,-0.229000,0.000000
0.487000,0.878000,0.044000,0.115000,-11.664000,28.229000,0.580000,0.000000
0.495000,0.857000,0.027000,0.115000,-8.107000,27.099000,3.466000,0.000000
0.503000,0.871000,0.027000,0.118000,-3.725000,29.679000,4.198000,0.000000
0.511000,0.832000,0.056000,0.081000,1.771000,30.336000,2.031000,0.000000
0.528000,0.772000,0.093000,0.015000,5.374000,27.756000,1.252000,0.000000
0.537000,0.727000,0.151000,-0.058000,3.130000,21.786000,2.412000,0.000000
0.549000,0.780000,0.178000,-0.051000,-2.076000,13.511000,0.351000,0.000000
0.561000,0.858000,0.198000,-0.016000,-6.550000,4.718000,-4.443000,0.000000
0.578000,0.992000,0.089000,0.111000,-16.489000,0.198000,-4.061000,0.000000
0.586000,1.042000,0.039000,0.160000,-13.511000,-1.557000,-9.038000,0.000000
0.599000,1.010000,0.002000,0.134000,-10.031000,-3.634000,-9.466000,0.000000
0.605000,0.954000,-0.041000,0.119000,-8.687000,-4.504000,-3.176000,0.000000
0.621000,0.956000,-0.042000,0.129000,-8.351000,-4.519000,7.924000,0.000000
0.628000,0.947000,-0.034000,0.126000,-7.695000,-4.794000,13.405000,0.000000
0.638000,0.983000,0.008000,0.118000,-7.374000,-5.405000,13.710000,0.000000
0.650000,1.012000,0.050000,0.104000,-5.863000,-7.206000,7.679000,0.000000
0.658000,1.069000,0.041000,0.140000,-4.427000,-8.092000,1.756000,0.000000
0.672000,1.073000,-0.000000,0.162000,1.573000,-6.489000,-6.137000,0.000000
0.686000,0.970000,0.021000,0.102000,18.000000,-10.565000,-17.145000,0.000000
0.699000,0.937000,0.045000,0.087000,19.893000,-11.634000,-15.344000,0.000000
0.710000,0.935000,0.083000,0.065000,17.771000,-12.198000,-11.221000,0.000000
0.717000,0.934000,0.102000,0.053000,14.137000,-11.588000,-4.718000,0.000000
0.726000,0.969000,0.121000,0.064000,8.565000,-8.290000,2.931000,0.000000
0.733000,1.025000,0.134000,0.074000,5.542000,-6.351000,5.588000,0.000000
0.750000,1.041000,0.125000,0.068000,6.229000,-5.725000,2.931000,0.000000
0.762000,1.065000,0.141000,0.054000,7.664000,-7.313000,-2.885000,0.000000
0.782000,1.096000,0.116000,0.065000,5.282000,-9.725000,-13.023000,0.000000
0.788000,1.085000,0.062000,0.081000,6.107000,-9.878000,-16.290000,0.000000
0.799000,1.050000,0.046000,0.094000,7.603000,-9.908000,-16.580000,0.000000
0.808000,1.044000,0.053000,0.105000,4.748000,-7.710000,-11.252000,0.000000
0.816000,1.034000,0.020000,0.131000,4.534000,-5.435000,-5.099000,0.000000
0.828000,0.996000,0.024000,0.133000,6.595000,-3.405000,3.511000,0.000000
0.841000,0.985000,0.035000,0.109000,7.053000,-0.641000,13.450000,0.000000
0.849000,1.008000,0.054000,0.110000,10.366000,0.626000,17.496000,0.000000
0.858000,1.022000,0.098000,0.083000,13.924000,0.809000,16.626000,0.000000
0.866000,1.023000,0.129000,0.042000,15.130000,-0.183000,10.534000,0.000000
0.876000,1.003000,0.156000,-0.045000,13.405000,-5.664000,3.725000,0.000000
0.888000,1.038000,0.173000,0.025000,8.733000,-6.336000,2.748000,0.000000
0.899000,1.067000,0.138000,0.045000,4.519000,-9.237000,-2.107000,0.000000
0.912000,1.066000,0.082000,0.085000,3.679000,-13.573000,-7.389000,0.000000
0.919000,1.070000,0.042000,0.101000,6.550000,-16.809000,-7.634000,0.000000
0.932000,1.042000,0.001000,0.112000,8.855000,-16.626000,-1.756000,0.000000
0.939000,1.044000,-0.036000,0.127000,11.069000,-13.832000,7.954000,0.000000
0.951000,1.021000,-0.062000,0.115000,14.550000,-11.695000,17.786000,0.000000
0.958000,1.018000,-0.038000,0.100000,17.756000,-9.145000,28.855000,0.000000
0.970000,1.058000,-0.013000,0.095000,20.153000,-5.618000,34.885000,0.000000
0.976000,1.109000,0.031000,0.089000,22.794000,-2.565000,34.595000,0.000000
0.990000,1.131000,0.091000,0.049000,23.924000,-2.015000,30.412000,0.000000
0.999000,1.126000,0.138000,0.033000,22.656000,-2.901000,24.733000,0.000000
1.007000,1.113000,0.141000,0.025000,20.580000,-4.443000,18.992000,0.000000
1.016000,1.078000,0.140000,0.010000,17.115000,-7.695000,14.336000,0.000000
1.023000,1.046000,0.094000,0.011000,13.878000,-13.328000,11.237000,0.000000
1.040000,1.037000,0.066000,0.030000,12.794000,-17.511000,10.321000,0.000000
1.048000,1.048000,0.049000,0.023000,10.809000,-18.168000,15.237000,0.000000
1.060000,1.063000,0.023000,0.047000,10.504000,-17.740000,19.099000,0.000000
1.066000,1.094000,0.034000,0.070000,11.496000,-15.511000,25.527000,0.000000
1.079000,1.139000,0.033000,0.097000,14.061000,-10.977000,26.702000,0.000000
1.091000,1.165000,0.056000,0.085000,15.924000,-6.885000,24.962000,0.000000
1.099000,1.159000,0.082000,0.062000,16.107000,-5.099000,20.824000,0.000000
