DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.935000,0.004000,0.247000,5.160000,-9.496000,1.053000,0.000000
0.021000,0.923000,0.101000,0.210000,3.985000,-11.237000,1.573000,0.000000
0.032000,0.934000,0.114000,0.205000,0.366000,-12.977000,-1.267000,0.000000
0.054000,0.978000,0.037000,0.236000,-2.794000,-13.420000,-5.450000,0.000000
0.072000,0.958000,-0.001000,0.235000,-0.702000,-10.504000,-6.534000,0.000000
0.081000,0.936000,-0.006000,0.219000,1.969000,-7.939000,-5.084000,0.000000
0.086000,0.906000,0.008000,0.206000,4.122000,-6.901000,-3.252000,0.000000
0.101000,0.854000,0.039000,0.188000,5.130000,-7.634000,-0.168000,0.000000
0.110000,0.805000,0.058000,0.167000,4.290000,-10.198000,3.221000,0.000000
0.118000,0.787000,0.074000,0.152000,0.626000,-13.313000,6.855000,0.000000
0.132000,0.806000,0.073000,0.182000,-3.038000,-17.130000,9.359000,0.000000
0.145000,0.865000,0.060000,0.208000,-6.962000,-18.427000,6.962000,0.000000
0.159000,0.901000,0.022000,0.186000,-7.954000,-18.076000,-3.206000,0.000000
0.172000,0.882000,0.000000,0.170000,-6.290000,-17.863000,-7.115000,0.000000
0.183000,0.839000,-0.011000,0.172000,-4.748000,-17.008000,-7.527000,0.000000
0.190000,0.774000,-0.015000,0.148000,-2.580000,-19.069000,-6.931000,0.000000
0.200000,0.738000,0.004000,0.159000,-2.076000,-21.588000,-2.977000,0.000000
0.214000,0.714000,0.013000,0.162000,-2.595000,-25.328000,3.435000,0.000000
0.222000,0.741000,0.033000,0.167000,-3.252000,-29.863000,7.893000,0.000000
0.232000,0.794000,0.029000,0.166000,-6.504000,-30.992000,8.931000,0.000000
0.238000,0.821000,-0.004000,0.149000,-6.809000,-34.275000,6.183000,0.000000
0.254000,0.882000,-0.041000,0.147000,-7.267000,-36.489000,1.496000,0.000000
0.256000,0.959000,-0.068000,0.171000,-7.695000,-35.069000,-1.924000,0.000000
0.267000,1.014000,-0.098000,0.168000,-6.992000,-31.817000,-6.382000,0.000000
0.283000,1.040000,-0.128000,0.170000,-2.718000,-29.969000,-12.015000,0.000000
0.288000,1.045000,-0.138000,0.168000,1.969000,-27.405000,-14.366000,0.000000
0.303000,1.016000,-0.139000,0.145000,6.336000,-25.069000,-14.611000,0.000000
0.312000,0.985000,-0.091000,0.124000,10.336000,-24.137000,-13.756000,0.000000
0.320000,0.969000,-0.052000,0.105000,11.664000,-23.328000,-12.168000,0.000000
0.330000,0.940000,-0.005000,0.093000,14.061000,-25.176000,-11.878000,0.000000
0.338000,0.928000,0.007000,0.087000,14.305000,-26.214000,-10.916000,0.000000
0.355000,0.914000,0.021000,0.074000,12.702000,-27.435000,-9.130000,0.000000
0.369000,0.914000,-0.022000,0.094000,12.519000,-30.427000,-5.969000,0.000000
0.377000,0.927000,-0.050000,0.088000,14.137000,-31.649000,-2.397000,0.000000
0.394000,0.983000,-0.047000,0.099000,15.985000,-30.061000,0.519000,0.000000
0.401000,1.015000,-0.037000,0.108000,20.290000,-28.840000,-2.168000,0.000000
0.413000,1.013000,0.031000,0.072000,22.000000,-29.328000,-7.038000,0.000000
