DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.934000,0.224000,0.230000,-9.237000,-6.473000,-25.145000,0.000000
0.017000,0.885000,0.137000,0.256000,-8.382000,-11.939000,-24.107000,0.000000
0.030000,0.885000,0.106000,0.250000,-6.779000,-14.595000,-19.725000,0.000000
0.045000,0.940000,0.054000,0.287000,4.046000,-11.450000,-10.901000,0.000000
0.055000,0.929000,0.038000,0.272000,14.260000,-7.740000,-4.794000,0.000000
0.070000,0.926000,0.091000,0.216000,21.298000,-4.458000,3.328000,0.000000
0.076000,0.935000,0.194000,0.171000,23.038000,-0.931000,15.405000,0.000000
0.090000,0.924000,0.252000,0.134000,22.366000,3.435000,19.542000,0.000000
0.097000,0.905000,0.300000,0.092000,19.282000,1.954000,21.679000,0.000000
0.108000,0.894000,0.308000,0.075000,15.298000,0.260000,20.015000,0.000000
0.114000,0.886000,0.316000,0.078000,11.267000,-4.962000,9.313000,0.000000
0.129000,0.866000,0.290000,0.066000,6.840000,-9.328000,8.595000,0.000000
0.135000,0.892000,0.234000,0.086000,6.290000,-12.595000,8.473000,0.000000
0.146000,0.899000,0.198000,0.085000,11.969000,-14.275000,6.611000,0.000000
0.161000,0.888000,0.176000,0.076000,16.000000,-15.695000,6.550000,0.000000
0.180000,0.899000,0.142000,0.032000,16.748000,-6.076000,39.847000,0.000000
0.196000,0.965000,0.218000,-0.005000,10.931000,6.992000,77.237000,0.000000
0.219000,1.032000,0.392000,-0.034000,10.809000,18.580000,68.977000,0.000000
0.233000,1.129000,0.508000,-0.132000,-3.252000,-3.206000,8.763000,0.000000
0.251000,1.082000,0.516000,-0.132000,-5.191000,-7.817000,-13.038000,0.000000
0.269000,1.003000,0.352000,-0.083000,-20.244000,-14.733000,-30.626000,0.000000
0.277000,0.957000,0.243000,-0.012000,-27.771000,-7.282000,-16.885000,0.000000
0.288000,0.957000,0.178000,0.008000,-34.168000,-10.595000,-5.084000,0.000000
0.301000,0.998000,0.094000,0.065000,-34.290000,-9.863000,3.344000,0.000000
0.308000,1.028000,0.067000,0.083000,-30.672000,-8.611000,5.695000,0.000000
0.318000,1.056000,0.073000,0.080000,-22.107000,-8.183000,0.183000,0.000000
0.325000,1.065000,0.112000,0.060000,-12.595000,-8.977000,-8.168000,0.000000
0.339000,1.033000,0.136000,0.037000,-7.084000,-11.908000,-14.977000,0.000000
0.347000,1.015000,0.130000,0.023000,-4.000000,-13.038000,-16.321000,0.000000
0.358000,0.994000,0.130000,0.017000,-3.893000,-13.557000,-11.588000,0.000000
0.365000,0.980000,0.120000,0.030000,-4.427000,-12.855000,-6.672000,0.000000
0.379000,0.977000,0.115000,0.047000,-5.145000,-13.267000,-1.496000,0.000000
0.391000,0.990000,0.124000,0.042000,-6.107000,-13.221000,1.328000,0.000000
0.410000,1.022000,0.112000,0.078000,-3.832000,-12.489000,-1.954000,0.000000
0.418000,1.035000,0.116000,0.064000,-1.863000,-11.863000,-4.992000,0.000000
0.430000,1.028000,0.118000,0.059000,-0.198000,-11.084000,-9.679000,0.000000
0.437000,1.011000,0.119000,0.052000,2.840000,-12.183000,-12.656000,0.000000
0.446000,0.988000,0.116000,0.046000,5.115000,-13.969000,-12.336000,0.000000
0.453000,0.989000,0.119000,0.041000,5.679000,-14.992000,-8.382000,0.000000
0.469000,0.990000,0.112000,0.054000,5.817000,-15.008000,-3.267000,0.000000
0.480000,0.994000,0.118000,0.052000,5.710000,-13.542000,1.756000,0.000000
0.487000,1.010000,0.127000,0.057000,3.282000,-12.275000,5.756000,0.000000
0.500000,1.045000,0.136000,0.056000,3.115000,-11.618000,4.916000,0.000000
0.503000,1.056000,0.155000,0.056000,6.061000,-10.916000,2.595000,0.000000
0.518000,1.086000,0.183000,0.063000,7.557000,-9.267000,0.122000,0.000000
0.527000,1.082000,0.218000,0.043000,4.534000,-4.565000,1.817000,0.000000
0.535000,1.072000,0.228000,0.022000,0.901000,-0.931000,5.481000,0.000000
