DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.994000,0.253000,0.009000,-4.183000,2.473000,-3.099000,0.000000
0.021000,0.962000,0.249000,0.009000,-2.748000,1.588000,-2.427000,0.000000
0.041000,0.973000,0.261000,0.018000,-0.794000,1.206000,-3.115000,0.000000
0.057000,0.984000,0.284000,0.001000,-0.534000,1.664000,-2.718000,0.000000
0.068000,0.976000,0.293000,0.012000,-1.069000,1.710000,-2.412000,0.000000
0.073000,0.975000,0.308000,0.008000,-1.481000,1.695000,-3.420000,0.000000
0.086000,0.975000,0.316000,0.003000,-3.496000,1.939000,-4.366000,0.000000
0.097000,0.971000,0.301000,-0.002000,-3.740000,2.153000,-6.611000,0.000000
0.106000,0.968000,0.293000,-0.002000,-4.321000,2.198000,-7.176000,0.000000
0.118000,0.963000,0.279000,0.002000,-4.626000,0.992000,-6.931000,0.000000
0.122000,0.968000,0.274000,0.003000,-4.137000,0.550000,-6.076000,0.000000
0.135000,0.981000,0.267000,0.008000,-3.634000,0.275000,-4.565000,0.000000
0.147000,0.980000,0.270000,0.018000,-3.176000,0.641000,-3.145000,0.000000
0.155000,0.977000,0.288000,0.021000,-3.023000,0.779000,-2.412000,0.000000
0.168000,0.970000,0.285000,0.013000,-3.130000,0.626000,-1.374000,0.000000
0.180000,0.969000,0.307000,0.010000,-4.458000,-0.168000,-1.237000,0.000000
0.187000,0.966000,0.304000,0.013000,-5.450000,-0.763000,-2.687000,0.000000
0.201000,0.966000,0.297000,0.009000,-6.702000,-1.252000,-3.634000,0.000000
0.221000,0.984000,0.262000,0.012000,-7.420000,-2.443000,-3.756000,0.000000
0.229000,0.991000,0.249000,0.015000,-7.130000,-2.275000,-2.641000,0.000000
0.237000,1.003000,0.245000,0.018000,-6.489000,-1.420000,-1.878000,0.000000
0.249000,1.004000,0.242000,0.034000,-6.183000,-0.534000,-1.298000,0.000000
0.258000,1.004000,0.234000,0.010000,-5.298000,0.947000,-1.802000,0.000000
0.269000,1.001000,0.228000,0.005000,-4.229000,1.511000,-2.031000,0.000000
0.279000,0.989000,0.229000,-0.011000,-3.298000,1.237000,-2.687000,0.000000
0.288000,0.976000,0.238000,-0.012000,-2.305000,0.321000,-2.992000,0.000000
0.295000,0.984000,0.235000,-0.001000,-1.969000,-0.916000,-2.580000,0.000000
0.311000,0.994000,0.240000,-0.003000,-1.664000,-1.252000,-2.153000,0.000000
0.319000,1.013000,0.234000,-0.002000,-1.908000,-0.397000,-1.710000,0.000000
0.331000,1.008000,0.233000,0.003000,-1.588000,0.214000,-1.084000,0.000000
0.351000,0.998000,0.232000,-0.015000,-0.458000,0.718000,-0.031000,0.000000
0.372000,1.009000,0.245000,-0.006000,0.015000,1.817000,-0.702000,0.000000
0.390000,0.986000,0.232000,-0.004000,1.008000,2.504000,-0.763000,0.000000
0.398000,0.982000,0.231000,-0.011000,1.374000,2.305000,-0.809000,0.000000
0.410000,0.991000,0.223000,0.010000,2.168000,2.290000,-0.779000,0.000000
0.419000,0.991000,0.208000,-0.007000,3.115000,2.198000,-0.351000,0.000000
0.428000,0.988000,0.200000,-0.005000,5.206000,1.756000,0.687000,0.000000
0.438000,0.993000,0.212000,-0.008000,6.809000,1.008000,2.641000,0.000000
