DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.982000,-0.094000,0.086000,3.817000,-11.603000,-1.145000,0.000000
0.011000,0.994000,-0.073000,0.091000,4.916000,-11.069000,0.565000,0.000000
0.027000,1.011000,-0.012000,0.071000,4.702000,-8.916000,3.527000,0.000000
0.038000,1.019000,0.015000,0.072000,4.046000,-7.817000,0.137000,0.000000
0.045000,1.022000,0.033000,0.060000,2.183000,-8.000000,-2.015000,0.000000
0.060000,1.009000,0.038000,0.045000,0.977000,-8.214000,-4.107000,0.000000
0.068000,1.020000,0.050000,0.050000,-0.412000,-7.710000,-5.053000,0.000000
0.078000,1.026000,0.038000,0.055000,-1.374000,-8.214000,-5.237000,0.000000
0.084000,1.037000,0.041000,0.063000,-0.885000,-7.069000,-4.855000,0.000000
0.102000,1.046000,0.043000,0.053000,-1.542000,-5.145000,-4.122000,0.000000
0.121000,1.032000,0.058000,0.052000,-2.809000,-4.000000,-6.137000,0.000000
0.129000,1.022000,0.042000,0.066000,-2.275000,-5.832000,-8.260000,0.000000
0.141000,1.028000,0.048000,0.071000,-0.366000,-5.893000,-10.244000,0.000000
0.149000,1.004000,0.055000,0.055000,0.809000,-6.702000,-12.000000,0.000000
0.160000,0.984000,0.071000,0.023000,-0.458000,-8.947000,-12.260000,0.000000
0.170000,0.979000,0.077000,0.010000,-4.382000,-8.153000,-10.855000,0.000000
0.178000,0.983000,0.077000,0.002000,-9.298000,-8.076000,-7.527000,0.000000
0.185000,1.011000,0.056000,0.043000,-13.267000,-6.321000,-5.023000,0.000000
0.193000,1.024000,0.042000,0.059000,-15.176000,-5.176000,-5.206000,0.000000
0.211000,1.044000,0.023000,0.056000,-13.267000,-3.298000,-8.489000,0.000000
0.220000,1.048000,0.002000,0.063000,-11.817000,-0.885000,-10.489000,0.000000
0.230000,1.014000,-0.021000,0.060000,-7.786000,-0.977000,-12.763000,0.000000
0.237000,0.996000,-0.022000,0.033000,-6.290000,-2.122000,-12.672000,0.000000
0.245000,1.009000,-0.024000,0.047000,-7.053000,-1.710000,-11.542000,0.000000
0.262000,0.997000,-0.023000,0.040000,-5.084000,-2.137000,-11.160000,0.000000
0.281000,1.048000,0.008000,0.053000,-5.221000,-1.298000,-9.863000,0.000000
0.283000,1.043000,-0.021000,0.080000,-6.443000,-1.481000,-13.160000,0.000000
0.301000,1.049000,-0.007000,0.084000,-6.092000,-1.374000,-15.939000,0.000000
0.309000,1.029000,-0.018000,0.099000,-5.008000,-0.305000,-18.443000,0.000000
0.320000,1.001000,-0.018000,0.095000,-3.710000,-0.718000,-20.534000,0.000000
0.327000,0.962000,-0.026000,0.097000,-1.176000,-2.779000,-21.435000,0.000000
0.336000,0.943000,-0.015000,0.090000,0.870000,-4.015000,-22.061000,0.000000
0.351000,0.944000,0.030000,0.053000,-3.237000,-5.710000,-15.878000,0.000000
0.360000,0.954000,0.036000,0.057000,-7.863000,-5.588000,-9.985000,0.000000
0.369000,0.990000,0.038000,0.049000,-12.641000,-6.473000,-8.168000,0.000000
0.379000,1.023000,0.047000,0.060000,-16.198000,-7.908000,-7.878000,0.000000
0.390000,1.030000,0.008000,0.058000,-17.618000,-8.962000,-10.565000,0.000000
0.400000,1.091000,0.004000,0.102000,-17.863000,-6.885000,-12.611000,0.000000
0.410000,1.071000,-0.009000,0.111000,-16.885000,-6.137000,-16.412000,0.000000
0.419000,1.048000,-0.018000,0.087000,-16.168000,-5.985000,-18.168000,0.000000
0.428000,1.010000,-0.043000,0.046000,-9.313000,-15.847000,-19.252000,0.000000
0.432000,0.979000,0.003000,0.059000,-13.389000,-5.008000,-15.176000,0.000000
0.443000,0.968000,0.041000,0.014000,-18.916000,-5.939000,-7.588000,0.000000
0.459000,1.009000,0.050000,0.012000,-24.733000,-3.817000,-2.550000,0.000000
0.466000,1.029000,0.035000,0.027000,-27.130000,-3.893000,-0.870000,0.000000
0.477000,1.096000,0.034000,0.029000,-28.595000,-2.382000,-1.130000,0.000000
0.491000,1.099000,0.018000,0.031000,-31.450000,0.702000,-3.405000,0.000000
0.499000,1.108000,-0.011000,0.046000,-31.954000,3.145000,-6.198000,0.000000
0.507000,1.109000,-0.028000,0.059000,-31.634000,6.580000,-9.481000,0.000000
0.516000,1.088000,-0.040000,0.061000,-30.382000,9.771000,-13.115000,0.000000
0.524000,1.065000,-0.050000,0.047000,-27.481000,11.267000,-15.908000,0.000000
0.541000,1.038000,-0.044000,0.045000,-24.351000,13.878000,-15.710000,0.000000
0.550000,1.005000,-0.046000,0.027000,-21.908000,18.092000,-13.924000,0.000000
0.561000,0.949000,-0.042000,-0.002000,-18.198000,16.885000,-13.191000,0.000000
0.569000,0.926000,-0.025000,-0.013000,-16.290000,10.641000,-12.092000,0.000000
0.580000,0.931000,-0.001000,-0.021000,-17.466000,9.069000,-7.069000,0.000000
0.593000,0.953000,0.020000,-0.008000,-21.832000,6.916000,-3.603000,0.000000
0.611000,1.016000,0.022000,0.040000,-21.847000,6.916000,-8.046000,0.000000
