DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,1.071000,0.040000,0.002000,-0.107000,1.099000,-0.794000,0.000000
0.020000,1.082000,0.058000,-0.027000,0.550000,1.634000,-0.519000,0.000000
0.032000,1.088000,0.062000,-0.031000,-1.176000,0.916000,0.550000,0.000000
0.051000,1.119000,0.060000,-0.020000,-4.260000,3.160000,1.282000,0.000000
0.059000,1.120000,0.060000,-0.015000,-4.977000,3.374000,0.748000,0.000000
0.071000,1.140000,0.057000,-0.003000,-6.702000,3.481000,0.718000,0.000000
0.079000,1.152000,0.053000,0.009000,-8.260000,3.542000,0.473000,0.000000
0.090000,1.150000,0.041000,0.009000,-10.275000,2.962000,0.931000,0.000000
0.098000,1.185000,0.024000,0.019000,-13.344000,3.527000,1.832000,0.000000
0.110000,1.203000,0.008000,0.029000,-14.656000,5.618000,2.214000,0.000000
0.117000,1.221000,-0.018000,0.053000,-13.405000,7.099000,1.969000,0.000000
0.129000,1.210000,-0.035000,0.066000,-12.137000,8.977000,2.702000,0.000000
0.139000,1.196000,-0.042000,0.057000,-10.443000,11.160000,4.626000,0.000000
0.149000,1.160000,-0.049000,0.050000,-7.969000,13.099000,8.092000,0.000000
0.163000,1.143000,-0.039000,0.049000,-6.763000,14.107000,12.855000,0.000000
0.181000,1.145000,-0.009000,0.042000,-4.580000,17.496000,19.878000,0.000000
0.189000,1.167000,0.014000,0.041000,-4.595000,19.588000,19.573000,0.000000
0.201000,1.161000,0.032000,0.027000,-4.748000,21.282000,17.420000,0.000000
0.208000,1.153000,0.042000,0.022000,-5.527000,22.611000,12.550000,0.000000
0.221000,1.132000,0.046000,0.016000,-6.718000,23.206000,8.443000,0.000000
0.228000,1.101000,0.053000,0.023000,-7.786000,21.786000,3.817000,0.000000
0.240000,1.075000,0.039000,0.031000,-10.229000,20.763000,-0.137000,0.000000
0.246000,1.036000,0.027000,0.024000,-10.748000,18.840000,-2.305000,0.000000
0.257000,1.021000,0.020000,0.027000,-12.947000,16.641000,-3.710000,0.000000
0.264000,1.013000,0.009000,0.050000,-13.389000,14.763000,-2.824000,0.000000
0.273000,1.055000,0.018000,0.070000,-14.595000,15.115000,-3.069000,0.000000
0.290000,1.048000,0.017000,0.061000,-14.366000,14.794000,-6.015000,0.000000
0.298000,1.027000,0.001000,0.045000,-13.878000,12.061000,-12.168000,0.000000
0.306000,1.052000,-0.011000,0.074000,-17.038000,11.618000,-8.015000,0.000000
0.329000,1.105000,-0.033000,0.079000,-18.107000,11.115000,-6.504000,0.000000
0.341000,1.128000,-0.028000,0.097000,-18.397000,12.809000,-7.664000,0.000000
0.357000,1.116000,-0.032000,0.093000,-15.924000,12.504000,-9.618000,0.000000
0.370000,1.100000,-0.029000,0.082000,-15.985000,12.656000,-7.450000,0.000000
0.388000,1.099000,-0.032000,0.105000,-13.695000,12.840000,-1.634000,0.000000
0.396000,1.095000,-0.016000,0.102000,-11.267000,14.504000,1.115000,0.000000
0.412000,1.081000,0.008000,0.092000,-8.626000,15.802000,3.191000,0.000000
0.432000,1.083000,0.059000,0.065000,-9.847000,17.985000,3.679000,0.000000
0.439000,1.061000,0.066000,0.044000,-10.702000,16.489000,2.931000,0.000000
0.452000,1.078000,0.080000,0.042000,-14.305000,15.924000,1.740000,0.000000
0.457000,1.100000,0.070000,0.057000,-17.695000,16.229000,-1.221000,0.000000
0.472000,1.099000,0.062000,0.073000,-18.443000,15.954000,-5.069000,0.000000
0.479000,1.061000,0.046000,0.071000,-18.305000,14.931000,-7.496000,0.000000
0.490000,1.031000,0.020000,0.076000,-18.626000,15.145000,-4.702000,0.000000
0.503000,1.002000,-0.013000,0.099000,-17.924000,16.595000,1.725000,0.000000
0.521000,0.944000,-0.048000,0.115000,-13.191000,18.748000,21.374000,0.000000
0.529000,0.946000,-0.039000,0.109000,-9.939000,19.359000,30.351000,0.000000
0.538000,0.949000,-0.035000,0.120000,-8.565000,20.275000,36.473000,0.000000
0.543000,0.966000,-0.018000,0.112000,-6.198000,20.412000,39.282000,0.000000
0.560000,0.995000,0.004000,0.091000,-5.817000,19.847000,38.198000,0.000000
0.573000,1.010000,0.019000,0.093000,-5.695000,18.260000,32.763000,0.000000
0.589000,1.046000,0.052000,0.077000,-6.595000,16.626000,12.412000,0.000000
0.594000,0.992000,0.037000,0.063000,-7.435000,15.252000,4.611000,0.000000
0.610000,0.940000,0.005000,0.051000,-9.313000,14.137000,3.725000,0.000000
0.617000,0.910000,-0.026000,0.056000,-12.275000,12.214000,7.023000,0.000000
0.626000,0.892000,-0.052000,0.081000,-12.809000,11.450000,14.229000,0.000000
0.638000,0.900000,-0.079000,0.101000,-11.344000,12.244000,20.702000,0.000000
0.650000,0.898000,-0.078000,0.097000,-8.443000,12.473000,26.641000,0.000000
0.660000,0.930000,-0.075000,0.099000,-6.702000,14.992000,32.870000,0.000000
0.669000,0.994000,-0.043000,0.111000,-6.000000,18.443000,34.046000,0.000000
0.675000,1.034000,-0.026000,0.103000,-4.168000,19.664000,28.046000,0.000000
0.688000,1.012000,-0.017000,0.109000,-1.939000,18.443000,18.366000,0.000000
0.694000,0.982000,-0.021000,0.076000,-3.481000,16.641000,11.893000,0.000000
0.707000,0.945000,-0.052000,0.087000,-5.969000,15.725000,9.115000,0.000000
0.718000,0.963000,-0.069000,0.104000,-8.046000,15.969000,9.756000,0.000000
0.726000,0.970000,-0.098000,0.126000,-7.603000,16.214000,7.634000,0.000000
0.735000,0.958000,-0.097000,0.129000,-5.008000,15.740000,6.046000,0.000000
0.752000,0.964000,-0.092000,0.115000,-4.550000,17.145000,5.389000,0.000000
0.760000,0.951000,-0.104000,0.117000,-4.611000,18.870000,5.160000,0.000000
0.772000,0.963000,-0.109000,0.118000,-4.046000,18.855000,4.214000,0.000000
0.781000,0.972000,-0.121000,0.134000,-2.824000,19.206000,2.183000,0.000000
0.792000,0.973000,-0.121000,0.136000,-0.763000,19.649000,1.099000,0.000000
0.799000,0.975000,-0.120000,0.152000,-0.214000,20.718000,0.702000,0.000000
0.812000,0.973000,-0.120000,0.142000,0.550000,21.115000,-0.061000,0.000000
0.818000,0.979000,-0.122000,0.145000,0.885000,20.061000,-0.122000,0.000000
0.831000,1.001000,-0.120000,0.162000,1.206000,21.573000,0.656000,0.000000
0.838000,1.031000,-0.112000,0.188000,2.504000,23.573000,-0.473000,0.000000
0.852000,1.041000,-0.092000,0.195000,5.557000,24.870000,-4.748000,0.000000
0.862000,1.040000,-0.079000,0.169000,7.679000,26.580000,-8.672000,0.000000
0.871000,1.034000,-0.055000,0.176000,6.229000,27.847000,-10.458000,0.000000
0.877000,1.032000,-0.056000,0.157000,3.191000,28.595000,-13.298000,0.000000
0.888000,1.015000,-0.048000,0.168000,0.137000,28.656000,-11.282000,0.000000
0.901000,1.011000,-0.088000,0.219000,3.084000,29.069000,-15.237000,0.000000
0.909000,0.999000,-0.104000,0.209000,4.794000,29.527000,-13.084000,0.000000
0.921000,0.999000,-0.098000,0.210000,6.595000,29.282000,-11.969000,0.000000
0.929000,0.989000,-0.076000,0.209000,6.183000,31.389000,-7.740000,0.000000
0.938000,0.962000,-0.067000,0.210000,6.504000,32.916000,-3.710000,0.000000
0.953000,0.958000,-0.067000,0.224000,7.282000,32.611000,-0.473000,0.000000
0.954000,0.968000,-0.056000,0.233000,7.740000,32.595000,1.557000,0.000000
0.971000,0.952000,-0.072000,0.237000,8.153000,33.237000,3.069000,0.000000
0.979000,0.946000,-0.056000,0.230000,9.557000,33.099000,3.130000,0.000000
0.987000,0.975000,-0.023000,0.233000,8.733000,33.878000,1.374000,0.000000
0.997000,0.972000,0.000000,0.225000,8.046000,33.511000,-3.130000,0.000000
1.011000,0.964000,-0.002000,0.214000,5.832000,32.260000,-8.580000,0.000000
1.028000,0.904000,-0.047000,0.242000,2.214000,28.504000,-10.595000,0.000000
1.038000,0.880000,-0.062000,0.260000,2.260000,27.924000,-7.008000,0.000000
1.051000,0.885000,-0.068000,0.288000,2.244000,27.832000,-5.344000,0.000000
