DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.946,0.572,-1.171,-37.191,61.344,12.901,32.06
0.011534,-1.030,0.629,-1.260,-15.008,77.786,-1.405,32.20
0.019051,-1.052,0.638,-1.323,3.908,75.389,-18.641,32.15
0.031039,-1.029,0.642,-1.214,19.725,53.847,-35.832,32.11
0.038659,-0.928,0.587,-1.117,25.817,28.550,-52.992,32.11
0.050354,-0.796,0.547,-0.941,29.435,12.763,-65.084,32.15
0.062392,-0.657,0.480,-0.844,30.351,8.443,-73.557,32.01
0.069539,-0.542,0.426,-0.752,29.298,14.641,-82.519,32.06
0.081694,-0.380,0.384,-0.654,26.687,19.435,-91.450,32.11
0.089378,-0.174,0.280,-0.598,21.740,34.168,-89.450,32.11
0.101483,-0.147,0.192,-0.626,22.397,56.321,-84.580,32.15
0.108455,-0.194,0.273,-0.616,21.191,66.580,-82.977,32.11
0.120852,-0.260,0.289,-0.625,17.511,65.878,-92.901,32.11
0.132646,-0.194,0.322,-0.628,10.992,63.618,-106.031,32.06
0.139816,-0.073,0.342,-0.604,-0.824,56.931,-115.099,32.01
0.151936,0.076,0.247,-0.694,-7.939,47.313,-120.748,32.15
0.159195,0.170,0.231,-0.761,-9.191,42.397,-114.076,32.15
0.171564,0.191,0.116,-0.867,-6.351,31.832,-104.763,32.11
0.179203,0.190,0.026,-0.910,9.481,35.481,-93.954,32.06
0.191010,0.195,0.088,-0.795,33.160,41.756,-87.252,32.11
0.198248,0.207,0.158,-0.720,41.985,53.344,-84.611,32.20
0.210933,0.206,0.172,-0.675,39.924,53.313,-83.664,32.15
0.222802,0.201,0.335,-0.640,29.008,38.031,-89.649,32.01
0.230082,0.313,0.336,-0.679,10.718,18.183,-99.466,32.06
0.242499,0.408,0.205,-0.818,-1.924,3.466,-98.824,32.15
0.249614,0.388,0.228,-0.914,-2.733,-15.679,-93.008,32.01
0.261851,0.311,0.251,-0.975,3.466,-32.061,-94.183,32.15
0.269433,0.351,0.187,-0.979,15.542,-41.878,-91.802,32.11
0.281484,0.398,0.164,-0.919,33.176,-33.603,-90.931,32.11
0.288943,0.483,0.129,-0.838,54.656,-19.466,-83.634,32.15
0.300822,0.484,0.018,-0.787,66.977,-4.824,-77.756,32.11
0.308069,0.399,0.087,-0.693,69.252,5.481,-68.809,32.15
0.320701,0.224,0.213,-0.591,65.466,9.038,-78.840,32.15
0.332779,0.296,0.264,-0.536,40.962,1.725,-85.924,32.11
0.339833,0.303,0.192,-0.616,21.313,-27.145,-82.473,31.97
0.352252,0.376,0.138,-0.628,4.901,-42.794,-90.260,32.11
0.359950,0.555,0.037,-0.691,-2.290,-32.305,-87.664,32.20
0.371827,0.656,-0.043,-0.767,-5.832,-24.046,-72.519,32.06
0.378451,0.586,-0.040,-0.816,-2.519,-10.702,-58.489,32.11
0.390754,0.491,-0.037,-0.840,7.115,10.824,-53.542,32.06
0.398435,0.427,0.034,-0.837,16.229,21.282,-50.840,32.11
0.410297,0.344,0.133,-0.771,15.817,23.389,-48.702,32.11
0.422903,0.293,0.162,-0.773,13.710,24.076,-54.122,32.06
0.429814,0.320,0.134,-0.837,10.519,25.527,-56.229,32.11
0.442332,0.324,0.133,-0.865,4.122,19.847,-54.443,32.11
0.449574,0.289,0.116,-0.888,-4.504,6.214,-58.244,32.06
0.461940,0.426,0.049,-0.893,-14.412,-9.206,-61.542,32.11
0.469218,0.495,-0.023,-0.896,-16.504,-10.916,-57.634,32.15
0.481035,0.558,-0.048,-0.884,-11.008,0.351,-50.870,32.15
0.488192,0.524,-0.055,-0.884,-1.618,12.458,-41.908,32.11
0.500616,0.483,-0.044,-0.962,4.382,29.618,-36.275,32.06
0.512914,0.390,0.026,-0.916,8.214,31.557,-29.618,32.11
0.520476,0.254,0.122,-0.854,7.405,24.336,-29.969,32.11
0.532464,0.174,0.133,-0.781,7.893,10.962,-39.756,32.11
0.540085,0.222,0.153,-0.694,5.298,0.687,-49.130,32.01
0.552245,0.426,0.136,-0.836,-7.817,42.092,-66.550,32.15
0.559455,0.425,0.041,-0.805,-6.779,35.282,-42.519,32.06
0.571810,0.531,-0.030,-0.894,-13.573,27.145,-35.496,32.20
0.579276,0.467,-0.038,-0.956,-8.794,22.611,-28.748,32.06
0.590849,0.431,-0.052,-0.965,-2.153,22.992,-28.885,32.11
0.598652,0.451,-0.081,-0.989,8.061,22.000,-24.962,32.01
0.610306,0.415,-0.041,-0.903,12.550,18.809,-23.389,32.15
0.622696,0.395,-0.013,-0.810,9.496,16.580,-23.405,32.11
0.630301,0.405,-0.028,-0.806,3.725,10.779,-24.183,32.06
0.642357,0.426,-0.020,-0.794,-5.435,1.267,-21.771,32.15
0.649671,0.414,-0.041,-0.824,-10.153,-3.878,-19.756,32.20
0.661701,0.455,-0.072,-0.833,-11.145,-2.504,-14.901,32.06
0.669216,0.437,-0.077,-0.851,-6.443,8.443,-10.336,32.01
0.681307,0.409,-0.064,-0.871,0.305,19.069,-6.534,32.11
0.688519,0.376,-0.026,-0.906,2.382,22.244,-4.229,32.15
0.700841,0.370,-0.011,-0.945,4.397,17.954,-4.321,32.11
0.708644,0.325,-0.003,-0.962,7.328,12.305,-4.473,32.06
0.720660,0.294,0.011,-0.924,11.084,7.206,-6.901,32.01
0.727001,0.261,0.013,-0.841,11.634,4.122,-7.328,32.01
0.740392,0.301,0.025,-0.795,9.847,1.435,-3.481,32.15
0.746027,0.270,0.004,-0.806,6.947,-0.061,0.916,32.11
0.760308,0.208,0.013,-0.802,7.802,3.237,-0.702,32.11
0.766233,0.220,0.036,-0.820,7.435,3.267,-3.954,32.06
0.780712,0.251,0.029,-0.808,4.183,-2.794,-3.282,32.01
0.792848,0.242,0.029,-0.802,-1.099,-8.641,-3.099,32.15
0.800313,0.264,-0.004,-0.835,-2.916,-10.779,-3.542,32.06
0.812232,0.275,-0.027,-0.846,-1.115,-9.969,-1.603,32.20
0.819795,0.226,-0.032,-0.839,0.611,-9.008,1.664,32.06
0.832106,0.174,-0.013,-0.801,2.473,-8.076,2.718,32.01
0.839447,0.133,0.010,-0.771,1.832,-7.771,0.809,32.11
