DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.428,0.117,-0.818,-36.122,-72.290,84.855,30.79
0.011776,-0.647,0.159,-0.768,-44.443,-60.397,77.832,30.55
0.018938,-0.735,0.187,-0.683,-53.405,-50.137,56.321,30.60
0.031019,-0.712,0.186,-0.571,-55.206,-40.733,36.992,30.65
0.038166,-0.563,0.212,-0.455,-57.908,-20.168,29.511,30.60
0.050560,-0.456,0.226,-0.466,-66.931,16.840,31.130,30.65
0.057595,-0.340,0.268,-0.567,-77.160,64.733,30.366,30.74
0.069665,-0.245,0.324,-0.693,-89.588,112.489,34.031,30.69
0.081704,-0.214,0.403,-0.908,-99.298,150.168,39.618,30.65
0.088895,-0.298,0.443,-1.178,-88.977,141.282,39.679,30.60
0.101271,-0.389,0.452,-1.427,-85.924,120.198,28.489,30.74
0.108248,-0.484,0.489,-1.556,-62.809,76.763,-0.244,30.60
0.120340,-0.469,0.503,-1.531,-17.542,21.542,-34.107,30.65
0.127220,-0.215,0.496,-1.311,14.336,-32.458,-56.748,30.65
0.139419,-0.035,0.454,-1.056,37.710,-84.565,-60.656,30.69
0.151554,0.046,0.413,-0.850,51.542,-107.679,-58.031,30.74
0.159394,0.091,0.397,-0.756,39.618,-89.939,-53.634,30.69
0.171001,0.146,0.348,-0.658,15.008,-44.168,-50.977,30.65
0.178788,0.119,0.302,-0.624,12.168,-4.687,-48.183,30.65
0.190934,0.070,0.295,-0.611,14.015,28.565,-48.061,30.55
0.198215,0.022,0.299,-0.628,11.756,40.336,-56.992,30.65
0.210424,0.032,0.269,-0.626,6.122,39.634,-66.656,30.60
0.219007,0.118,0.268,-0.630,1.328,35.740,-70.260,30.65
0.229878,0.138,0.221,-0.674,-0.794,19.130,-69.954,30.60
0.241906,0.198,0.204,-0.756,-4.412,5.038,-74.763,30.60
0.249690,0.292,0.209,-0.766,-4.412,6.580,-74.595,30.65
0.261796,0.417,0.188,-0.818,-1.557,10.916,-66.534,30.69
0.269079,0.431,0.151,-0.859,-1.206,12.977,-51.725,30.55
0.281375,0.366,0.174,-0.867,-1.969,17.588,-44.229,30.60
0.288497,0.330,0.175,-0.845,1.099,21.924,-38.656,30.60
0.300950,0.234,0.188,-0.847,6.336,11.542,-34.656,30.55
0.308775,0.136,0.182,-0.833,5.878,-3.359,-40.504,30.69
0.320906,0.144,0.172,-0.815,2.992,-11.695,-55.527,30.65
0.327707,0.260,0.130,-0.766,-0.015,-18.000,-60.779,30.60
0.339824,0.340,0.120,-0.762,-3.573,-18.504,-56.763,30.65
0.351983,0.375,0.102,-0.772,-8.046,-13.527,-51.313,30.55
0.359836,0.392,0.099,-0.784,-8.947,-3.725,-44.244,30.60
0.371714,0.346,0.089,-0.801,-7.267,9.084,-37.969,30.55
0.379263,0.333,0.095,-0.813,-2.489,25.893,-35.191,30.60
0.391384,0.320,0.099,-0.810,0.504,38.443,-26.122,30.65
0.399246,0.198,0.147,-0.875,1.863,49.954,-20.153,30.60
0.411220,0.068,0.207,-0.956,2.244,47.939,-25.573,30.60
0.418689,0.004,0.247,-0.994,2.931,33.069,-38.229,30.74
0.431006,0.059,0.278,-0.966,5.954,7.893,-51.527,30.69
0.437934,0.238,0.250,-0.896,8.580,-16.733,-59.084,30.74
0.450755,0.379,0.205,-0.874,8.214,-27.344,-54.076,30.60
0.458109,0.404,0.154,-0.800,10.992,-22.519,-38.962,30.65
0.470058,0.341,0.154,-0.831,14.763,-2.336,-29.038,30.69
0.481897,0.248,0.297,-0.830,25.191,26.489,-20.550,30.69
0.489551,0.175,0.293,-0.864,31.786,44.443,-19.756,30.65
0.501590,-0.012,0.401,-0.788,34.565,42.000,-16.824,30.60
0.509226,0.018,0.287,-0.897,29.679,40.122,-27.237,30.65
0.520791,-0.113,0.440,-0.675,41.924,26.382,-45.282,30.69
0.527930,-0.010,0.419,-0.634,20.473,49.115,-73.282,30.74
0.540555,0.130,0.360,-0.855,2.137,62.382,-68.656,30.65
0.548653,0.111,0.298,-0.877,7.542,57.130,-63.313,30.69
