DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.378,0.029,-0.846,7.145,32.305,-11.573,30.32
0.011931,0.427,0.022,-0.851,13.939,38.137,-17.496,30.37
0.019472,0.447,-0.031,-0.867,20.458,48.992,-36.122,30.37
0.031967,0.539,-0.029,-0.822,29.756,65.588,-39.649,30.41
0.043658,0.627,-0.095,-0.853,40.947,80.733,-33.893,30.37
0.051019,0.676,-0.069,-0.807,38.260,85.328,-20.977,30.51
0.063192,0.694,-0.062,-0.811,28.427,66.489,7.237,30.37
0.070606,0.553,0.017,-0.882,13.527,52.992,84.870,30.32
0.083337,0.589,-0.099,-0.907,2.794,49.466,48.275,30.27
0.090298,0.417,-0.001,-0.891,-9.191,19.130,60.168,30.37
0.102520,0.320,0.024,-0.867,-14.275,-1.847,54.321,30.51
0.109696,0.282,0.031,-0.799,-15.817,-8.336,45.557,30.37
0.122339,0.246,0.040,-0.752,-13.939,-8.489,38.031,30.41
0.129184,0.188,0.067,-0.713,-17.542,-7.008,32.626,30.46
0.141466,0.182,0.146,-0.615,-25.557,-17.267,29.649,30.32
0.153646,0.187,0.068,-0.688,-32.427,-11.908,20.718,30.41
0.160829,0.294,0.047,-0.732,-33.435,-4.763,18.947,30.37
0.173402,0.356,-0.020,-0.785,-29.038,5.878,21.542,30.32
0.181146,0.402,-0.008,-0.829,-23.786,14.107,23.374,30.46
0.192679,0.413,-0.011,-0.887,-18.427,22.550,24.992,30.32
0.199614,0.418,-0.035,-0.902,-18.076,21.176,22.687,30.27
0.212015,0.371,0.011,-0.871,-21.191,14.489,19.267,30.27
0.219513,0.341,0.029,-0.885,-18.626,4.229,22.321,30.32
0.231576,0.283,0.147,-0.817,-23.847,-19.771,25.344,30.27
0.243695,0.243,0.171,-0.801,-39.710,-42.321,26.748,30.41
0.251293,0.184,0.182,-0.815,-54.015,-58.992,22.733,30.37
0.263171,0.120,0.185,-0.838,-61.679,-71.267,13.389,30.41
0.271007,0.186,0.130,-0.872,-64.702,-82.183,1.023,30.37
0.282463,0.391,0.017,-0.913,-59.053,-87.756,-6.092,30.46
0.289669,0.658,-0.086,-0.914,-45.237,-74.107,5.542,30.32
0.301731,0.756,-0.127,-0.923,-28.107,-30.290,31.496,30.27
0.313894,0.740,-0.101,-0.920,-10.977,22.733,57.099,30.41
0.321321,0.576,-0.026,-0.921,4.015,77.695,72.000,30.37
0.333717,0.365,0.070,-0.960,14.962,119.344,73.756,30.41
0.340775,0.154,0.166,-0.918,19.710,141.069,61.649,30.32
0.353381,0.024,0.189,-0.889,17.069,143.634,43.008,30.27
0.360987,-0.016,0.180,-0.906,13.573,136.473,22.458,30.41
0.372658,-0.003,0.159,-0.869,9.634,121.359,3.603,30.37
0.380334,0.069,0.113,-0.875,6.214,97.740,-9.267,30.41
0.392486,0.302,0.354,-0.756,-5.374,68.580,-16.840,30.46
0.399470,0.237,0.059,-0.806,-17.359,68.198,-21.115,30.41
0.412131,0.333,0.084,-0.751,-7.206,69.435,-28.641,30.37
0.418293,0.375,0.090,-0.734,-6.473,72.763,-27.389,30.37
0.431314,0.357,0.107,-0.744,-12.687,72.580,-25.725,30.32
0.443685,0.317,0.154,-0.776,-16.336,67.053,-24.443,30.37
0.450596,0.244,0.174,-0.796,-24.427,51.359,-24.977,30.41
0.462971,0.207,0.177,-0.861,-27.008,25.893,-27.450,30.37
0.469865,0.190,0.192,-0.897,-29.084,-5.359,-29.679,30.32
0.481962,0.192,0.190,-0.923,-21.191,-33.634,-30.794,30.41
0.489778,0.252,0.188,-0.909,-10.275,-53.557,-31.725,30.37
