DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.022,0.089,-0.847,-4.718,2.443,0.076,31.26
0.012791,0.010,0.080,-0.861,-4.412,4.885,0.214,31.21
0.019567,-0.004,0.083,-0.859,-4.534,5.603,0.061,31.21
0.032145,-0.024,0.084,-0.868,-3.679,4.534,-1.328,31.21
0.039647,-0.014,0.093,-0.852,-3.557,1.786,-2.153,31.12
0.051258,0.013,0.102,-0.829,-4.260,-0.015,-2.122,31.17
0.058773,0.021,0.102,-0.834,-5.176,-0.733,-1.344,31.21
0.071070,0.020,0.097,-0.845,-5.847,1.557,-1.649,31.17
0.078764,0.009,0.105,-0.856,-5.328,2.504,-2.550,31.21
0.090822,0.001,0.114,-0.853,-5.176,3.359,-2.840,31.17
0.097027,0.001,0.109,-0.871,-4.611,5.542,-2.198,31.21
0.110582,0.013,0.111,-0.867,-5.145,4.962,-2.153,31.21
0.122461,-0.021,0.092,-0.877,-4.000,4.504,-2.198,31.26
0.130306,-0.007,0.104,-0.866,-3.939,4.702,-3.939,31.12
0.142245,0.013,0.107,-0.873,-4.137,2.443,-4.351,31.26
0.150683,0.026,0.091,-0.887,-3.878,0.519,-4.168,31.21
0.162010,0.039,0.087,-0.877,-4.977,-1.557,-3.130,31.17
0.170034,0.051,0.089,-0.865,-4.702,-1.481,-2.611,31.12
0.182529,0.051,0.093,-0.855,-2.809,0.321,-1.618,31.26
0.191004,0.049,0.083,-0.857,-3.313,1.160,-0.718,31.17
0.201692,0.033,0.075,-0.858,-4.305,2.137,-0.031,31.21
0.209589,0.028,0.083,-0.861,-4.153,5.756,-1.527,31.17
0.221810,0.055,0.092,-0.888,-5.130,6.916,-2.275,31.21
0.229807,0.049,0.094,-0.885,-2.550,6.626,-0.687,31.17
0.241596,0.056,0.115,-0.875,-2.214,7.328,-0.763,31.12
0.249157,0.044,0.130,-0.874,-1.282,6.214,-0.458,31.17
