DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.165,-0.085,-0.292,19.389,-97.298,-38.595,32.20
0.006426,-0.033,-0.167,-0.082,22.962,-104.855,-37.985,32.15
0.018331,0.157,-0.264,0.080,15.511,-83.695,-30.809,32.11
0.030590,0.274,-0.301,0.190,-8.534,-33.176,-10.122,32.11
0.038188,0.330,-0.283,0.171,-44.992,36.534,14.153,32.15
0.049696,0.282,-0.207,0.019,-75.985,82.366,13.710,32.20
0.056613,0.252,-0.193,-0.228,-112.580,121.176,22.550,32.20
0.068806,0.144,-0.134,-0.422,-128.214,127.496,27.908,32.15
0.080657,0.073,-0.092,-0.607,-82.000,68.855,24.687,32.29
0.087996,0.073,-0.136,-0.713,-67.817,46.412,21.328,32.15
0.099873,-0.004,-0.111,-0.642,-53.252,30.092,13.420,32.15
0.107667,0.003,-0.119,-0.516,-41.802,8.366,8.305,32.20
0.119202,0.039,-0.066,-0.358,-41.084,-15.679,6.626,32.06
0.126953,0.037,-0.070,-0.265,-53.008,-26.198,5.847,32.11
0.138861,0.033,-0.023,-0.153,-54.641,-31.237,4.275,32.20
0.150632,0.043,0.052,-0.060,-64.580,-26.046,9.252,32.06
0.158023,-0.019,0.156,-0.058,-75.893,-19.221,16.870,32.11
0.170128,-0.099,0.154,-0.212,-89.802,7.374,1.802,32.15
0.177521,-0.040,0.250,-0.473,-114.702,56.351,-3.176,32.25
0.189334,0.058,0.286,-0.817,-121.710,77.924,-8.137,32.20
0.196229,0.175,0.333,-1.153,-118.366,91.115,-6.504,32.06
0.208591,0.163,0.407,-1.347,-57.542,42.595,-2.137,32.11
0.220779,0.106,0.449,-1.473,-33.206,21.649,0.779,32.11
0.227777,-0.006,0.500,-1.380,-9.160,-6.534,-0.534,32.15
0.240336,-0.052,0.506,-1.196,-1.099,-28.092,-5.466,32.11
0.247115,0.013,0.523,-1.022,-3.420,-27.435,-10.382,32.11
0.259445,0.042,0.479,-0.947,3.252,-21.573,-9.084,32.15
0.267068,-0.007,0.493,-0.902,-0.260,-9.740,-9.298,32.20
0.278482,-0.077,0.520,-0.884,-14.427,4.366,-12.641,32.15
0.290798,-0.161,0.491,-0.913,-20.855,-4.031,-17.328,32.15
0.297632,-0.169,0.467,-0.938,-28.580,-11.328,-26.183,32.11
0.309682,-0.096,0.453,-0.909,-39.557,-11.939,-34.397,32.15
0.317224,0.123,0.425,-1.118,-39.939,-3.023,-37.313,32.15
0.328743,0.223,0.345,-1.214,-49.740,17.832,-28.519,32.20
0.340870,0.265,0.364,-1.466,-49.649,36.321,-19.786,32.15
0.348559,0.168,0.408,-1.588,-51.115,38.351,-17.603,32.20
0.360137,0.154,0.395,-1.570,-26.153,3.908,-18.290,32.20
0.367624,0.094,0.371,-1.528,-15.618,-21.313,-10.901,32.06
0.379591,0.074,0.383,-1.561,-2.397,-34.397,-26.656,32.11
0.387276,0.080,0.368,-1.232,-0.366,-37.679,-16.153,32.06
0.398843,0.013,0.286,-1.102,10.427,-43.466,-18.626,32.11
0.410660,0.053,0.351,-1.020,3.466,-25.450,-19.557,32.11
0.417832,0.102,0.330,-1.031,-22.427,3.985,-20.611,32.06
0.429887,0.040,0.309,-1.045,-33.313,18.473,-24.519,32.11
0.437643,0.142,0.334,-1.125,-37.420,27.176,-15.389,32.11
0.449496,0.143,0.304,-1.164,-50.824,34.489,-9.573,32.15
0.456976,0.086,0.305,-1.216,-50.702,36.137,-6.962,32.20
0.469072,0.029,0.303,-1.248,-27.740,6.672,-5.282,32.11
0.480798,0.037,0.322,-1.172,-19.664,-9.328,-4.611,32.06
0.488417,-0.385,0.143,-1.838,44.870,28.412,-3.084,32.20
0.500426,0.355,0.303,-1.731,59.221,27.008,1.695,32.15
0.508516,-0.022,0.305,-1.217,18.489,-2.031,15.298,32.15
0.519908,-0.004,0.291,-1.087,64.519,-64.489,17.374,32.20
0.527588,-0.169,0.199,-1.091,71.939,-43.725,0.321,32.15
0.539533,-0.042,0.254,-0.961,56.672,-23.176,0.092,32.20
0.546391,-0.021,0.287,-1.016,51.053,-0.321,-5.908,32.11
0.558829,0.009,0.288,-0.978,25.115,19.328,-10.580,32.06
0.570894,0.005,0.266,-0.937,5.084,37.053,-15.405,32.20
0.578059,0.042,0.237,-0.897,-0.489,29.710,-9.359,32.11
0.590360,-0.103,0.264,-0.768,-23.969,6.733,-9.954,32.20
0.597816,0.042,0.195,-0.761,-29.496,12.214,-17.588,32.11
0.609987,0.097,0.197,-0.748,-22.565,1.115,-9.466,32.15
0.617510,0.157,0.183,-0.745,-16.550,18.336,-8.840,32.15
0.629000,0.137,0.186,-0.832,-14.947,25.771,-5.740,32.20
0.636833,0.057,0.225,-0.861,-12.290,38.550,1.038,32.15
0.648929,0.005,0.239,-0.888,-25.954,36.809,-0.443,32.20
0.660701,0.015,0.231,-0.901,-26.000,20.504,-0.931,32.11
0.668068,0.034,0.199,-0.826,-23.893,8.260,-2.153,32.15
0.680131,0.057,0.196,-0.764,0.641,-13.069,-2.412,32.20
0.687810,0.098,0.183,-0.740,4.550,-13.817,-1.786,32.15
0.700088,0.121,0.179,-0.768,9.084,1.359,0.275,32.15
0.707823,0.102,0.200,-0.811,6.366,14.733,3.725,32.01
0.719990,0.059,0.227,-0.830,2.992,15.710,3.252,32.15
0.727544,0.062,0.246,-0.874,4.397,7.481,1.679,32.15
0.739935,0.069,0.241,-0.830,0.931,3.313,1.145,32.20
0.747149,0.056,0.235,-0.824,-1.817,-4.565,2.168,32.15
0.759673,0.008,0.214,-0.833,1.252,-10.427,2.840,32.20
0.767485,0.007,0.240,-0.855,-3.099,-5.969,0.870,32.11
0.778949,0.036,0.223,-0.855,-5.832,-6.412,-0.550,32.15
0.787063,0.055,0.228,-0.836,-3.282,-1.908,0.702,32.11
0.799069,0.035,0.237,-0.839,-3.084,0.855,0.992,32.15
0.806887,0.036,0.247,-0.849,-3.374,1.191,0.015,32.15
0.818852,0.047,0.259,-0.851,-3.756,0.305,-0.137,32.11
