DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,-0.078,-0.037,-0.844,-1.176,2.656,0.122,31.45
0.007259,-0.083,-0.050,-0.854,-2.290,2.931,-0.519,31.40
0.019684,-0.075,-0.046,-0.847,-2.229,1.664,-0.718,31.40
0.026663,-0.076,-0.050,-0.841,-1.634,2.076,-0.763,31.59
0.038750,-0.082,-0.049,-0.844,-1.374,2.672,-1.008,31.54
0.050410,-0.088,-0.044,-0.843,-2.092,2.076,-2.168,31.49
0.058276,-0.092,-0.041,-0.855,-2.733,0.702,-2.641,31.54
0.069971,-0.086,-0.049,-0.837,-2.153,-0.153,-2.137,31.49
0.077862,-0.067,-0.043,-0.834,-2.519,-0.092,-1.176,31.35
0.089627,-0.056,-0.036,-0.847,-2.290,2.855,0.107,31.40
0.097415,-0.082,-0.037,-0.848,-2.916,5.450,0.092,31.49
0.108823,-0.092,-0.033,-0.867,-3.176,6.290,-0.794,31.45
0.116941,-0.105,-0.031,-0.868,-2.748,5.221,-1.893,31.49
0.129536,-0.108,-0.032,-0.882,-2.275,3.023,-3.130,31.45
0.134450,-0.097,-0.025,-0.889,-1.069,-0.214,-2.977,31.40
0.147979,-0.089,-0.029,-0.883,-0.183,-2.473,-2.687,31.45
0.159962,-0.080,-0.034,-0.878,0.336,-3.878,-2.718,31.49
0.167719,-0.074,-0.038,-0.853,0.565,-3.359,-1.969,31.40
0.179521,-0.060,-0.041,-0.846,-0.061,-3.267,-1.084,31.35
0.187562,-0.061,-0.047,-0.823,-2.870,-0.321,0.595,31.49
0.199364,-0.053,-0.050,-0.846,-2.290,2.855,1.557,31.54
0.207016,-0.090,-0.048,-0.861,-1.466,3.069,0.824,31.49
0.219114,-0.110,-0.055,-0.846,-2.687,2.580,-0.809,31.45
0.226274,-0.112,-0.048,-0.858,-2.427,-0.672,-3.847,31.49
0.238136,-0.099,-0.052,-0.829,-1.847,-4.702,-4.702,31.40
0.250090,-0.079,-0.055,-0.828,-2.656,-8.290,-4.321,31.45
0.257736,-0.073,-0.054,-0.810,-3.924,-9.115,-3.511,31.40
0.269670,-0.055,-0.050,-0.804,-5.008,-7.954,-2.885,31.35
0.277474,-0.045,-0.051,-0.823,-5.084,-2.412,-1.160,31.40
0.289408,-0.041,-0.053,-0.843,-5.282,4.107,0.443,31.45
0.297328,-0.062,-0.051,-0.868,-4.687,9.084,1.786,31.40
0.309020,-0.093,-0.038,-0.866,-3.939,11.099,2.031,31.45
0.316306,-0.116,-0.026,-0.858,-3.573,8.443,1.389,31.35
0.328779,-0.135,-0.021,-0.849,-3.527,4.473,0.641,31.31
0.336079,-0.128,-0.027,-0.861,-4.015,-0.427,-0.611,31.45
0.347946,-0.135,-0.025,-0.868,-3.832,-2.473,-1.695,31.40
0.359982,-0.114,-0.034,-0.882,-3.252,-3.176,-3.435,31.35
0.367487,-0.086,-0.043,-0.883,-2.336,-3.344,-3.695,31.49
0.379953,-0.075,-0.040,-0.875,-1.023,0.321,-2.366,31.45
0.387372,-0.080,-0.049,-0.881,0.046,4.504,-1.802,31.49
0.399600,-0.079,-0.037,-0.866,0.748,6.855,-1.542,31.49
0.407025,-0.097,-0.036,-0.859,0.412,7.740,-1.313,31.35
0.418972,-0.095,-0.035,-0.867,-1.527,6.626,-0.794,31.49
0.426035,-0.093,-0.051,-0.876,-1.588,4.962,-0.397,31.45
0.438570,-0.101,-0.051,-0.866,-0.382,2.137,-1.038,31.40
0.450374,-0.098,-0.047,-0.860,-2.244,-0.656,-0.504,31.45
0.458047,-0.101,-0.059,-0.853,-3.359,-2.290,-1.710,31.40
0.469986,-0.094,-0.052,-0.840,-2.855,-3.053,-2.794,31.45
0.477469,-0.091,-0.057,-0.842,-1.221,-0.779,-3.053,31.35
0.489373,-0.101,-0.083,-0.841,-1.954,0.076,-3.420,31.40
0.497247,-0.086,-0.098,-0.841,-3.176,0.901,-2.855,31.45
0.508961,-0.088,-0.119,-0.842,-3.832,0.550,-1.023,31.49
0.516896,-0.105,-0.146,-0.844,-4.290,0.763,-0.794,31.45
0.530061,-0.089,-0.160,-0.843,-6.061,2.458,-0.595,31.40
0.536815,-0.073,-0.185,-0.852,-8.931,5.084,0.260,31.45
0.548686,-0.088,-0.207,-0.863,-11.405,7.588,2.214,31.49
0.560317,-0.098,-0.242,-0.893,-13.832,6.824,3.252,31.40
0.568389,-0.108,-0.256,-0.911,-15.664,2.397,6.458,31.45
0.580371,-0.119,-0.302,-0.947,-14.672,-2.580,13.328,31.40
0.587916,-0.202,-0.323,-0.954,-17.924,-1.756,4.641,31.45
