DeltaTime_s,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp
0.000000,0.146,0.260,-1.034,-0.214,-5.206,-3.069,29.75
0.011431,0.100,0.276,-1.057,-4.733,-9.603,-8.992,29.71
0.019079,0.086,0.276,-1.023,-8.427,-16.565,-14.427,29.66
0.030553,0.068,0.269,-1.011,-10.397,-24.015,-18.427,29.71
0.037565,0.057,0.267,-0.951,-14.076,-29.267,-22.947,29.66
0.049982,0.082,0.260,-0.906,-17.954,-28.519,-26.901,29.75
0.057541,0.070,0.253,-0.845,-23.435,-25.802,-27.634,29.71
0.068983,0.032,0.276,-0.815,-32.885,-19.893,-28.137,29.71
0.081097,0.018,0.291,-0.831,-47.893,-13.099,-32.947,29.71
0.088300,0.061,0.310,-0.934,-53.267,8.763,-32.565,29.75
0.100563,0.053,0.333,-1.036,-60.641,19.893,-35.069,29.80
0.108257,0.033,0.367,-1.151,-64.718,21.939,-38.214,29.75
0.119942,0.013,0.393,-1.213,-57.328,13.939,-44.168,29.71
0.127248,0.079,0.429,-1.195,-42.183,-10.366,-49.344,29.66
0.139199,0.167,0.414,-1.185,-18.458,-38.046,-48.672,29.71
0.151473,0.231,0.376,-1.155,5.115,-45.847,-39.435,29.71
0.159172,0.239,0.362,-1.097,24.489,-41.359,-26.244,29.66
0.170668,0.197,0.332,-1.039,33.878,-23.298,-12.748,29.80
0.178014,0.157,0.345,-0.967,40.840,5.176,-1.924,29.75
0.190870,0.094,0.364,-0.920,41.053,30.443,7.282,29.71
0.198278,0.011,0.372,-0.904,40.443,44.473,15.649,29.75
0.210339,-0.051,0.386,-0.909,40.779,51.130,17.191,29.71
0.217854,-0.146,0.404,-0.939,44.947,48.992,13.374,29.66
0.230054,-0.164,0.409,-0.951,45.908,38.015,0.580,29.71
0.237239,-0.143,0.424,-0.921,44.046,16.534,-8.763,29.71
0.249578,-0.112,0.397,-0.900,41.130,-1.939,-17.802,29.66
0.261391,-0.062,0.368,-0.877,38.214,-14.489,-25.878,29.71
0.268508,0.012,0.320,-0.862,38.427,-23.893,-28.641,29.75
0.280809,0.073,0.283,-0.834,40.702,-27.298,-29.481,29.71
0.287795,0.150,0.243,-0.788,42.672,-21.328,-25.145,29.66
0.300450,0.184,0.230,-0.786,44.229,-9.466,-16.473,29.71
0.307797,0.162,0.234,-0.818,44.611,3.511,-7.298,29.75
0.320046,0.122,0.228,-0.851,45.557,16.870,-0.641,29.71
0.328196,0.081,0.247,-0.876,50.809,24.626,3.756,29.75
0.340029,0.070,0.262,-0.871,55.908,29.115,5.649,29.66
0.347652,0.060,0.260,-0.888,58.031,27.298,5.893,29.61
0.360327,0.064,0.243,-0.887,59.008,23.496,7.542,29.71
0.367098,0.037,0.226,-0.884,59.832,19.267,7.802,29.71
0.379738,0.014,0.210,-0.866,61.740,13.191,6.275,29.57
0.386867,0.005,0.206,-0.825,65.023,7.511,4.000,29.71
0.399747,0.029,0.186,-0.814,64.351,1.679,0.336,29.66
0.407371,0.066,0.149,-0.787,61.878,-3.298,-0.534,29.71
0.419417,0.110,0.135,-0.756,59.725,-1.191,0.595,29.66
0.426608,0.132,0.115,-0.762,56.565,6.076,3.557,29.80
0.439567,0.108,0.112,-0.776,54.565,13.481,7.038,29.66
0.447167,0.048,0.134,-0.790,52.122,16.656,8.031,29.61
0.459323,-0.011,0.139,-0.810,45.573,9.725,5.832,29.71
0.471294,-0.024,0.135,-0.810,43.191,1.954,0.687,29.66
0.478822,0.018,0.099,-0.821,44.137,-4.198,-0.305,29.80
0.491221,0.028,0.089,-0.802,46.489,-8.947,-3.527,29.66
0.499017,0.052,0.079,-0.778,50.214,-7.527,-9.084,29.61
0.510991,0.084,0.090,-0.760,50.351,0.290,-4.672,29.66
0.518278,0.071,0.086,-0.821,45.695,13.420,-3.359,29.71
0.530994,0.085,0.082,-0.858,39.802,23.084,-0.763,29.66
0.538048,0.125,0.060,-0.916,40.489,27.985,0.015,29.71
0.550400,0.146,0.057,-0.949,44.840,28.779,1.878,29.66
0.558313,0.171,0.043,-0.953,48.244,22.061,7.374,29.75
0.570205,0.160,0.055,-0.931,49.771,10.412,11.496,29.71
